Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,Mbar_kg,N_baryon,Rbar_kpc,Vflat_used_kms,A_chi_obs_m2_s2,C_A_obs,f_A_obs,H_A_eff_m,H_A_eff_AU,H_A_eff_pc,epsilon_g,R_tension,p_chi,Lambda_target,theta_rms_rad,epsilon_z,Lambda_local_LPV,C_Lambda_req,f_Lambda_req,H_Lambda_eff_m,H_Lambda_eff_AU,H_Lambda_eff_pc,C_A_over_C_Lambda
D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",9.61822939e+38,5.742475063102881e+65,7.19,57.7,3329290000.0,4.381443252397533e+32,7.62988642397355e-34,29.49241891948405,1.9714464371372933e-10,9.557842042988107e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.50191221237956e-08,130849971335155.17,874.6780333361735,0.004240558771273597,5.080114777071499e-26
DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",7.141192311e+38,4.263582942758192e+65,2.98,46.1,2125210000.0,1.1591904360933366e+32,2.718817604011321e-34,15.169776882181226,1.014036951943142e-10,4.916189874526483e-16,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.02287454996239e-08,130849971335155.17,874.6780333361735,0.004240558771273597,1.344036684856147e-26
DDO161,10,7.5,2.25,1,70.0,10.0,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,4.1891892878e+39,2.501116790250437e+66,13.37,66.3,4395690000.0,1.0757098331028901e+33,4.300918043076186e-34,46.21142574028418,3.0890430140516817e-10,1.497610314748092e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.448336942992458e-09,130849971335155.17,874.6780333361735,0.004240558771273597,1.2472441394731746e-25
ESO079-G014,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,5.9739007669e+40,3.5666623026314027e+67,16.67,175.0,30625000000.0,9.344334395604858e+33,2.6199100455097248e-34,136.1996477529318,9.104384114267464e-10,4.413929976673192e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.41814130263922e-10,130849971335155.17,874.6780333361735,0.004240558771273597,1.0834395999316867e-24
ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,7.1314289233e+39,4.2577538022661866e+66,9.86,109.1,11902810000.0,2.1481425152538774e+33,5.045248304658973e-34,65.30303168964001,4.365238046776558e-10,2.116327126377144e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,2.0256439961297936e-09,130849971335155.17,874.6780333361735,0.004240558771273597,2.4906885485793415e-25
ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,3.736431371948e+41,2.230801856391021e+68,42.41,314.6,98973160000.0,7.682850520176133e+34,3.443986070822716e-34,390.53772343712984,2.610583436847874e-09,1.2656465658618015e-14,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,3.866185336833224e-11,130849971335155.17,874.6780333361735,0.004240558771273597,8.90796940853247e-24
F563-1,9,48.9,9.8,1,25.0,5.0,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,"KN08,dB96",1.0354957525e+40,6.1823317947298436e+66,20.1,109.9,12078010000.0,4.4435300013888504e+33,7.18746607093582e-34,93.92168099716064,6.278276592954249e-10,3.0437943860539857e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.3950550880998427e-09,130849971335155.17,874.6780333361735,0.004240558771273597,5.152101972349797e-25
F563-V2,10,59.7,11.9,1,29.0,10.0,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,"dB01,dB96",8.7050643119e+39,5.197278283440128e+66,10.47,116.6,13595560000.0,2.60543628427905e+33,5.013078273258223e-34,71.91873287805495,4.807470356465104e-10,2.3307274003428204e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,1.659463464567561e-09,130849971335155.17,874.6780333361735,0.004240558771273597,3.0209030691522815e-25
F568-1,5,90.7,9.7,1,26.0,5.0,6.252,0.564,7.0,20.36,5.18,57.13,4.498,16.31,0.0,0.0,1,"dB01,dB96",1.81116608398e+40,1.0813399899992247e+67,13.23,135.0,18225000000.0,4.413306152578054e+33,4.0813307501752696e-34,93.60171937074503,6.256888479278672e-10,3.0334251359309396e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,7.97593125781419e-10,130849971335155.17,874.6780333361735,0.004240558771273597,5.117058583192655e-25
F568-3,7,82.4,8.24,1,40.0,10.0,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0.0,0.0,1,"KN08,dB96",1.67475903045e+40,9.998994179806606e+66,17.98,114.66666666666667,13148444444.444445,4.3271379177418533e+33,4.327573193792524e-34,92.68344487038665,6.195505620280641e-10,3.0036658861030765e-15,9.602438026441348e-43,1.0414021910335607e+42,1.3333333333333333,1.055580396198112e+56,1.3764782068224427e-28,9.473461269285635e-57,0.012239048323126552,8.624693426559301e+57,8.625561002902907e-10,130849971335155.17,874.6780333361735,0.004240558771273597,5.017149832151314e-25
