model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,108,36,143,1.1553916113071243e-14,3.0408877540141445e-13,5.700854747986062e-15,1.5204438770070723e-13,-1.7921166301195627e-12,5.0129018494473304e-14,3_1,0_1,True,0.75,143,,,,
sqrt+inv,PASS_FIT,108,36,143,2.7153616968474796e-15,6.191456166815277e-13,7.555030311506289e-15,3.0957280834076384e-13,-7.268805398893413e-12,1.2976984727083773e-13,3_1,0_1,True,0.75,143,2.2855027148643216e-11,5.39290987795968e-13,,
sqrt+inv+threehalf,PASS_FIT,108,36,143,2.1355933918725312e-15,8.880528534428472e-13,3.410532533049233e-14,4.440264267214236e-13,-1.421688408078456e-11,8.736522011476177e-13,3_1,0_1,True,0.75,143,8.12524531944468e-11,7.304578820776459e-12,-1.596975732613108e-10,1.994157030178514e-11
sqrt,PASS_FIT,108,36,143,3.637934051257009e-15,-1.3403489328221628e-14,1.7950046898389494e-15,-6.701744664110814e-15,1.8930486073495923e-13,1.5783917898695954e-14,4_1,0_1,False,0.75,143,,,,
sqrt+inv,PASS_FIT,108,36,143,3.251080050301076e-15,3.239481314613279e-14,9.045575163586632e-15,1.6197406573066395e-14,-6.068151275536983e-13,1.5537236239380284e-13,4_1,0_1,False,0.75,143,3.3223257179882545e-12,6.456886291672225e-13,,
sqrt+inv+threehalf,PASS_FIT,108,36,143,1.9857925971468354e-15,4.451497110175932e-13,3.171301373300865e-14,2.225748555087966e-13,-1.1271658295356662e-11,8.123700326674961e-13,4_1,0_1,False,0.75,143,9.295852857289583e-11,6.7922005203691145e-12,-2.451252570799904e-10,1.8542772623044214e-11
