normalizer,n_runs,n_valid,pass_count,pass_fraction,alpha_inv_blind_v13_mean,alpha_inv_blind_v13_std,alpha_inv_blind_v13_span,alpha_inv_blind_v13_cv_abs,abs_correction_ratio_mean,abs_correction_ratio_max,DeltaF_phys_cert_mean,DeltaF_phys_cert_std,stability_gate
raw,5,5,0,0.0,214.99871830400815,53.70911441778193,136.68045109026747,0.24981132372071752,0.5675635602217818,1.2165777044398323,155.68802580034261,107.41822883556391,FAIL_CERTIFIED_STABILITY_GATE
Mmax,5,5,5,1.0,137.63227603512627,0.3295037694342395,0.8385303747868988,0.002394087919828806,0.0034819850320354706,0.007463666898403878,0.9551412625787892,0.6590075388684902,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM,5,5,4,0.8,143.25191906114253,4.2068225127326535,10.70563916255199,0.02936660493139436,0.044455008957608,0.09528972002248592,12.194427314611307,8.413645025465316,FAIL_CERTIFIED_STABILITY_GATE
Lcert,5,5,4,0.8,141.90951476713826,3.280619672778109,8.348612364803074,0.023117686493124394,0.03466748989253681,0.0743100830075717,9.50961872660276,6.561239345556214,FAIL_CERTIFIED_STABILITY_GATE
Lcert2,5,5,5,1.0,137.44513508800964,0.20038433986644924,0.5099436522324083,0.0014579223901823664,0.0021175335058147707,0.004538952519382863,0.5808593683455576,0.400768679732895,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert3,5,5,5,1.0,137.1724452110518,0.012239725316806116,0.031147994072455276,8.922874632710838e-05,0.00012934158666080676,0.0002772448790174656,0.03547961442985558,0.02447945063361074,PASS_CERTIFIED_STABLE_NORMALIZER
NsoftV,5,5,4,0.8,141.80067769502622,3.205526643254317,8.15751353064229,0.022605862647204777,0.0338739547980492,0.07260913324387132,9.29194458237865,6.411053286508636,FAIL_CERTIFIED_STABILITY_GATE
NsoftV_Lcert,5,5,5,1.0,137.43848718394776,0.19579756399768156,0.49827109718120255,0.0014246196099031996,0.002069063392869583,0.004435056387084036,0.5675635602217818,0.39159512799536406,PASS_CERTIFIED_STABLE_NORMALIZER
leading_full_cert,5,5,5,1.0,137.43848718394776,0.19579756399768156,0.49827109718120255,0.0014246196099031996,0.002069063392869583,0.004435056387084036,0.5675635602217818,0.39159512799536406,PASS_CERTIFIED_STABLE_NORMALIZER
leading_half_cert,5,5,5,1.0,137.72226896405866,0.39159512799536506,0.9965421943624051,0.002843368258023396,0.004138126785739166,0.008870112774168073,1.1351271204435636,0.7831902559907281,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert,5,5,5,1.0,137.1838760134277,0.020126501059989078,0.05121848076566948,0.0001467118559765659,0.000212683987070778,0.0004558900798010534,0.058341219181612024,0.04025300211997677,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM_Lcert,5,5,5,1.0,137.5271308159875,0.2569579641139477,0.6539137877630594,0.001868416526901588,0.0027153673733181353,0.005820414905515308,0.7448508243012784,0.5139159282279051,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert2,5,5,5,1.0,137.1564871810404,0.0012293517783213863,0.0031284886640037257,8.963132576432184e-06,1.2991003103158101e-05,2.7846334474741493e-05,0.003563554407027961,0.0024587035566435277,PASS_CERTIFIED_STABLE_NORMALIZER
