E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,action_bem,action_pressure,action_total,pressure_Ep,pressure_kappa_eff,d_action_bem_dlogE,d2_action_bem_dlogE2,d_action_pressure_dlogE,d2_action_pressure_dlogE2,d_action_total_dlogE,d2_action_total_dlogE2,d_lambda_min_dlogE,d2_lambda_min_dlogE2
259.9999999999999,259.9999999999999,161.12297262800604,29.81357939304538,200.96775366029328,145.18799067901847,216.90273560928085,2,3,1405.482313085604,2272.1073509575535,3677.5896640431574,274.0748756567669,6736.341149140669,-0.005465775288973666,0.005262719947296379,-979.5043352469951,8644.157218828022,-979.509801022284,8644.162481378415,-0.002123483433333501,0.0020443042854654562
260.17862621209105,260.17862621209105,161.12297075291178,29.813579392827187,200.96775365977516,145.18798922063553,216.9027351920514,2,3,1405.482309331775,2271.4346391343734,3676.9169484661484,274.0748756567669,6736.341149140669,-0.00546216091606766,0.00789124460342272,-973.5676318008918,12975.150062990142,-973.5730939619243,12975.157954234746,-0.002122079429682344,0.003065144947977494
260.3573751446575,260.3573751446575,161.12296888029667,29.813579392609086,200.96775365925845,145.1879877641811,216.90273477537403,2,3,1405.4823055829108,2270.770081824564,3676.252387407475,274.0748756567669,6736.341149140669,-0.0054549360647797585,0.010512988982546378,-961.6819805298001,17323.989762893878,-961.6874354658648,17324.000275882776,-0.0021192732237977907,0.004083315876419968
260.5362468820117,260.5362468820117,161.12296701015754,29.813579392391084,200.9677536587431,145.1879863096527,216.90273435924794,2,3,1405.4823018390057,2270.113695846709,3675.595997685715,274.0748756567669,6736.341149140669,-0.005447720526717603,0.01049942842856355,-949.7718152459711,17359.720284025767,-949.7772629666142,17359.73078328476,-0.0021164706849958748,0.0040779658141059105
260.71524150852287,260.71524150852287,161.12296514249107,29.81357939217319,200.96775365822919,145.18798485704775,216.90273394367253,2,3,1405.4822981000527,2269.4654980540845,3674.947796154137,274.0748756567669,6736.341149140669,-0.005440514301881194,0.010486206888423055,-937.8370853886008,17395.52449929889,-937.8425259031355,17395.53498550586,-0.0021136718278285116,0.004072700505252325
260.8943591086194,260.8943591086194,161.12296327729416,29.8135793919554,200.96775365771674,145.18798340636383,216.90273352864708,2,3,1405.482294366046,2268.825505334722,3674.307799700768,274.0748756567669,6736.341149140669,-0.005433316924609244,0.010472392074051928,-925.877740293974,17431.402559936163,-925.8831736110151,17431.41303241288,-0.002110876521328464,0.004067435196400515
261.0735997667866,261.0735997667866,161.1229614145636,29.81357939173771,200.96775365720563,145.18798195759842,216.90273311417081,2,3,1405.4822906369789,2268.1937346114896,3673.6760252484682,274.0748756567669,6736.341149140669,-0.005426129675470293,0.01045840775276341,-913.8937291936018,17467.354617985082,-913.8991553233936,17467.36507656239,-0.0021080848964629695,0.004062127510820801
261.25296356756866,261.25296356756866,161.1229595542961,29.81357939152012,200.96775365669592,145.18798051074901,216.902732700243,2,3,1405.4822869128445,2267.570202842154,3673.0524897549985,274.0748756567669,6736.341149140669,-0.005418951506726444,0.01044510145916755,-901.8850012149196,17503.38082716614,-901.8904201663099,17503.391271504923,-0.0021052968804724514,0.004056851607786571
261.4324505955671,261.4324505955671,161.12295769648853,29.813579391302625,200.96775365618763,145.18797906581315,216.902732286863,2,3,1405.4822831936372,2266.9549270194584,3672.4372102130956,274.0748756567669,6736.341149140669,-0.005411782534793019,0.010431540905183834,-889.8515053782612,17539.481340724626,-889.8569171619602,17539.49177184177,-0.0021025125024607405,0.0040515757047523415
261.61206093544246,261.61206093544246,161.12295584113764,29.81357939108524,200.96775365568067,145.1879776227883,216.90273187403,2,3,1405.4822794793497,2266.3479241711943,3671.830203650544,274.0748756567669,6736.341149140669,-0.005404622992500663,0.010417895597738536,-877.7931906005833,17575.65631104738,-877.7985952240415,17575.666729790508,-0.002099731733324006,0.004046352772632211
261.79179467191244,261.79179467191244,161.12295398824028,29.81357939086795,200.9677536551752,145.18797618167204,216.90273146174343,2,3,1405.4822757699767,2265.749211360273,3671.2314871302497,274.0748756567669,6736.341149140669,-0.0053974727634340525,0.010404250290285688,-865.7100056929048,17611.90589135734,-865.7154031656682,17611.916296200827,-0.002096954529406503,0.004041087463778403
261.97165188975396,261.97165188975396,161.12295213779333,29.81357939065078,200.96775365467101,145.1879747424619,216.90273105000244,2,3,1405.4822720655109,2265.1588056847954,3670.641077750306,274.0748756567669,6736.341149140669,-0.00539033196400851,0.010390859243226913,-853.6018993617035,17648.230235589202,-853.6072896933183,17648.240626363782,-0.002094180992571637,0.004035779778195581
262.15163267380115,262.15163267380115,161.12295028979344,29.813579390433688,200.96775365416818,145.18797330515528,216.90273063880633,2,3,1405.4822683659459,2264.5767242781308,3670.0589926440766,274.0748756567669,6736.341149140669,-0.005383200128562748,0.0103774681961748,-841.4688202065881,17684.629498503404,-841.4742034068331,17684.639875547844,-0.002091411079163663,0.004030546251895251
262.33173710894744,262.33173710894744,161.12294844423758,29.813579390216724,200.96775365366682,145.18797186974984,216.90273022815455,2,3,1405.4822646712762,2264.002984308982,3669.485248980258,274.0748756567669,6736.341149140669,-0.005376077722758055,0.010363907642178649,-829.3107167214621,17721.103835491696,-829.3160927994177,17721.114199653617,-0.00208864473097492,0.004025344508135964
262.51196528014384,262.51196528014384,161.12294660112252,29.813579389999855,200.9677536531668,145.18797043624303,216.90272981804628,2,3,1405.4822609814946,2263.437602981464,3668.9198639629585,274.0748756567669,6736.341149140669,-0.005368964513763785,0.01035026233473868,-817.1275372924283,17757.653399687377,-817.1329062567092,17757.663749949774,-0.0020858819625573233,0.00402011098183519
262.6923172723997,262.6923172723997,161.12294476044508,29.813579389783094,200.96775365266808,145.18796900463244,216.90272940848072,2,3,1405.4822572965952,2262.880597535177,3668.362854831772,274.0748756567669,6736.341149140669,-0.005361860850825906,0.010336617027300488,-804.9192302031443,17794.278345985804,-804.9245920642279,17794.28868268768,-0.002083122803014703,0.0040148668613519956
262.8727931707836,262.8727931707836,161.12294292220207,29.813579389566424,200.96775365217079,145.18796757491555,216.9027289994573,2,3,1405.4822536165711,2262.3319852452732,3667.8142388618444,274.0748756567669,6736.341149140669,-0.0053547663846984506,0.01032364974755362,-792.6857436269056,17830.978832186316,-792.6910983929411,17830.989156175056,-0.0020803672377951443,0.004009633335049001
263.0533930604215,263.0533930604215,161.1229410863904,29.81357938934988,200.96775365167485,145.18796614708992,216.90272859097536,2,3,1405.4822499414167,2261.7917834225386,3667.2740333639554,274.0748756567669,6736.341149140669,-0.0053476805333048105,0.010310343453957316,-780.4270256306045,17867.755012212554,-780.432373310905,17867.765322301653,-0.002077615266898647,0.004004442185477242
263.23411702649884,263.23411702649884,161.12293925300685,29.813579389133423,200.96775365118026,145.1879647211531,216.90272818303401,2,3,1405.4822462711254,2261.2600094134596,3666.742255684585,274.0748756567669,6736.341149140669,-0.005340604344382882,0.010296359132662136,-768.1430241761263,17904.60704218049,-768.1483647804707,17904.617338709068,-0.00207486683211755,0.003999251035905704
263.4149651542586,263.4149651542586,161.12293742204832,29.813579388917084,200.967753650687,145.18796329710264,216.90272777563268,2,3,1405.4822426056908,2260.7366806003015,3666.2189232059923,274.0748756567669,6736.341149140669,-0.0053335377015173435,0.010283222345984555,-755.8336871159263,17941.53508056735,-755.8390206531622,17941.545363704907,-0.0020721219916595146,0.003994038697965774
263.5959375290034,263.5959375290034,161.1229355935116,29.81357938870086,200.96775365019508,145.18796187493606,216.90272736877063,2,3,1405.4822389451062,2260.2218144011786,3665.704053346285,274.0748756567669,6736.341149140669,-0.005326479556970298,0.010270085559311859,-743.4989621941932,17978.53928181727,-743.5042886738665,17978.549551563803,-0.00206938071642071,0.003988879330942163
263.7770342360932,263.7770342360932,161.1229337673936,29.813579388484715,200.96775364970455,145.18796045465095,216.90272696244716,2,3,1405.4822352893661,2259.7154282701335,3665.1976635594997,274.0748756567669,6736.341149140669,-0.005319430958479643,0.010256270744948726,-731.1387970512733,18015.61980238522,-731.1441164822318,18015.63005857123,-0.002066642962745391,0.003983677587190204
263.95825536094793,263.95825536094793,161.12293194369113,29.813579388268693,200.96775364921533,145.1879590362449,216.90272655666155,2,3,1405.4822316384634,2259.2175396972025,3664.699771335666,274.0748756567669,6736.341149140669,-0.005312391789630055,0.010243049204815335,-718.7531392164528,18052.776801754022,-718.7584516084753,18052.787044718396,-0.0020639088324969634,0.003978454655070296
264.13960098904505,264.13960098904505,161.12293012240104,29.81357938805278,200.96775364872744,145.18795761971532,216.90272615141316,2,3,1405.4822279923924,2258.728166208498,3664.2103942008903,274.0748756567669,6736.341149140669,-0.005305361351929605,0.010229997171605554,-706.3419361109845,18090.010438254336,-706.3472414724529,18090.02066833625,-0.0020611782529158518,0.003973337664777921
264.3210712059217,264.3210712059217,161.12292830352027,29.813579387836974,200.9677536482409,145.18795620505995,216.9027257467012,2,3,1405.4822243511462,2258.2473253662783,3663.7295497174246,274.0748756567669,6736.341149140669,-0.005298340111039579,0.010216945138384226,-693.9051350466907,18127.320867979142,-693.9104333869182,18127.331085009093,-0.0020584511512424797,0.003968167703567005
