n_s,n_core,energy_norm,longitudinal_energy,meridional_energy,holonomy_mismatch
0,0,0.0,0.0,0.0,0.0
-1,0,0.34764276733688276,0.34764276733688276,0.0,-1.0
1,0,0.34764276733688276,0.34764276733688276,0.0,1.0
-2,0,1.390571069347531,1.390571069347531,0.0,-2.0
2,0,1.390571069347531,1.390571069347531,0.0,2.0
-3,0,3.128784906031945,3.128784906031945,0.0,-3.0
3,0,3.128784906031945,3.128784906031945,0.0,3.0
-4,0,5.562284277390124,5.562284277390124,0.0,-4.0
4,0,5.562284277390124,5.562284277390124,0.0,4.0
-5,0,8.691069183422071,8.691069183422071,0.0,-5.0
5,0,8.691069183422071,8.691069183422071,0.0,5.0
-6,0,12.51513962412778,12.51513962412778,0.0,-6.0
6,0,12.51513962412778,12.51513962412778,0.0,6.0
-7,0,17.03449559950726,17.03449559950726,0.0,-7.0
7,0,17.03449559950726,17.03449559950726,0.0,7.0
-8,0,22.249137109560497,22.249137109560497,0.0,-8.0
8,0,22.249137109560497,22.249137109560497,0.0,8.0
3,-1,1120.8181866903885,0.022931489715349404,1120.7952552006732,0.25683223750628725
-3,1,1120.8181866903885,0.022931489715349404,1120.7952552006732,-0.25683223750628725
2,-1,1120.9872577181493,0.19200251747621377,1120.7952552006732,-0.7431677624937127
-2,1,1120.9872577181493,0.19200251747621377,1120.7952552006732,0.7431677624937127
4,-1,1121.3444011973015,0.5491459966282506,1120.7952552006732,1.2568322375062873
-4,1,1121.3444011973015,0.5491459966282506,1120.7952552006732,-1.2568322375062873
1,-1,1121.851614280584,1.0563590799108435,1120.7952552006732,-1.7431677624937127
-1,1,1121.851614280584,1.0563590799108435,1120.7952552006732,1.7431677624937127
5,-1,1122.565901238888,1.770646038214918,1120.7952552006732,2.2568322375062873
-5,1,1122.565901238888,1.770646038214918,1120.7952552006732,-2.2568322375062873
0,-1,1123.4112563776923,2.616001177019239,1120.7952552006732,-2.7431677624937127
0,1,1123.4112563776923,2.616001177019239,1120.7952552006732,2.7431677624937127
6,-1,1124.4826868151486,3.68743161447535,1120.7952552006732,3.2568322375062873
-6,1,1124.4826868151486,3.68743161447535,1120.7952552006732,-3.2568322375062873
-1,-1,1125.6661840094746,4.8709288088014,1120.7952552006732,-3.7431677624937127
1,1,1125.6661840094746,4.8709288088014,1120.7952552006732,3.7431677624937127
7,-1,1127.0947579260828,6.299502725409549,1120.7952552006732,4.256832237506288
-7,1,1127.0947579260828,6.299502725409549,1120.7952552006732,-4.256832237506288
-2,-1,1128.6163971759306,7.821141975257328,1120.7952552006732,-4.743167762493712
2,1,1128.6163971759306,7.821141975257328,1120.7952552006732,4.743167762493712
8,-1,1130.4021145716906,9.606859371017512,1120.7952552006732,5.256832237506288
-8,1,1130.4021145716906,9.606859371017512,1120.7952552006732,-5.256832237506288
-3,-1,1132.2618958770602,11.46664067638702,1120.7952552006732,-5.743167762493712
3,1,1132.2618958770602,11.46664067638702,1120.7952552006732,5.743167762493712
-4,-1,1136.6026801128637,15.807424912190474,1120.7952552006732,-6.743167762493712
4,1,1136.6026801128637,15.807424912190474,1120.7952552006732,6.743167762493712
-5,-1,1141.6387498833408,20.8434946826677,1120.7952552006732,-7.743167762493712
5,1,1141.6387498833408,20.8434946826677,1120.7952552006732,7.743167762493712
-6,-1,1147.3701051884918,26.574849987818688,1120.7952552006732,-8.743167762493712
6,1,1147.3701051884918,26.574849987818688,1120.7952552006732,8.743167762493712
-7,-1,1153.7967460283166,33.001490827643444,1120.7952552006732,-9.743167762493712
7,1,1153.7967460283166,33.001490827643444,1120.7952552006732,9.743167762493712
-8,-1,1160.9186724028152,40.12341720214196,1120.7952552006732,-10.743167762493712
8,1,1160.9186724028152,40.12341720214196,1120.7952552006732,10.743167762493712
5,-2,4483.263246049739,0.08222524704624344,4483.181020802693,-0.4863355249874255
-5,2,4483.263246049739,0.08222524704624344,4483.181020802693,0.4863355249874255
6,-2,4483.272746761554,0.09172595886139762,4483.181020802693,0.5136644750125745
-6,2,4483.272746761554,0.09172595886139762,4483.181020802693,-0.5136644750125745
