n_s,n_core,energy_norm,longitudinal_energy,meridional_energy,holonomy_mismatch
4,-2,4483.949030872597,0.7680100699048551,4483.181020802693,-1.4863355249874255
-4,2,4483.949030872597,0.7680100699048551,4483.181020802693,1.4863355249874255
7,-2,4483.977533008043,0.7965122053503177,4483.181020802693,1.5136644750125745
-7,2,4483.977533008043,0.7965122053503177,4483.181020802693,-1.5136644750125745
3,-2,4485.33010123013,2.1490804274372324,4483.181020802693,-2.4863355249874255
-3,2,4485.33010123013,2.1490804274372324,4483.181020802693,2.4863355249874255
8,-2,4485.377604789206,2.1965839865130024,4483.181020802693,2.5136644750125745
-8,2,4485.377604789206,2.1965839865130024,4483.181020802693,-2.5136644750125745
2,-2,4487.406457122336,4.225436319643374,4483.181020802693,-3.4863355249874255
-2,2,4487.406457122336,4.225436319643374,4483.181020802693,3.4863355249874255
1,-2,4490.178098549216,6.997077746523283,4483.181020802693,-4.4863355249874255
-1,2,4490.178098549216,6.997077746523283,4483.181020802693,4.4863355249874255
0,-2,4493.645025510769,10.464004708076956,4483.181020802693,-5.4863355249874255
0,2,4493.645025510769,10.464004708076956,4483.181020802693,5.4863355249874255
-1,-2,4497.807238006997,14.626217204304393,4483.181020802693,-6.4863355249874255
1,2,4497.807238006997,14.626217204304393,4483.181020802693,6.4863355249874255
-2,-2,4502.664736037898,19.4837152352056,4483.181020802693,-7.4863355249874255
2,2,4502.664736037898,19.4837152352056,4483.181020802693,7.4863355249874255
-3,-2,4508.217519603473,25.03649880078057,4483.181020802693,-8.486335524987425
3,2,4508.217519603473,25.03649880078057,4483.181020802693,8.486335524987425
-4,-2,4514.4655887037225,31.284567901029313,4483.181020802693,-9.486335524987425
4,2,4514.4655887037225,31.284567901029313,4483.181020802693,9.486335524987425
-5,-2,4521.408943338644,38.22792253595182,4483.181020802693,-10.486335524987425
5,2,4521.408943338644,38.22792253595182,4483.181020802693,10.486335524987425
-6,-2,4529.047583508241,45.86656270554808,4483.181020802693,-11.486335524987425
6,2,4529.047583508241,45.86656270554808,4483.181020802693,11.486335524987425
-7,-2,4537.3815092125105,54.200488409818114,4483.181020802693,-12.486335524987425
7,2,4537.3815092125105,54.200488409818114,4483.181020802693,12.486335524987425
-8,-2,4546.410720451455,63.229699648761894,4483.181020802693,-13.486335524987425
8,2,4546.410720451455,63.229699648761894,4483.181020802693,13.486335524987425
8,-3,10087.175607762105,0.018310956046972318,10087.157296806057,-0.22950328748113868
-8,3,10087.175607762105,0.018310956046972318,10087.157296806057,0.22950328748113868
7,-3,10087.682820845386,0.5255240393295654,10087.157296806057,-1.2295032874811387
-7,3,10087.682820845386,0.5255240393295654,10087.157296806057,1.2295032874811387
6,-3,10088.885319463343,1.7280226572859247,10087.157296806057,-2.2295032874811387
-6,3,10088.885319463343,1.7280226572859247,10087.157296806057,2.2295032874811387
5,-3,10090.783103615973,3.625806809916048,10087.157296806057,-3.2295032874811387
-5,3,10090.783103615973,3.625806809916048,10087.157296806057,3.2295032874811387
4,-3,10093.376173303277,6.21887649721994,10087.157296806057,-4.229503287481139
-4,3,10093.376173303277,6.21887649721994,10087.157296806057,4.229503287481139
3,-3,10096.664528525254,9.507231719197597,10087.157296806057,-5.229503287481139
-3,3,10096.664528525254,9.507231719197597,10087.157296806057,5.229503287481139
2,-3,10100.648169281907,13.490872475849015,10087.157296806057,-6.229503287481139
-2,3,10100.648169281907,13.490872475849015,10087.157296806057,6.229503287481139
1,-3,10105.327095573231,18.1697987671742,10087.157296806057,-7.229503287481139
-1,3,10105.327095573231,18.1697987671742,10087.157296806057,7.229503287481139
0,-3,10110.701307399231,23.544010593173155,10087.157296806057,-8.229503287481139
0,3,10110.701307399231,23.544010593173155,10087.157296806057,8.229503287481139
-1,-3,10116.770804759903,29.613507953845875,10087.157296806057,-9.229503287481139
1,3,10116.770804759903,29.613507953845875,10087.157296806057,9.229503287481139
-2,-3,10123.53558765525,36.378290849192354,10087.157296806057,-10.229503287481139
2,3,10123.53558765525,36.378290849192354,10087.157296806057,10.229503287481139
-3,-3,10130.99565608527,43.838359279212604,10087.157296806057,-11.229503287481139
3,3,10130.99565608527,43.838359279212604,10087.157296806057,11.229503287481139
-4,-3,10139.151010049964,51.99371324390662,10087.157296806057,-12.229503287481139
4,3,10139.151010049964,51.99371324390662,10087.157296806057,12.229503287481139
-5,-3,10148.001649549331,60.844352743274406,10087.157296806057,-13.229503287481139
5,3,10148.001649549331,60.844352743274406,10087.157296806057,13.229503287481139
-6,-3,10157.547574583374,70.39027777731596,10087.157296806057,-14.229503287481139
6,3,10157.547574583374,70.39027777731596,10087.157296806057,14.229503287481139
-7,-3,10167.788785152088,80.63148834603128,10087.157296806057,-15.229503287481139
7,3,10167.788785152088,80.63148834603128,10087.157296806057,15.229503287481139
-8,-3,10178.725281255478,91.56798444942032,10087.157296806057,-16.229503287481137
8,3,10178.725281255478,91.56798444942032,10087.157296806057,16.229503287481137
8,-4,17935.79612349039,3.0720402796194204,17932.72408321077,-2.972671049974851
-8,4,17935.79612349039,3.0720402796194204,17932.72408321077,2.972671049974851
7,-4,17938.210621438117,5.486538227347291,17932.72408321077,-3.972671049974851
-7,4,17938.210621438117,5.486538227347291,17932.72408321077,3.972671049974851
6,-4,17941.32040492052,8.59632170974893,17932.72408321077,-4.972671049974851
-6,4,17941.32040492052,8.59632170974893,17932.72408321077,4.972671049974851
5,-4,17945.125473937595,12.401390726824328,17932.72408321077,-5.972671049974851
-5,4,17945.125473937595,12.401390726824328,17932.72408321077,5.972671049974851
4,-4,17949.625828489345,16.901745278573497,17932.72408321077,-6.972671049974851
-4,4,17949.625828489345,16.901745278573497,17932.72408321077,6.972671049974851
3,-4,17954.821468575767,22.097385364996434,17932.72408321077,-7.972671049974851
-3,4,17954.821468575767,22.097385364996434,17932.72408321077,7.972671049974851
2,-4,17960.712394196864,27.988310986093133,17932.72408321077,-8.972671049974851
-2,4,17960.712394196864,27.988310986093133,17932.72408321077,8.972671049974851
1,-4,17967.298605352633,34.574522141863596,17932.72408321077,-9.972671049974851
-1,4,17967.298605352633,34.574522141863596,17932.72408321077,9.972671049974851
0,-4,17974.580102043077,41.856018832307825,17932.72408321077,-10.972671049974851
0,4,17974.580102043077,41.856018832307825,17932.72408321077,10.972671049974851
-1,-4,17982.556884268197,49.832801057425826,17932.72408321077,-11.972671049974851
1,4,17982.556884268197,49.832801057425826,17932.72408321077,11.972671049974851
-2,-4,17991.22895202799,58.50486881721757,17932.72408321077,-12.972671049974851
2,4,17991.22895202799,58.50486881721757,17932.72408321077,12.972671049974851
-3,-4,18000.596305322455,67.87222211168312,17932.72408321077,-13.972671049974851
3,4,18000.596305322455,67.87222211168312,17932.72408321077,13.972671049974851
-4,-4,18010.658944151593,77.9348609408224,17932.72408321077,-14.972671049974851
4,4,18010.658944151593,77.9348609408224,17932.72408321077,14.972671049974851
-5,-4,18021.416868515407,88.69278530463546,17932.72408321077,-15.972671049974851
5,4,18021.416868515407,88.69278530463546,17932.72408321077,15.972671049974851
-6,-4,18032.870078413893,100.14599520312228,17932.72408321077,-16.97267104997485
6,4,18032.870078413893,100.14599520312228,17932.72408321077,16.97267104997485
-7,-4,18045.018573847054,112.29449063628289,17932.72408321077,-17.97267104997485
7,4,18045.018573847054,112.29449063628289,17932.72408321077,17.97267104997485
-8,-4,18057.86235481489,125.13827160411725,17932.72408321077,-18.97267104997485
8,4,18057.86235481489,125.13827160411725,17932.72408321077,18.97267104997485
