status,name,value,unit,reference,rel_error
INFO,Gamma_0,9.683619203488876e-09,m^2 s^-1,,
PASS,beta_0 = Gamma_0/(4*pi),7.705979316274285e-10,m^2 s^-1,7.705979316274285e-10,0.0
PASS,Omega_0 = |v_swirl|/r_c,7.763440655383073e+20,s^-1,7.76344071105011e+20,7.170407990318803e-09
PASS,lambda_Cbar(SST)=c/Omega_0,3.8615927049320284e-13,m,3.8615926772428334e-13,7.170407988949594e-09
INFO,D_e = hbar/(2*m_e),5.7883818025271484e-05,m^2 s^-1,,
PASS,D_SST = c^2/(2*Omega_0),5.7883818440322074e-05,m^2 s^-1,5.7883818025271484e-05,7.170407957579915e-09
PASS,R_SST = D_e/beta_0,75115.45989103091,dimensionless,75115.46042963941,7.170407966134245e-09
PASS,R_SST = 4/alpha_SST^2,75115.4604296394,dimensionless,75115.46042963941,1.9372729854991195e-16
INFO,alpha_SST = 2|v_swirl|/c,0.007297352557148052,dimensionless,,
INFO,q_swirl = 0.5*rho_f*|v_swirl|^2,418774.3917945338,Pa,,
INFO,q_c = 0.5*rho_f*c^2,31456431255.788616,Pa,,
