s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
0.0000000000000000e+00,8.5237258941215325e-15,9.9949850105869603e-15,1.0735479193766267e-14,1.1515357027228709e+14,7.2326267044313720e+15,0.0000000000000000e+00,0.0000000000000000e+00
6.1293064290313708e-17,8.5474387806534302e-15,9.9385142010196823e-15,1.0737842727338150e-14,1.1545999300482341e+14,7.2593383250215350e+15,4.4330985358255182e-01,9.9901747379238515e-03
1.2258612858062742e-16,8.5709677094737408e-15,9.8819516539825991e-15,1.0739819419648874e-14,1.1551809531490075e+14,7.2704859911317940e+15,8.8825694424323509e-01,2.6747493435165914e-02
1.8387919287094112e-16,8.5943164257692177e-15,9.8253022026449916e-15,1.0741405801653461e-14,1.0891699803419816e+14,7.2843882577817190e+15,1.3338873095195014e+00,4.1848804977414389e-02
2.4517225716125483e-16,8.6174897187431675e-15,9.7685711477118197e-15,1.0742599707906741e-14,1.2121446992081402e+14,2.0802697729168881e+14,1.7803697873193227e+00,5.7269156387195430e-02
3.0646532145156854e-16,8.6404931205637543e-15,9.7117640883496477e-15,1.0743400386934644e-14,1.1412598569320994e+14,2.0236140765814681e+14,1.7931203982125816e+00,7.2271912661983517e-02
3.6775838574188225e-16,8.6633324975118971e-15,9.6548867112790267e-15,1.0743808448320230e-14,1.1328927034509719e+14,1.6310136242830925e+14,1.8055237489820510e+00,8.6014772354808589e-02
4.2905145003219595e-16,8.6860134959452110e-15,9.5979445322790845e-15,1.0743825504199854e-14,1.1239606953524636e+14,1.2353996765515066e+14,1.8155207312752071e+00,9.7575506899761244e-02
4.9034451432250966e-16,8.7085411352112947e-15,9.5409427144320275e-15,1.0743454169764829e-14,1.1154479819225373e+14,7.5311657136271031e+13,1.8230928744551176e+00,1.0602404050442882e-01
5.5163757861282337e-16,8.7309192606817364e-15,9.4838858419410510e-15,1.0742697650678462e-14,1.1083232045647261e+14,2.1562082327207863e+13,1.8277089566977811e+00,1.1053204325795507e-01
6.1293064290313708e-16,8.7531499759654859e-15,9.4267777137243529e-15,1.0741559068503520e-14,1.1034249152794786e+14,-3.3757439276793004e+13,1.8290305627960957e+00,1.1052238024929206e-01
6.7422370719345078e-16,8.7752333403645687e-15,9.3696212591743221e-15,1.0740041185076971e-14,1.1013059583015719e+14,-8.6233216418607297e+13,1.8269614659002269e+00,1.0580940574538111e-01
7.3551677148376449e-16,8.7971671866473915e-15,9.3124185134805839e-15,1.0738146083577914e-14,1.1023053986751003e+14,-1.3148094371176167e+14,1.8216759678223207e+00,9.6695812410536153e-02
7.9680983577407820e-16,8.8189471409369940e-15,9.2551706783445643e-15,1.0735874958111579e-14,1.1063922296940566e+14,-1.6558530763306691e+14,1.8136170978864445e+00,8.3987801663157668e-02
8.5810290006439191e-16,8.8405668598049137e-15,9.1978782658460965e-15,1.0733228033288826e-14,1.1130893411969191e+14,-1.8552274463142172e+14,1.8034678669801596e+00,6.8906742043654212e-02
9.1939596435470571e-16,8.8620184760640423e-15,9.1405413137277273e-15,1.0730204618897949e-14,1.1216379546969411e+14,-1.8950957273185425e+14,1.7920966094661506e+00,5.2918001155255023e-02
9.8068902864501932e-16,8.8832932196083868e-15,9.0831596512540316e-15,1.0726803287790358e-14,1.1310469507998092e+14,-1.7722811814512103e+14,1.7804809870410669e+00,3.7525689358045788e-02
1.0419820929353329e-15,8.9043821560397385e-15,9.0257331874597814e-15,1.0723022149526339e-14,1.1402116664552386e+14,-1.4993177583947781e+14,1.7696181326015468e+00,2.4088263769955542e-02
1.1032751572256467e-15,8.9252769671331591e-15,8.9682621894338415e-15,1.0718859180162961e-14,1.1480505636558584e+14,-1.1036694354454594e+14,1.7604283546258570e+00,1.3691155864622218e-02
1.1645682215159605e-15,8.9459706866249742e-15,8.9107475183764149e-15,1.0714312561579425e-14,1.1536426691610995e+14,-6.2513402664609234e+13,1.7536636264596557e+00,7.0828753255609556e-03
1.2258612858062742e-15,8.9664583047478434e-15,8.8531907958910204e-15,1.0709380983084981e-14,1.1563471869152495e+14,-1.1180284900838734e+13,1.7498319884511278e+00,4.6577885862748580e-03
1.2871543500965878e-15,8.9867371664103597e-15,8.7955944817966518e-15,1.0704063864003161e-14,1.1558877674060692e+14,3.8484196529716375e+13,1.7491467145299164e+00,6.4607524938873340e-03
1.3484474143869016e-15,9.0068071101744201e-15,8.7379618562730442e-15,1.0698361467683940e-14,1.1523884238417188e+14,8.1519590975240312e+13,1.7515055288619734e+00,1.2194598283401969e-02
1.4097404786772154e-15,9.0266703256737877e-15,8.6802969114545672e-15,1.0692274893205100e-14,1.1463556002775612e+14,1.1368281529731889e+14,1.7565021143925388e+00,2.1225052799708877e-02
1.4710335429675290e-15,9.0463309418448911e-15,8.6226041686949024e-15,1.0685805948464887e-14,1.1386094920591625e+14,1.3194166136745747e+14,1.7634700824992613e+00,3.2593078627204175e-02
1.5323266072578426e-15,9.0657943925341882e-15,8.5648884460862959e-15,1.0678956924827308e-14,1.1301749742845227e+14,1.3486787494130806e+14,1.7715571912320276e+00,4.5056598638747669e-02
1.5936196715481564e-15,9.0850666349946592e-15,8.5071546055878088e-15,1.0671730306628353e-14,1.1221469930203112e+14,1.2285029580488928e+14,1.7798236565615033e+00,5.7186462509538849e-02
1.6549127358384702e-15,9.1041533165832466e-15,8.4494073101580789e-15,1.0664128457002100e-14,1.1155472678353370e+14,9.8071427544385297e+13,1.7873535276403563e+00,6.7529980169943382e-02
1.7162058001287838e-15,9.1230589930362292e-15,8.3916508189600356e-15,1.0656153323790548e-14,1.1111897824964833e+14,6.4246575176186484e+13,1.7933646259538771e+00,7.4828936641227362e-02
1.7774988644190974e-15,9.1417864969908802e-15,8.3338888435867277e-15,1.0647806205728935e-14,1.1095723278054889e+14,2.6178866992876594e+13,1.7973024954165837e+00,7.8247087347805167e-02
1.8387919287094114e-15,9.1603365384103426e-15,8.2761244809395184e-15,1.0639087610327140e-14,1.1108095470689652e+14,-1.0796342741739062e+13,1.7989070783942256e+00,7.7542408080890635e-02
1.9000849929997250e-15,9.1787075910812562e-15,8.2183602294421511e-15,1.0629997222106543e-14,1.1146183029116844e+14,-4.1419198709105297e+13,1.7982453374644558e+00,7.3127107679185510e-02
1.9613780572900386e-15,9.1968960843655688e-15,8.1605980853549973e-15,1.0620533984724534e-14,1.1203586095860906e+14,-6.1127310406917922e+13,1.7957066278551255e+00,6.5993941468656558e-02
2.0226711215803523e-15,9.2148968808020661e-15,8.1028397059722669e-15,1.0610696284907061e-14,1.1271244675209139e+14,-6.6650661633905797e+13,1.7919599476884605e+00,5.7533494960253062e-02
2.0839641858706659e-15,9.2327039825110243e-15,8.0450866176523994e-15,1.0600482212045935e-14,1.1338711883625348e+14,-5.6511729664064906e+13,1.7878747243999416e+00,4.9299778448581577e-02
2.1452572501609799e-15,9.2503113774489429e-15,7.9873404403396378e-15,1.0589889856744647e-14,1.1395609719069695e+14,-3.1342897679761684e+13,1.7844109473204852e+00,4.2785561665761307e-02
2.2065503144512935e-15,9.2677139148721716e-15,7.9296030977224161e-15,1.0578917606132788e-14,1.1433067869479188e+14,6.0549438305047188e+12,1.7824898450779549e+00,3.9247109858290496e-02
2.2678433787416071e-15,9.2849080914070257e-15,7.8718769841337086e-15,1.0567564394362026e-14,1.1444952677219717e+14,5.0947867212235141e+13,1.7828609711394323e+00,3.9586681779092192e-02
2.3291364430319211e-15,9.3018926367482007e-15,7.8141650655600256e-15,1.0555829873404781e-14,1.1428720057878378e+14,9.7187771593102375e+13,1.7859837220399262e+00,4.4277758111045618e-02
2.3904295073222347e-15,9.3186688109400964e-15,7.7564709016130417e-15,1.0543714481143505e-14,1.1385777085226123e+14,1.3796852237311630e+14,1.7919406583724147e+00,5.3311499653575734e-02
2.4517225716125483e-15,9.3352403608522346e-15,7.6987985862983489e-15,1.0531219398928910e-14,1.1321312829734442e+14,1.6674047883326772e+14,1.8003971718842697e+00,6.6153027705043943e-02
2.5130156359028619e-15,9.3516131272678189e-15,7.6411526159951428e-15,1.0518346406912941e-14,1.1243643617501120e+14,1.7816246945521053e+14,1.8106172067731949e+00,8.1716780035541614e-02
2.5743087001931755e-15,9.3677943400931155e-15,7.5835377016907527e-15,1.0505097660054280e-14,1.1163182124312433e+14,1.6893218495675666e+14,1.8215373304676343e+00,9.8392047353317302e-02
2.6356017644834895e-15,9.3837916813466446e-15,7.5259585483233527e-15,1.0491475418655192e-14,1.1091164966923430e+14,1.3833545446792566e+14,1.8318917017408918e+00,1.1416009469639965e-01
2.6968948287738031e-15,9.3996122281978316e-15,7.4684196269127795e-15,1.0477481773209792e-14,1.1038269985948916e+14,8.8408994128458656e+13,1.8403707056452241e+00,1.2682998104645504e-01
2.7581878930641167e-15,9.4152614071286540e-15,7.4109249652960706e-15,1.0463118403646534e-14,1.1013252407212656e+14,2.3700609258868422e+13,1.8457895638061816e+00,1.3437802221893103e-01
2.8194809573544307e-15,9.4307420928090101e-15,7.3534779811313055e-15,1.0448386407908899e-14,1.1021746764052541e+14,-4.9304467400182156e+13,1.8472422467732053e+00,1.3532214603863402e-01
2.8807740216447444e-15,9.4460539709683794e-15,7.2960813766306360e-15,1.0433286225046799e-14,1.1065403200768025e+14,-1.2298288643720012e+14,1.8442202248830459e+00,1.2902795925621779e-01
2.9420670859350580e-15,9.4611932547966810e-15,7.2387371082907556e-15,1.0417817664844888e-14,1.1141689682477841e+14,-1.8945484578657819e+14,1.8366822269180423e+00,1.1585166407491565e-01
3.0033601502253716e-15,9.4761528024173438e-15,7.1814464367975929e-15,1.0401980041121596e-14,1.1243442637113491e+14,-2.4154333920648275e+14,1.8250699588751340e+00,9.7074875292951113e-02
3.0646532145156852e-15,9.4909226335377038e-15,7.1242100527479526e-15,1.0385772391064137e-14,1.1360310086924053e+14,-2.7362360883165681e+14,1.8102650274562540e+00,7.4655261824397190e-02
3.1259462788059992e-15,9.5054907925174283e-15,7.0670282639061910e-15,1.0369193750332835e-14,1.1480085130589794e+14,-2.8233759502556038e+14,1.7934937980087875e+00,5.0873211133492635e-02
3.1872393430963128e-15,9.5198444594297842e-15,7.0099012210052963e-15,1.0352243445093189e-14,1.1589794706041075e+14,-2.6701894147956572e+14,1.7761884616453134e+00,2.7985643136778648e-02
3.2485324073866264e-15,9.5339711449365018e-15,6.9528291607992975e-15,1.0334921309690734e-14,1.1677322423342234e+14,-2.2976748114765262e+14,1.7598220524984749e+00,7.9541662516584566e-03
