channel,E_minus,E_0,E_plus,b_minus,b_0,b_plus,hessian,linear_slope,status_minus,status_0,status_plus
scalar,6.295160691664851,6.291841919383077,6.289653498024073,1.0,1.0,1.0,4.8474963330053535,-0.18032355035120046,frozen,frozen,frozen
perp,6.293015176260653,6.291841919383077,6.293015176260653,1.0,1.0,1.0,10.062996007975043,0.0,frozen,frozen,frozen
