knot,reference,F_knot,F_reference,Delta_RT_ren,half_Delta_RT_ren,status
0_1,0_1,603.1131886525643,603.1131886525643,0.0,0.0,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
3_1,0_1,419.18071820316476,603.1131886525643,-183.93247044939955,-91.96623522469977,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
4_1,0_1,375.62341666594943,603.1131886525643,-227.48977198661487,-113.74488599330743,FINITE_RT_CORRECTION_FROM_CONSTANT_TERM
