a_mid_dimless,A_local,rel_dE,in_plateau
0.013206973059415036,0.08934081282969865,0.03978879560495754,True
0.015277733816578957,0.13656903275211135,0.06334266891317317,True
0.017673175338526692,-0.0,0.0,False
0.02044420529223807,0.10924633529069085,0.05409663674993734,True
0.023649713309867412,0.09102956766302363,0.04765397125212102,True
0.027357822504906527,0.07801619350970146,0.04288511708000146,True
0.0316473372173054,0.06825494516310711,0.03920052612326776,True
0.036609417754874994,0.06066178538587563,0.03626103578725909,True
0.04234951772239723,0.1042008524335544,0.06463040405433365,True
0.04898962511035326,0.0454706537810254,0.03015182117245481,True
0.05667085477064796,0.08092030434111593,0.05532687017297544,True
0.06555644737434724,0.10247481406001623,0.07416759079685206,True
0.07583523858495736,0.05892835674423471,0.046066899596989785,True
0.08772567217374581,0.10150637943814646,0.08318405217899877,True
0.10148044236340092,0.06527059148341917,0.058342108979422456,True
0.11739186405862118,0.07625205991744521,0.07238073788604496,True
0.13579808509120056,0.08214577139635651,0.08405951497053128,False
0.15709027250157756,0.08421944735873434,0.09409072162139993,False
0.18172092557893468,0.07251886982454567,0.08943360382494024,False
0.2102134923276875,0.08311947594806283,0.11257472164266417,False
0.2431734937284805,0.07961929019936068,0.12151351714248095,False
0.2813013922052938,0.07559313573687527,0.13132686210934572,False
0.3254074777779481,0.07259306362654236,0.145181052220257,False
