selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g001_nc24_nt5_ns96_tf0p35_of2p4,24,5,96,0.35,2.4,16.371637,137.15470540383689,175.87768521985979,57626.55708285033,0.0030520248670590977,0.0015260124335295488,137.1562314162704,1.1126212761249231e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g002_nc32_nt6_ns144_tf0p3_of2p8,32,6,144,0.3,2.8,16.371637,137.15470540383689,-79.39885243902464,89790.21685002261,-0.0008842706391014206,-0.0004421353195507103,137.15426326851733,3.223624871264108e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g003_nc40_nt7_ns196_tf0p25_of3p2,40,7,196,0.25,3.2,16.371637,137.15470540383689,-148.8003391177319,127314.48657839028,-0.0011687620404934227,-0.0005843810202467113,137.15412102281664,4.260743505124859e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g004_nc48_nt8_ns256_tf0p2_of3p6,48,8,256,0.2,3.6,16.371637,137.15470540383689,-78.45497344180247,171271.4882601924,-0.0004580737531901116,-0.0002290368765950558,137.1544763669603,1.6699162884764472e-06,PASS_SUBLEADING_CORRECTION
