r,n_eff,theta_phi1
0.0152703116982,1.0,0.0
0.01625513986931891,1.0,0.06152592604466366
0.017239968040437825,1.0,0.11602242881622608
0.018224796211556735,1.0,0.16462909658796734
0.019209624382675646,1.0,0.20825181682141305
0.02019445255379456,1.0,0.24761976246793002
0.02117928072491347,1.0,0.2833264787559479
0.022164108896032382,1.0,0.3158600159139091
0.023148937067151293,1.0,0.3456253700636992
0.024133765238270204,1.0,0.37296142950916295
0.025118593409389118,1.0,0.39815393445007086
0.02610342158050803,1.0,0.4214455029813397
0.027088249751626943,1.0,0.44304347000554345
0.028073077922745854,1.0,0.4631260761432678
0.029057906093864765,1.0,0.48184739810033106
0.030042734264983675,1.0,0.4993413092899019
0.03102756243610259,1.0,0.5157246861736792
0.0320123906072215,1.0,0.531100022757167
0.032997218778340415,1.0,0.545557576889472
0.03398204694945932,1.0,0.5591771433496854
0.034966875120578236,1.0,0.5720295273005801
0.03595170329169715,1.0,0.5841777755653058
0.03693653146281606,1.0,0.595678210927235
0.037921359633934976,1.0,0.6065813052621146
0.03890618780505388,1.0,0.6169324200601358
0.0398910159761728,1.0,0.6267724372552471
0.04087584414729171,1.0,0.6361382988617721
0.04186067231841062,1.0,0.6450634704364728
0.04284550048952953,1.0,0.6535783406225538
0.04383032866064844,1.0,0.6617105668289531
0.04481515683176736,1.0,0.6694853753308442
0.04579998500288626,1.0,0.6769258226518975
0.04678481317400518,1.0,0.6840530239335185
0.04776964134512409,1.0,0.6908863530553061
0.048754469516243,1.0,0.6974436185010905
0.04973929768736191,1.0,0.7037412183321919
0.05072412585848082,1.0,0.709794277107408
0.051708954029599734,1.0,0.7156167671565881
0.052693782200718645,1.0,0.7212216162547885
0.05367861037183756,1.0,0.726620803443552
0.05466343854295647,1.0,0.7318254444941237
0.055648266714075384,1.0,0.7368458682957885
0.056633094885194295,1.0,0.7416916852739904
0.057617923056313206,1.0,0.7463718487918511
0.058602751227432116,1.0,0.7508947103604949
