density_mode,inner_radius,Lambda_for_n0_1,n0_required_for_Eeff_over_2
constant,0.0152703116982,0.19486672091666185,703.2367414188
constant,0.05,0.6613875081616648,207.1968946152269
constant,0.1,1.3962631923236062,98.14584999576454
constant,0.25,4.18879012230309,32.71527907276809
constant,0.5,12.566370577699928,10.905092841331955
linear_ramp,0.0152703116982,5.950797892192289e-29,2.3028414056575367e+30
linear_ramp,0.05,6.613217882788355e-28,2.0721748512937304e+29
linear_ramp,0.1,2.792247550510684e-27,4.907782542537703e+28
linear_ramp,0.25,2.0941856628831424e-26,6.543710056716534e+27
linear_ramp,0.5,1.2565113977308152e-25,1.0906183427852818e+27
gp_wall,0.0152703116982,5.950797892192289e-29,2.3028414056575367e+30
gp_wall,0.05,6.613217882788355e-28,2.0721748512937304e+29
gp_wall,0.1,2.792247550510684e-27,4.907782542537703e+28
gp_wall,0.25,2.0941856628831424e-26,6.543710056716534e+27
gp_wall,0.5,1.2565113977308152e-25,1.0906183427852818e+27
power,0.0152703116982,0.19486672091666185,703.2367414188
power,0.05,0.6613875081616648,207.1968946152269
power,0.1,1.3962631923236062,98.14584999576454
power,0.25,4.18879012230309,32.71527907276809
power,0.5,12.566370577699928,10.905092841331955
