quantity,value,unit
curve,ideal:6:1:1:L=28.354929:D= 1.000000:coeffs=240,
n_points,4096,
length_m,2.5105639133312495e-13,m
ds_m,6.129306429031371e-17,m
constants_source,fallback canonical constants,
v_swirl_m_s,1093845.63,m s^-1
r_c_m,1.40897017e-15,m
rho_f_kg_m3,7e-07,kg m^-3
gamma0_m2_s,9.68361918e-09,m^2 s^-1
natural_unit_m,8.852820648924658e-15,m
q0_m_inv,25026988055613.656,m^-1
q_min_m_inv,25026988055613.656,m^-1
phase_source,integrated_torsion,
total_torsion_rad,13.129392612477874,rad
mean_tau_m_inv,52296587801489.63,m^-1
rms_tau_m_inv,1025495547083802.6,m^-1
mean_kappa_m_inv,116222901128049.16,m^-1
rms_kappa_m_inv,119186936706690.08,m^-1
q_peak_abs_m_inv,75080964166840.97,m^-1
q50_abs_m_inv,75080964166840.97,m^-1
q90_abs_m_inv,625674701390341.5,m^-1
q95_abs_m_inv,1351330811308942.8,m^-1
ell_eff_95,53.994943710608986,
spectral_m2_power_m_inv2,1.111959285801824e+30,m^-2
edge_fraction_ell_1,3.033335316973419e-34,1
q_edge_ell_1,25026988055613.656,m^-1
f_edge_ell_1,4.3569718507926124e+18,Hz
x1_ell_1,1.2552819566656247e-13,m
edge_fraction_ell_2,0.201542747442175,1
q_edge_ell_2,50053976111227.31,m^-1
f_edge_ell_2,8.713943701585225e+18,Hz
x1_ell_2,6.276409783328124e-14,m
edge_fraction_ell_4,0.5283703402912174,1
q_edge_ell_4,100107952222454.62,m^-1
f_edge_ell_4,1.742788740317045e+19,Hz
x1_ell_4,3.138204891664062e-14,m
edge_fraction_ell_8,0.6851681623116311,1
q_edge_ell_8,200215904444909.25,m^-1
f_edge_ell_8,3.48557748063409e+19,Hz
x1_ell_8,1.569102445832031e-14,m
edge_fraction_ell_13,0.8040393056445736,1
q_edge_ell_13,325350844722977.5,m^-1
f_edge_ell_13,5.664063406030396e+19,Hz
x1_ell_13,9.656015051274038e-15,m
edge_fraction_ell_21,0.8743868998725023,1
q_edge_ell_21,525566749167886.75,m^-1
f_edge_ell_21,9.149640886664485e+19,Hz
x1_ell_21,5.977533126979166e-15,m
edge_fraction_ell_28,0.9035259539481629,1
q_edge_ell_28,700755665557182.4,m^-1
f_edge_ell_28,1.2199521182219316e+20,Hz
x1_ell_28,4.483149845234374e-15,m
edge_fraction_ell_34,0.9292804208526874,1
q_edge_ell_34,850917593890864.2,m^-1
f_edge_ell_34,1.481370429269488e+20,Hz
x1_ell_34,3.692005754898897e-15,m
edge_fraction_ell_55,0.9500546695046018,1
q_edge_ell_55,1376484343058751.0,m^-1
f_edge_ell_55,2.396334517935937e+20,Hz
x1_ell_55,2.2823308303011362e-15,m
edge_fraction_ell_89,0.9626179863591574,1
q_edge_ell_89,2227401936949615.5,m^-1
f_edge_ell_89,3.877704947205426e+20,Hz
x1_ell_89,1.4104291647928367e-15,m
