model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,384,256,639,0.003941898021544086,0.1468378137602805,0.0015389636751723822,0.07341890688014024,-1.0642647337212148,0.03148469874100096,3_1,0_1,True,0.6,639,,,,
sqrt+inv,PASS_FIT,384,256,639,0.0008812024345863637,-0.10019533779232116,0.0029230235624823756,-0.05009766889616058,8.991524133741276,0.11836608731341737,3_1,0_1,True,0.6,639,-100.55629149554308,1.1815421694878336,,
sqrt+inv+threehalf,PASS_FIT,384,256,639,0.0004783276764789429,-0.511275205326749,0.013721801548450135,-0.2556376026633745,33.99195181983339,0.8313921112145127,3_1,0_1,True,0.6,639,-602.0586237399268,16.63990741446179,3318.3583777031977,110.02149856087588
sqrt,PASS_FIT,384,256,639,0.0061270484018184366,0.15948523590276503,0.0023920722643981556,0.07974261795138252,-0.9541777830612138,0.048937915706713415,4_1,0_1,False,0.6,639,,,,
sqrt+inv,PASS_FIT,384,256,639,0.0016843259668673446,-0.21928019337959404,0.005587052752941116,-0.10964009668979702,14.46393579084186,0.22624435275426708,4_1,0_1,False,0.6,639,-154.17868685224457,2.258393847891817,,
sqrt+inv+threehalf,PASS_FIT,384,256,639,0.0005552088246387549,-1.1025536323078027,0.015927293535933685,-0.5512768161539013,68.18151108689084,0.9650209669639787,4_1,0_1,False,0.6,639,-1231.7398242750412,19.314423755882625,7130.044663704289,127.70514838412755
sqrt,PASS_FIT,384,256,639,0.004175630298381129,0.06880420318346474,0.0016302155243581315,0.03440210159173237,-0.050365519214624656,0.03335156345491356,5_1,0_1,False,0.6,639,,,,
sqrt+inv,PASS_FIT,384,256,639,0.0014039133482813349,-0.18404162650921588,0.0046569002032275705,-0.09202081325460794,10.242035575245822,0.1885783827199064,5_1,0_1,False,0.6,639,-102.92237618397587,1.8824083527185091,,
sqrt+inv+threehalf,PASS_FIT,384,256,639,0.00036860317496178205,-0.9364907671835669,0.010574131219389889,-0.46824538359178347,56.003338462003384,0.640677483033619,5_1,0_1,False,0.6,639,-1020.8826771998406,12.822847193770366,6073.992201875859,84.78345635803342
sqrt,PASS_FIT,384,256,639,0.00459716773181498,0.06666637693958039,0.001794788731030276,0.03333318846979019,0.035104655154643026,0.03671846412742785,5_1_2,0_1,False,0.6,639,,,,
sqrt+inv,PASS_FIT,384,256,639,0.0016023939269109986,-0.21037492611332145,0.005315277195004689,-0.10518746305666073,11.312412310250927,0.21523896441828105,5_1_2,0_1,False,0.6,639,-112.77128535584889,2.1485369563978374,,
sqrt+inv+threehalf,PASS_FIT,384,256,639,0.0004433300971963466,-1.0656857399265427,0.012717824857979294,-0.5328428699632713,63.32939936953334,0.7705620301676847,5_1_2,0_1,False,0.6,639,-1156.2190476942553,15.422423025351128,6904.322076340818,101.97160659765427
