selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g001_nc24_nt5_ns96_tf0p3_of2p8,24,5,96,0.3,2.8,16.371637,137.15470540383689,115.27659989590452,57626.55708285033,0.002000407550466187,0.0010002037752330935,137.1557056076121,7.292522500690763e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g002_nc24_nt5_ns96_tf0p3_of3p4,24,5,96,0.3,3.4,16.371637,137.15470540383689,-22.607844847480383,57626.55708285033,-0.0003923164247861769,-0.00019615821239308846,137.1545092456245,1.4301967388980367e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g003_nc24_nt5_ns96_tf0p24_of2p8,24,5,96,0.24,2.8,16.371637,137.15470540383689,8.988540448790953,57626.55708285033,0.00015597913364610746,7.798956682305373e-05,137.1547833934037,5.686247992252404e-07,PASS_SUBLEADING_CORRECTION
M_Lcert2,g004_nc24_nt5_ns96_tf0p24_of3p4,24,5,96,0.24,3.4,16.371637,137.15470540383689,-57.32360047995821,57626.55708285033,-0.0009947427606605656,-0.0004973713803302828,137.15420803245655,3.6263530213260106e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g005_nc24_nt5_ns144_tf0p3_of2p8,24,5,144,0.3,2.8,16.371637,137.15470540383689,132.07912633514502,70492.02098971925,0.0018736748426379745,0.0009368374213189872,137.1556422412582,6.830516084450569e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g006_nc24_nt5_ns144_tf0p3_of3p4,24,5,144,0.3,3.4,16.371637,137.15470540383689,-3.1919962947227094,70492.02098971925,-4.528166805131376e-05,-2.264083402565688e-05,137.15468276300285,1.650751533386583e-07,PASS_SUBLEADING_CORRECTION
M_Lcert2,g007_nc24_nt5_ns144_tf0p24_of2p8,24,5,144,0.24,2.8,16.371637,137.15470540383689,54.290633082174054,70492.02098971925,0.0007701670674201828,0.0003850835337100914,137.1550904873706,2.807658203021584e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g008_nc24_nt5_ns144_tf0p24_of3p4,24,5,144,0.24,3.4,16.371637,137.15470540383689,-58.33715297399043,70492.02098971925,-0.0008275710095260069,-0.00041378550476300343,137.1542916183321,3.0169253292816873e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g009_nc24_nt7_ns96_tf0p3_of2p8,24,7,96,0.3,2.8,16.371637,137.15470540383689,247.47401336323864,70492.02098971925,0.003510667021439645,0.0017553335107198225,137.1564607373476,1.2798201166714891e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g010_nc24_nt7_ns96_tf0p3_of3p4,24,7,96,0.3,3.4,16.371637,137.15470540383689,163.48360946187302,70492.02098971925,0.0023191789250263644,0.0011595894625131822,137.1558649932994,8.454609406938677e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g011_nc24_nt7_ns96_tf0p24_of2p8,24,7,96,0.24,2.8,16.371637,137.15470540383689,851.1386379108709,70492.02098971925,0.01207425501440799,0.006037127507203995,137.16074253134408,4.40169186279708e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g012_nc24_nt7_ns96_tf0p24_of3p4,24,7,96,0.24,3.4,16.371637,137.15470540383689,526.526416142189,70492.02098971925,0.0074693051603525315,0.0037346525801762657,137.15844005641705,2.7229489277673657e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g013_nc24_nt7_ns144_tf0p3_of2p8,24,7,144,0.3,2.8,16.371637,137.15470540383689,334.2885032182959,83357.48489658815,0.004010299778514291,0.0020051498892571457,137.15671055372616,1.4619621567872594e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g014_nc24_nt7_ns144_tf0p3_of3p4,24,7,144,0.3,3.4,16.371637,137.15470540383689,258.0911655711076,83357.48489658815,0.0030961966509821044,0.0015480983254910522,137.15625350216237,1.128724181159405e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g015_nc24_nt7_ns144_tf0p24_of2p8,24,7,144,0.24,2.8,16.371637,137.15470540383689,1111.2295318457518,83357.48489658815,0.013330890839908663,0.006665445419954332,137.16137084925683,4.8598007631810106e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g016_nc24_nt7_ns144_tf0p24_of3p4,24,7,144,0.24,3.4,16.371637,137.15470540383689,731.4916405394043,83357.48489658815,0.008775356423563885,0.004387678211781943,137.15909308204866,3.199072316814001e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g017_nc32_nt5_ns96_tf0p3_of2p8,32,5,96,0.3,2.8,16.371637,137.15470540383689,11.302888613303386,68347.77700524109,0.0001653731709875019,8.268658549375095e-05,137.1547880904224,6.028709350531535e-07,PASS_SUBLEADING_CORRECTION
M_Lcert2,g018_nc32_nt5_ns96_tf0p3_of3p4,32,5,96,0.3,3.4,16.371637,137.15470540383689,9.889007284510058,68347.77700524109,0.00014468659725029158,7.234329862514579e-05,137.1547777471355,5.27457650192452e-07,PASS_SUBLEADING_CORRECTION
M_Lcert2,g019_nc32_nt5_ns96_tf0p24_of2p8,32,5,96,0.24,2.8,16.371637,137.15470540383689,62.21062544662345,68347.77700524109,0.000910207005589267,0.0004551035027946335,137.15516050733967,3.3181763721093745e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g020_nc32_nt5_ns96_tf0p24_of3p4,32,5,96,0.24,3.4,16.371637,137.15470540383689,11.649011199612346,68347.77700524109,0.00017043730915665433,8.521865457832717e-05,137.15479062249148,6.213323438478486e-07,PASS_SUBLEADING_CORRECTION
M_Lcert2,g021_nc32_nt5_ns144_tf0p3_of2p8,32,5,144,0.3,2.8,16.371637,137.15470540383689,-40.99584191955768,81213.24091211,-0.0005047925862720329,-0.00025239629313601644,137.15445300754374,1.8402306533550083e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g022_nc32_nt5_ns144_tf0p3_of3p4,32,5,144,0.3,3.4,16.371637,137.15470540383689,-58.733793667926385,81213.24091211,-0.0007232046524468693,-0.00036160232622343464,137.15434380151066,2.6364558558799462e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g023_nc32_nt5_ns144_tf0p24_of2p8,32,5,144,0.24,2.8,16.371637,137.15470540383689,-118.20713223296006,81213.24091211,-0.0014555155157628214,-0.0007277577578814107,137.153977646079,5.306108570891596e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g024_nc32_nt5_ns144_tf0p24_of3p4,32,5,144,0.24,3.4,16.371637,137.15470540383689,-130.05533414837635,81213.24091211,-0.0016014055428365908,-0.0008007027714182954,137.15390470106547,5.837953346629373e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g025_nc32_nt7_ns96_tf0p3_of2p8,32,7,96,0.3,2.8,16.371637,137.15470540383689,34.36866225349574,85501.72888106632,0.00040196452987872167,0.00020098226493936084,137.15490638610183,1.4653690833835466e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g026_nc32_nt7_ns96_tf0p3_of3p4,32,7,96,0.3,3.4,16.371637,137.15470540383689,60.133933394042856,85501.72888106632,0.0007033066369650806,0.0003516533184825403,137.15505705715537,2.563917274636229e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g027_nc32_nt7_ns96_tf0p24_of2p8,32,7,96,0.24,2.8,16.371637,137.15470540383689,161.06846900118694,85501.72888106632,0.0018838036506283358,0.0009419018253141679,137.1556473056622,6.867440840187305e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g028_nc32_nt7_ns96_tf0p24_of3p4,32,7,96,0.24,3.4,16.371637,137.15470540383689,164.22118827413667,85501.72888106632,0.001920676814647454,0.000960338407323727,137.1556657422442,7.001862637494766e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g029_nc32_nt7_ns144_tf0p3_of2p8,32,7,144,0.3,2.8,16.371637,137.15470540383689,-29.871953266544114,98367.19278793523,-0.00030367800909947203,-0.00015183900454973602,137.15455356483233,1.107063764984678e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g030_nc32_nt7_ns144_tf0p3_of3p4,32,7,144,0.3,3.4,16.371637,137.15470540383689,-30.36300937182987,98367.19278793523,-0.00030867008106338787,-0.00015433504053169393,137.15455106879637,1.1252624551033189e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g031_nc32_nt7_ns144_tf0p24_of2p8,32,7,144,0.24,2.8,16.371637,137.15470540383689,73.43278243924692,98367.19278793523,0.0007465170079373605,0.0003732585039686803,137.15507866234086,2.721441476394571e-06,PASS_SUBLEADING_CORRECTION
M_Lcert2,g032_nc32_nt7_ns144_tf0p24_of3p4,32,7,144,0.24,3.4,16.371637,137.15470540383689,83.99668915534791,98367.19278793523,0.000853909588905643,0.0004269547944528215,137.15513235863133,3.11294310461825e-06,PASS_SUBLEADING_CORRECTION
