name,sympy,latex
V3,4*pi/3,\frac{4 \pi}{3}
Ep0_general,4*pi*L*N_p/3,\frac{4 \pi L N_{p}}{3}
Np_required,4,4
eta_general,1/(2*L*chi_R),\frac{1}{2 L \chi_{R}}
Ep_shell_general,pi*N_p*(4*L**2*chi_R**2 - sigma)/(3*L*chi_R**2),\frac{\pi N_{p} \left(4 L^{2} \chi_{R}^{2} - \sigma\right)}{3 L \chi_{R}^{2}}
c2_general,sigma/(4*chi_R**2),\frac{\sigma}{4 \chi_{R}^{2}}
sigma_required_for_11_48_at_chi2,11/3,\frac{11}{3}
sigma_decomposition,2*sigma_t/3 + sigma_v,\frac{2 \sigma_{t}}{3} + \sigma_{v}
sigma_decomposition_value,11/3,\frac{11}{3}
c2_decomposed_chi2,11/48,\frac{11}{48}
A_chi,chi_R + lambda_chi/chi_R,\chi_{R} + \frac{\lambda_{\chi}}{\chi_{R}}
chi_stationary,sqrt(lambda_chi),\sqrt{\lambda_{\chi}}
lambda_required_for_chi2,4,4
Ep0_assumed,16*pi*L/3,\frac{16 \pi L}{3}
chi_assumed,2,2
sigma_assumed,11/3,\frac{11}{3}
c2_assumed,11/48,\frac{11}{48}
Ep_shell_assumed,pi*(48*L**2 - 11)/(9*L),\frac{\pi \left(48 L^{2} - 11\right)}{9 L}
