counterterm_model,status,n_points,M_min,M_max,rms,S_ren,S_ren_se,alpha_inv_half_RT_only,a_M,a_M_se,a_sqrtM,a_sqrtM_se,a_logM,a_logM_se,soft_action,S_total_soft_plus_RT,alpha_inv_pred_blind_with_soft,knot,reference,target_selected,counterterm_tail_frac,max_common_modes,soft_index_count,soft_volume_mode,soft_volume_value,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se
hk,PASS_FIT,357,119,475,0.0006993228036192202,0.7914184571809533,0.023747803997191515,0.39570922859047664,-0.001633442462577031,3.663990282966846e-05,0.09749463777466746,0.002376102356620307,-0.3397089159721042,0.009443268613919994,16.755160819145562,17.546579276326515,8.773289638163257,3_1,0_1,True,0.75,475,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,357,119,475,0.0005894129803575349,-8.891927413978044,0.8085504251120897,-4.445963706989022,0.0011852645665034467,0.00023731073893572873,-0.17442268594616306,0.022786294746737764,1.810038550383896,0.17962368318919583,16.755160819145562,7.863233405167518,3.931616702583759,3_1,0_1,True,0.75,475,4,unit_ball,4.1887902047863905,22.273991106384372,1.8592860941340847,,
hk+inv_sqrt+inv,PASS_FIT,357,119,475,0.0005077664695404355,-142.65019771215833,12.132521899866946,-71.32509885607917,0.017335993278407402,0.001476785996290897,-2.234952764144722,0.18762354795842537,26.13395709609551,2.208091884090869,16.755160819145562,-125.89503689301277,-62.947518446506386,3_1,0_1,True,0.75,475,4,unit_ball,4.1887902047863905,525.9583729800138,45.63923200574025,-964.7338703912518,87.36127328051404
hk,PASS_FIT,357,119,475,0.0008413687745081239,1.3261414479618263,0.02857144174760184,0.6630707239809132,-0.0027619931860115568,4.408217490170747e-05,0.16343923390585144,0.002858734646645444,-0.5720931210923419,0.011361378893874993,16.755160819145562,18.08130226710739,9.040651133553695,4_1,0_1,False,0.75,475,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,357,119,475,0.000821651627449893,-3.332894615589668,1.1271329183582994,-1.666447307794834,-0.0014058030967793352,0.00033081516925467135,0.032609184625765605,0.031764478873290376,0.46223438373347775,0.25039844139744016,16.755160819145562,13.422266203555894,6.711133101777947,4_1,0_1,False,0.75,475,4,unit_ball,4.1887902047863905,10.71688745033392,2.5918761480507935,,
hk+inv_sqrt+inv,PASS_FIT,357,119,475,0.0008111657776375963,-61.80969797921996,19.381915017976628,-30.90484898960998,0.005655016282537811,0.0023591913467027837,-0.8682189431531896,0.29973188525143674,11.09623106042258,3.5274652378581295,16.755160819145562,-45.0545371600744,-22.5272685800372,4_1,0_1,False,0.75,475,4,unit_ball,4.1887902047863905,230.9189915183376,72.90946791785123,-421.7649698320867,139.56115542669858
