status,fit_model,M_min,M_max,n_points,n_params,rms,A_M,A_M_se,A_sqrtM,A_sqrtM_se,A_logM,A_logM_se,F,F_se,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se,knot,n_eigenvalues,S_all,status_note
PASS_FIT,hk+inv_sqrt+inv,10,37,28,6,0.0011386823986241884,-1.6745667027712154,0.18889240708743885,61.12216561236633,6.781581506220262,-205.92611226006895,22.563644399149084,616.6329840041441,66.98496425415348,-1210.380670418469,131.9105327221765,649.7504012402346,71.45014511768181,0_1,37,1.460269628828788,DIAGNOSTIC_ONLY_NORMALIZED_BEM_SPECTRUM
PASS_FIT,hk+inv_sqrt+inv,10,37,28,6,0.0016273689161453572,-1.13093481638407,0.26995906159732136,41.23635205585728,9.69202207644859,-138.43366315601176,32.24724784935522,413.25706258295486,95.7327950340038,-805.5724730628092,188.52236666134147,423.81401176116987,102.11429048089298,3_1,37,1.3908234899518197,DIAGNOSTIC_ONLY_NORMALIZED_BEM_SPECTRUM
PASS_FIT,hk+inv_sqrt+inv,10,37,28,6,0.001531422262834049,-0.807012118940965,0.2540427759694283,29.983860929254732,9.120598428848638,-103.19013184871287,30.346009919252374,313.79502719502193,90.08856697697136,-616.0874052691406,177.40743754107345,331.28197893953393,96.09382128690885,4_1,37,1.3777318679166004,DIAGNOSTIC_ONLY_NORMALIZED_BEM_SPECTRUM
