knot,id,source,length_samples,L_raw_arclength,L_database,relative_error_vs_database,status
0_1,0:1:1,xml_fourier,24000,6.2831852892361395,6.283185,4.603336364082795e-08,ALPHA_BLIND_RAW_FOURIER_ARCLENGTH
3_1,3:1:1,xml_fourier,24000,16.372460056045686,16.371637,5.027328945088925e-05,ALPHA_BLIND_RAW_FOURIER_ARCLENGTH
4_1,4:1:1,xml_fourier,24000,21.044949937225553,21.043322,7.73612277354883e-05,ALPHA_BLIND_RAW_FOURIER_ARCLENGTH
