a_core_over_rc,a_core,J_analytic,J_numeric,J_rel_error,I_chi_analytic,K_chi_analytic,c_chi_analytic,c_chi_over_v_analytic,I_chi_numeric,K_chi_numeric,c_chi_numeric,c_chi_over_v_numeric
5.0000000000000003e-02,7.0448508112170152e-17,3.8690743818580851e-65,3.8690713591434660e-65,-7.8125006676264884e-07,2.7083520673006594e-71,3.2405385529335063e-59,1.0938456318215313e+06,1.0000000000000000e+00,2.7083499514004260e-71,3.2405360212625454e-59,1.0938456318215313e+06,1.0000000000000000e+00
1.0000000000000001e-01,1.4089701622434030e-16,6.1905190109729362e-64,6.1905141746295456e-64,-7.8125006676264884e-07,4.3333633076810550e-70,5.1848616846936101e-58,1.0938456318215313e+06,1.0000000000000000e+00,4.3333599222406815e-70,5.1848576340200726e-58,1.0938456318215313e+06,1.0000000000000000e+00
2.5000000000000000e-01,3.5224254056085074e-16,2.4181714886613022e-62,2.4181695994654677e-62,-7.8124973489826205e-07,1.6927200420629114e-68,2.0253365955834403e-56,1.0938456318215313e+06,1.0000000000000000e+00,1.6927187196258273e-68,2.0253350132897620e-56,1.0938456318215313e+06,1.0000000000000000e+00
5.0000000000000000e-01,7.0448508112170147e-16,3.8690743818580835e-61,3.8690713591447484e-61,-7.8124973489826205e-07,2.7083520673006582e-67,3.2405385529335045e-55,1.0938456318215313e+06,1.0000000000000000e+00,2.7083499514013237e-67,3.2405360212636192e-55,1.0938456318215313e+06,1.0000000000000000e+00
1.0000000000000000e+00,1.4089701622434029e-15,6.1905190109729336e-60,6.1905141746315974e-60,-7.8124973489826205e-07,4.3333633076810532e-66,5.1848616846936073e-54,1.0938456318215313e+06,1.0000000000000000e+00,4.3333599222421179e-66,5.1848576340217907e-54,1.0938456318215313e+06,1.0000000000000000e+00
2.0000000000000000e+00,2.8179403244868059e-15,9.9048304175566937e-59,9.9048226794105558e-59,-7.8124973489826205e-07,6.9333812922896851e-65,8.2957786955097716e-53,1.0938456318215313e+06,1.0000000000000000e+00,6.9333758755873886e-65,8.2957722144348651e-53,1.0938456318215313e+06,1.0000000000000000e+00
4.0000000000000000e+00,5.6358806489736118e-15,1.5847728668090710e-57,1.5847716287056889e-57,-7.8124973489826205e-07,1.1093410067663496e-63,1.3273245912815635e-51,1.0938456318215313e+06,1.0000000000000000e+00,1.1093401400939822e-63,1.3273235543095784e-51,1.0938456318215313e+06,1.0000000000000000e+00
1.0000000000000000e+01,1.4089701622434030e-14,6.1905190109729349e-56,6.1905141746307690e-56,-7.8124986891723555e-07,4.3333633076810542e-62,5.1848616846936086e-50,1.0938456318215313e+06,1.0000000000000000e+00,4.3333599222415385e-62,5.1848576340210970e-50,1.0938456318215313e+06,1.0000000000000000e+00
