n,omega_continuous_rad_s,omega_discrete_rad_s,target_n_omega_c_rad_s,continuous_ratio,discrete_ratio,discrete_rel_error
1,7.7634407110501112e+20,7.7634399498780711e+20,7.7634407110501099e+20,1.0000000000000002e+00,9.9999990195429234e-01,-9.8045707663807491e-08
2,1.5526881422100222e+21,1.5526875332724439e+21,1.5526881422100220e+21,1.0000000000000002e+00,9.9999960781720332e-01,-3.9218279668240541e-07
3,2.3290322133150335e+21,2.3290301581510092e+21,2.3290322133150330e+21,1.0000000000000002e+00,9.9999911758883708e-01,-8.8241116291687405e-07
4,3.1053762844200445e+21,3.1053714129211391e+21,3.1053762844200440e+21,1.0000000000000002e+00,9.9999843126936683e-01,-1.5687306331724216e-06
5,3.8817203555250555e+21,3.8817108408812742e+21,3.8817203555250550e+21,1.0000000000000002e+00,9.9999754885903436e-01,-2.4511409656424732e-06
6,4.6580644266300670e+21,4.6580479853309314e+21,4.6580644266300659e+21,1.0000000000000002e+00,9.9999647035815120e-01,-3.5296418487984482e-06
7,5.4344084977350775e+21,5.4343823895709708e+21,5.4344084977350775e+21,1.0000000000000000e+00,9.9999519576709817e-01,-4.8042329018338492e-06
8,6.2107525688400890e+21,6.2107135969038665e+21,6.2107525688400879e+21,1.0000000000000002e+00,9.9999372508632578e-01,-6.2749136742201728e-06
9,6.9870966399450994e+21,6.9870411506339660e+21,6.9870966399450984e+21,1.0000000000000002e+00,9.9999205831635196e-01,-7.9416836480383779e-06
10,7.7634407110501110e+21,7.7633645940677752e+21,7.7634407110501099e+21,1.0000000000000002e+00,9.9999019545776568e-01,-9.8045422343151500e-06
11,8.5397847821551204e+21,8.5396834705142113e+21,8.5397847821551214e+21,9.9999999999999989e-01,9.9998813651122431e-01,-1.1863488775687436e-05
12,9.3161288532601340e+21,9.3159973232848824e+21,9.3161288532601319e+21,1.0000000000000002e+00,9.9998588147745471e-01,-1.4118522545292223e-05
13,1.0092472924365144e+22,1.0092305695694351e+22,1.0092472924365142e+22,1.0000000000000002e+00,9.9998343035725301e-01,-1.6569642746988578e-05
14,1.0868816995470155e+22,1.0868608131060401e+22,1.0868816995470155e+22,1.0000000000000000e+00,9.9998078315148364e-01,-1.9216848516356855e-05
15,1.1645161066575167e+22,1.1644904172704307e+22,1.1645161066575165e+22,1.0000000000000002e+00,9.9997793986108141e-01,-2.2060138918589267e-05
16,1.2421505137680178e+22,1.2421193363951117e+22,1.2421505137680176e+22,1.0000000000000002e+00,9.9997490048705018e-01,-2.5099512949822156e-05
17,1.3197849208785191e+22,1.3197475248129897e+22,1.3197849208785186e+22,1.0000000000000002e+00,9.9997166503046264e-01,-2.8334969537358035e-05
18,1.3974193279890199e+22,1.3973749368574012e+22,1.3974193279890197e+22,1.0000000000000002e+00,9.9996823349246045e-01,-3.1766507539554567e-05
19,1.4750537350995211e+22,1.4750015268621396e+22,1.4750537350995209e+22,1.0000000000000002e+00,9.9996460587425462e-01,-3.5394125745380478e-05
20,1.5526881422100222e+22,1.5526272491614829e+22,1.5526881422100220e+22,1.0000000000000002e+00,9.9996078217712647e-01,-3.9217822873527375e-05
21,1.6303225493205234e+22,1.6302520580902182e+22,1.6303225493205230e+22,1.0000000000000002e+00,9.9995676240242504e-01,-4.3237597574963260e-05
22,1.7079569564310241e+22,1.7078759079836691e+22,1.7079569564310243e+22,9.9999999999999989e-01,9.9995254655156851e-01,-4.7453448431489242e-05
23,1.7855913635415253e+22,1.7854987531777267e+22,1.7855913635415253e+22,1.0000000000000000e+00,9.9994813462604626e-01,-5.1865373953741134e-05
24,1.8632257706520268e+22,1.8631205480088704e+22,1.8632257706520264e+22,1.0000000000000002e+00,9.9994352662741504e-01,-5.6473372584964210e-05
25,1.9408601777625278e+22,1.9407412468141976e+22,1.9408601777625274e+22,1.0000000000000002e+00,9.9993872255730087e-01,-6.1277442699125828e-05
26,2.0184945848730289e+22,2.0183608039314513e+22,2.0184945848730285e+22,1.0000000000000002e+00,9.9993372241739975e-01,-6.6277582600249296e-05
27,2.0961289919835299e+22,2.0959791736990460e+22,2.0961289919835295e+22,1.0000000000000002e+00,9.9992852620947636e-01,-7.1473790523635117e-05
28,2.1737633990940310e+22,2.1735963104560951e+22,2.1737633990940310e+22,1.0000000000000000e+00,9.9992313393536503e-01,-7.6866064634972808e-05
29,2.2513978062045325e+22,2.2512121685424359e+22,2.2513978062045320e+22,1.0000000000000002e+00,9.9991754559696888e-01,-8.2454403031118062e-05
30,2.3290322133150335e+22,2.3288267022986587e+22,2.3290322133150331e+22,1.0000000000000002e+00,9.9991176119626024e-01,-8.8238803739759675e-05
31,2.4066666204255345e+22,2.4064398660661338e+22,2.4066666204255341e+22,1.0000000000000002e+00,9.9990578073528102e-01,-9.4219264718975460e-05
32,2.4843010275360356e+22,2.4840516141870366e+22,2.4843010275360352e+22,1.0000000000000002e+00,9.9989960421614210e-01,-1.0039578385789838e-04
