normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_normalized,correction_to_leading_ratio,gate
raw,no normalization,1.0,-79.39885243902464,-79.39885243902464,0.2894354253630138,FAIL_NOT_SUBLEADING
Mmax,divide by pair-fit M_max,335.0,-79.39885243902464,-0.237011499817984,0.0008639863443672054,PASS_SUBLEADING_CORRECTION
sqrtM,divide by sqrt(M_max),18.303005217723125,-79.39885243902464,-4.338022717828945,0.01581354656899449,PASS_SUBLEADING_CORRECTION
L,divide by restored longitudinal length,16.372460056045686,-79.39885243902464,-4.849537098715099,0.017678187906534977,PASS_SUBLEADING_CORRECTION
L2,divide by restored longitudinal length squared,268.0574482868115,-79.39885243902464,-0.2962008813650677,0.001079751475711015,PASS_SUBLEADING_CORRECTION
L3,divide by restored longitudinal length cubed,4388.759864801354,-79.39885243902464,-0.0180914096202478,6.594925087707309e-05,PASS_SUBLEADING_CORRECTION
NsoftV,divide by N_soft V_soft,16.755160819145562,-79.39885243902464,-4.738769940560536,0.017274404494660868,PASS_SUBLEADING_CORRECTION
NsoftV_L,divide by N_soft V_soft L,274.32320124408244,-79.39885243902464,-0.2894354253630138,0.0010550891213371525,PASS_SUBLEADING_CORRECTION
leading_full,divide by full leading length term N_soft V_soft L,274.32320124408244,-79.39885243902464,-0.2894354253630138,0.0010550891213371525,PASS_SUBLEADING_CORRECTION
leading_half,divide by half leading length term,137.16160062204122,-79.39885243902464,-0.5788708507260276,0.002110178242674305,PASS_SUBLEADING_CORRECTION
M_L,divide by M_max times length,5484.7741187753045,-79.39885243902464,-0.014476230145418205,5.277071016876112e-05,PASS_SUBLEADING_CORRECTION
sqrtM_L,divide by sqrt(M_max) times length,299.66522183276766,-79.39885243902464,-0.2649585158845502,0.0009658625835617897,PASS_SUBLEADING_CORRECTION
M_L2,divide by M_max times length squared,89799.24517608185,-79.39885243902464,-0.0008841817354181127,3.2231387334657164e-06,PASS_SUBLEADING_CORRECTION
