E,R_over_a,C_mm,C_ml,C_ll,lambda_min,lambda_max,sector_nm,sector_nl,action_bem,action_pressure,action_total,pressure_Ep,pressure_kappa_eff,d_action_bem_dlogE,d2_action_bem_dlogE2,d_action_pressure_dlogE,d2_action_pressure_dlogE2,d_action_total_dlogE,d2_action_total_dlogE2,d_lambda_min_dlogE,d2_lambda_min_dlogE2
259.9999999999999,259.9999999999999,576.7107993372947,363.13379072420565,818.3057083804295,314.80971063636514,1080.206797081359,2,3,7014.600030731755,2272.1073509575535,9286.70738168931,274.0748756567669,6736.341149140669,-0.014527357917297775,0.013543993862185669,-979.5043352469951,8644.157218828022,-979.5188626062367,8644.170763733075,-0.004774708137187758,0.004451649225721956
260.17862621209105,260.17862621209105,576.7107943524845,363.1337907238575,818.305708379206,314.8097073571529,1080.2067953745377,2,3,7014.60002075454,2271.4346391343734,9286.034659888914,274.0748756567669,6736.341149140669,-0.014518056064844131,0.020310854028121383,-973.5676318008918,12975.150062990142,-973.5821498576552,12975.170373452362,-0.0047716507979203016,0.006674830491159245
260.3573751446575,260.3573751446575,576.7107893740563,363.13379072350904,818.3057083779859,314.8097040821401,1080.206793669902,2,3,7014.600010790103,2270.770081824564,9285.370092614667,274.0748756567669,6736.341149140669,-0.01449945941567421,0.027060085473852524,-961.6819805298001,17323.989762893878,-961.6964799910784,17324.0168221317,-0.004765539750223979,0.008892693476821645
260.5362468820117,260.5362468820117,576.7107844020027,363.1337907231606,818.305708376769,314.8097008113219,1080.2067919674498,2,3,7014.600000838429,2270.113695846709,9284.713696685138,274.0748756567669,6736.341149140669,-0.014480886980891228,0.027023471978095515,-949.7718152459711,17359.720284025767,-949.7862961348146,17359.74730885378,-0.004759436007589102,0.00888182384526992
260.71524150852287,260.71524150852287,576.7107794363159,363.1337907228121,818.3057083755554,314.80969754469305,1080.2067902671781,2,3,7014.599990899504,2269.4654980540845,9284.065488953587,274.0748756567669,6736.341149140669,-0.014462340623140335,0.026991604676219083,-937.8370853886008,17395.52449929889,-937.851547729224,17395.551492429106,-0.004753339890157804,0.008870848271884224
260.8943591086194,260.8943591086194,576.7107744769876,363.1337907224633,818.3057083743449,314.8096942822483,1080.2067885690842,2,3,7014.599980973307,2268.825505334722,9283.425486308028,274.0748756567669,6736.341149140669,-0.01444381196051836,0.0269617714574526,-925.877740293974,17431.402559936163,-925.8921841057017,17431.429521368584,-0.004747251223307103,0.008859766756675214
261.0735997667866,261.0735997667866,576.7107695240104,363.13379072211455,818.305708373138,314.8096910239827,1080.2067868731658,2,3,7014.599971059829,2268.1937346114896,9282.793705671318,274.0748756567669,6736.341149140669,-0.01442530658096075,0.02692447993401892,-913.8937291936018,17467.354617985082,-913.9081545006484,17467.38154280407,-0.004741170327179134,0.008848706429838593
261.25296356756866,261.25296356756866,576.710764577376,363.13379072176576,818.3057083719343,314.8096877698905,1080.20678517942,2,3,7014.5999611590505,2267.570202842154,9282.170164001203,274.0748756567669,6736.341149140669,-0.01440682914108038,0.02689125657675895,-901.8850012149196,17503.38082716614,-901.8994080433622,17503.407718083705,-0.004735096852527931,0.008837900363383167
261.4324505955671,261.4324505955671,576.710759637077,363.13379072141663,818.3057083707337,314.8096845199673,1080.2067834878433,2,3,7014.599951270955,2266.9549270194584,9281.554878290413,274.0748756567669,6736.341149140669,-0.014388369396328926,0.026859389274898504,-889.8515053782612,17539.481340724626,-889.8658937485889,17539.508200452896,-0.004729030799353495,0.008826861224905613
261.61206093544246,261.61206093544246,576.7107547031052,363.13379072106767,818.3057083695365,314.8096812742073,1080.2067817984343,2,3,7014.599941395531,2266.3479241711943,9280.947865566724,274.0748756567669,6736.341149140669,-0.014369935728609562,0.026823453806841258,-877.7931906005833,17575.65631104738,-877.8075605351478,17575.68313500972,-0.004722972487797961,0.008815822086428948
