grid_label,grid_returncode,selected_normalizer,selected_gate,outdir,stability_gate,n_runs,pass_fraction,alpha_inv_blind_mean,alpha_inv_blind_cv_abs,abs_correction_ratio_max,n_candidate_rows
C1_paired_fine,0,M_Lcert2,PASS_SUBLEADING_CORRECTION,outputs_routeB_BEM_v14_stageC\grids\C1_paired_fine,PASS_CERTIFIED_STABLE_NORMALIZER,4,1.0,137.15477301864115,7.168324914721296e-06,1.1126212761249231e-05,52
C2_paired_fine_alt_tail,0,M_Lcert2,PASS_SUBLEADING_CORRECTION,outputs_routeB_BEM_v14_stageC\grids\C2_paired_fine_alt_tail,PASS_CERTIFIED_STABLE_NORMALIZER,4,1.0,137.1552930828202,1.1767683718054626e-05,1.4092594546935093e-05,52
C3_cartesian_fine_small,0,M_Lcert2,PASS_SUBLEADING_CORRECTION,outputs_routeB_BEM_v14_stageC\grids\C3_cartesian_fine_small,PASS_CERTIFIED_STABLE_NORMALIZER,32,1.0,137.15564493637547,1.3296040759420608e-05,4.8598007631810106e-05,416
C4_tube_boundary_only,0,M_Lcert2,PASS_SUBLEADING_CORRECTION,outputs_routeB_BEM_v14_stageC\grids\C4_tube_boundary_only,PASS_CERTIFIED_STABLE_NORMALIZER,3,1.0,137.15422152203124,1.0194668635794675e-05,1.4956469451917866e-05,39
C5_sphere_boundary_only,0,M_Lcert2,PASS_SUBLEADING_CORRECTION,outputs_routeB_BEM_v14_stageC\grids\C5_sphere_boundary_only,PASS_CERTIFIED_STABLE_NORMALIZER,3,1.0,137.15470540383689,0.0,3.2984225767121093e-17,39
