normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,48.15943147530906,48.15943147530906,0.17556609280559837,FAIL_NOT_SUBLEADING
Mmax,M_max,163.0,48.15943147530906,0.295456634817847,0.0010770925938993765,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),12.767145334803704,48.15943147530906,3.7721377968514775,0.013751397685354046,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,48.15943147530906,2.9416381193468353,0.01072379584311565,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,48.15943147530906,0.17967892394308738,0.0006550228204495158,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,48.15943147530906,0.010975012696841945,4.0009610550827373e-05,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,48.15943147530906,2.874304340921568,0.010478329316003034,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,48.15943147530906,0.17556609280559837,0.0006400294189275658,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,48.15943147530906,0.17556609280559837,0.0006400294189275658,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,48.15943147530906,0.35113218561119675,0.0012800588378551316,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,2668.576831,48.15943147530906,0.018046859627894696,6.579015854672179e-05,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,209.0190689476497,48.15943147530906,0.23040687970613308,0.0008399525157657751,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,43688.971183742346,48.15943147530906,0.0011023246867674073,4.018544910733226e-06,PASS_SUBLEADING_CORRECTION
