N_cores,pairs,H_total[m^4/s^2]
1,0.0,0.0
2,1.0,9.377248087817854e-17
3,3.0,2.813174426345356e-16
4,6.0,5.626348852690712e-16
5,10.0,9.377248087817855e-16
6,15.0,1.406587213172678e-15
7,21.0,1.9692220984417493e-15
8,28.0,2.625629464588999e-15
9,36.0,3.3758093116144276e-15
10,45.0,4.219761639518034e-15
11,55.0,5.157486448299819e-15
12,66.0,6.188983737959783e-15
13,78.0,7.314253508497925e-15
14,91.0,8.533295759914247e-15
15,105.0,9.846110492208746e-15
16,120.0,1.1252697705381424e-14
17,136.0,1.2753057399432282e-14
18,153.0,1.4347189574361315e-14
19,171.0,1.603509423016853e-14
20,190.0,1.781677136685392e-14
21,210.0,1.9692220984417492e-14
22,231.0,2.1661443082859244e-14
23,253.0,2.372443766217917e-14
24,276.0,2.5881204722377277e-14
25,300.0,2.813174426345356e-14
26,325.0,3.0476056285408023e-14
27,351.0,3.2914140788240666e-14
28,378.0,3.5445997771951487e-14
29,406.0,3.8071627236540485e-14
30,435.0,4.0791029182007667e-14
