r,n_eff,theta_phi1
0.0152703116982,1.0,0.0
0.016256027101905504,1.0,0.06165428986142233
0.01724174250561101,1.0,0.11624679728245552
0.018227457909316517,1.0,0.16492562021106802
0.01921317331302202,1.0,0.20860267418807973
0.020198888716727526,1.0,0.24801147695595235
0.021184604120433034,1.0,0.28374875376446845
0.02217031952413854,1.0,0.31630491441332154
0.023156034927844044,1.0,0.34608672736921303
0.024141750331549548,1.0,0.37343442687777434
0.025127465735255053,1.0,0.39863478538704805
0.02611318113896056,1.0,0.4219312197091825
0.027098896542666066,1.0,0.443531687719232
0.02808461194637157,1.0,0.46361491943828814
0.02907032735007708,1.0,0.48233537852931746
0.030056042753782583,1.0,0.49982724613712703
0.031041758157488088,1.0,0.5162076447148632
0.03202747356119359,1.0,0.5315792658055991
0.0330131889648991,1.0,0.5460325265218289
0.0339989043686046,1.0,0.5596473504916419
0.03498461977231011,1.0,0.5724946474246813
0.03597033517601561,1.0,0.5846375491740022
0.03695605057972112,1.0,0.5961324478055772
0.03794176598342663,1.0,0.6070298717174721
0.03892748138713213,1.0,0.6173752285417379
0.039913196790837636,1.0,0.627209437879457
0.04089891219454314,1.0,0.636569472470763
0.04188462759824865,1.0,0.6454888228962279
0.04287034300195415,1.0,0.6539978981267119
0.04385605840565966,1.0,0.662124372022202
0.04484177380936517,1.0,0.6698934841025058
0.04582748921307067,1.0,0.6773283014794459
0.046813204616776176,1.0,0.6844499476787759
0.04779892002048168,1.0,0.6912778031343703
0.048784635424187185,1.0,0.6978296813636522
0.04977035082789269,1.0,0.7041219841976287
0.050756066231598194,1.0,0.7101698389144807
0.051741781635303706,1.0,0.7159872196912014
0.05272749703900921,1.0,0.7215870554264713
0.053713212442714715,1.0,0.7269813256863648
0.05469892784642022,1.0,0.7321811462718245
0.055684643250125725,1.0,0.7371968456944685
0.05667035865383123,1.0,0.7420380336681764
0.057656074057536734,1.0,0.7467136625723659
0.058641789461242246,1.0,0.7512320827142663
0.05962750486494775,1.0,0.7556010921080372
0.060613220268653255,1.0,0.7598279813951505
0.06159893567235876,1.0,0.7639195744504835
0.06258465107606426,1.0,0.7678822651499428
0.06357036647976977,1.0,0.7717220507163939
0.06455608188347528,1.0,0.7754445620097388
0.06554179728718078,1.0,0.7790550910829546
0.06652751269088628,1.0,0.7825586162877461
0.06751322809459179,1.0,0.7859598251803206
0.0684989434982973,1.0,0.7892631354489476
0.06948465890200281,1.0,0.7924727140598021
0.07047037430570831,1.0,0.7955924947955918
0.0714560897094138,1.0,0.798626194342206
0.07244180511311932,1.0,0.801577327061726
0.07342752051682483,1.0,0.8044492185752647
0.07441323592053034,1.0,0.8072450182660278
