a0,c2_over_v2,c_over_v,residual_c2_minus_1,distance_to_phi,distance_to_a0_star,grad_energy,curvature_energy,shape_energy
0.0,0.7428571428571429,0.8618916073713346,-0.2571428571428571,-1.618033988749895,-1.6553542175871456,1.0,41.0,0.008333333333333333
0.006,0.7436006857142857,0.8623228430896898,-0.2563993142857143,-1.612033988749895,-1.6493542175871456,0.996506,40.832216,0.008233933333333334
0.012,0.7443456,0.86275465805755,-0.25565439999999995,-1.606033988749895,-1.6433542175871456,0.993024,40.664864,0.008135733333333334
0.018,0.7450918857142858,0.8631870514055953,-0.25490811428571425,-1.6000339887498949,-1.6373542175871456,0.989554,40.497944,0.008038733333333332
0.024,0.7458395428571429,0.8636200222650833,-0.25416045714285707,-1.5940339887498949,-1.6313542175871456,0.986096,40.331456,0.007942933333333334
0.03,0.7465885714285715,0.8640535697678539,-0.2534114285714285,-1.5880339887498949,-1.6253542175871456,0.98265,40.1654,0.007848333333333334
0.036,0.7473389714285714,0.8644876930463333,-0.2526610285714286,-1.5820339887498949,-1.6193542175871456,0.979216,39.999776,0.0077549333333333335
0.042,0.7480907428571428,0.8649223912335389,-0.25190925714285717,-1.5760339887498949,-1.6133542175871456,0.975794,39.834584,0.007662733333333334
0.048,0.7488438857142857,0.8653576634630826,-0.25115611428571427,-1.5700339887498949,-1.6073542175871456,0.972384,39.669824,0.007571733333333333
0.054,0.7495984,0.865793508869176,-0.2504016,-1.5640339887498949,-1.6013542175871456,0.968986,39.505496,0.007481933333333333
0.06,0.7503542857142858,0.8662299265866342,-0.24964571428571425,-1.5580339887498948,-1.5953542175871456,0.9655999999999999,39.3416,0.007393333333333333
0.066,0.7511115428571429,0.86666691575088,-0.24888845714285712,-1.5520339887498948,-1.5893542175871456,0.9622259999999999,39.178136,0.007305933333333333
0.072,0.7518701714285715,0.867104475497948,-0.2481298285714285,-1.5460339887498948,-1.5833542175871456,0.958864,39.015104,0.007219733333333334
0.078,0.7526301714285714,0.867542604964489,-0.24736982857142864,-1.5400339887498948,-1.5773542175871456,0.955514,38.852503999999996,0.007134733333333334
0.084,0.7533915428571428,0.8679813032877741,-0.24660845714285717,-1.5340339887498948,-1.5713542175871456,0.952176,38.690336,0.007050933333333333
0.09,0.7541542857142857,0.8684205696056984,-0.24584571428571433,-1.5280339887498948,-1.5653542175871455,0.9488500000000001,38.5286,0.006968333333333334
0.096,0.7549184,0.8688604030567857,-0.2450816,-1.5220339887498948,-1.5593542175871455,0.945536,38.367295999999996,0.006886933333333334
0.102,0.7556838857142857,0.8693008027801916,-0.24431611428571431,-1.5160339887498948,-1.5533542175871455,0.942234,38.206424,0.006806733333333333
0.108,0.7564507428571429,0.8697417679157089,-0.24354925714285713,-1.5100339887498948,-1.5473542175871455,0.9389439999999999,38.045984,0.006727733333333334
0.114,0.7572189714285714,0.87018329760377,-0.24278102857142858,-1.5040339887498948,-1.5413542175871455,0.935666,37.885976,0.006649933333333333
0.12,0.7579885714285715,0.8706253909854522,-0.24201142857142854,-1.4980339887498948,-1.5353542175871455,0.9324,37.7264,0.006573333333333333
0.126,0.7587595428571429,0.8710680472024805,-0.24124045714285713,-1.492033988749895,-1.5293542175871457,0.9291459999999999,37.567256,0.006497933333333333
0.132,0.7595318857142858,0.8715112653972327,-0.24046811428571424,-1.4860339887498948,-1.5233542175871455,0.9259040000000001,37.408544,0.006423733333333333
0.138,0.7603056,0.8719550447127421,-0.23969439999999997,-1.480033988749895,-1.5173542175871457,0.9226740000000001,37.250264,0.006350733333333333
0.144,0.7610806857142857,0.872399384292702,-0.23891931428571433,-1.474033988749895,-1.5113542175871457,0.9194559999999999,37.092416,0.006278933333333334
0.15,0.7618571428571429,0.8728442832814699,-0.2381428571428571,-1.468033988749895,-1.5053542175871457,0.9162499999999999,36.935,0.006208333333333333
0.156,0.7626349714285714,0.8732897408240701,-0.2373650285714286,-1.462033988749895,-1.4993542175871457,0.913056,36.778016,0.006138933333333333
0.162,0.7634141714285715,0.8737357560661985,-0.2365858285714285,-1.456033988749895,-1.4933542175871457,0.909874,36.621464,0.006070733333333333
0.168,0.7641947428571428,0.874182328154226,-0.23580525714285716,-1.450033988749895,-1.4873542175871457,0.906704,36.465344,0.006003733333333333
0.174,0.7649766857142857,0.8746294562352023,-0.23502331428571432,-1.444033988749895,-1.4813542175871457,0.903546,36.309656000000004,0.005937933333333334
0.18,0.76576,0.8750771394568595,-0.23424,-1.438033988749895,-1.4753542175871457,0.9004,36.1544,0.005873333333333333
0.186,0.7665446857142857,0.8755253769676158,-0.2334553142857143,-1.432033988749895,-1.4693542175871457,0.897266,35.999576,0.005809933333333334
0.192,0.7673307428571429,0.875974167916579,-0.23266925714285713,-1.426033988749895,-1.4633542175871457,0.8941439999999999,35.845184,0.005747733333333334
0.198,0.7681181714285714,0.8764235114535504,-0.23188182857142858,-1.420033988749895,-1.4573542175871457,0.891034,35.691224,0.005686733333333333
0.204,0.7689069714285713,0.876873406729028,-0.23109302857142866,-1.414033988749895,-1.4513542175871457,0.887936,35.537696,0.005626933333333334
0.21,0.7696971428571429,0.8773238528942108,-0.23030285714285714,-1.408033988749895,-1.4453542175871457,0.88485,35.3846,0.005568333333333333
0.216,0.7704886857142857,0.8777748491010013,-0.22951131428571425,-1.402033988749895,-1.4393542175871457,0.881776,35.231936,0.005510933333333333
0.222,0.7712816,0.8782263945020099,-0.2287184,-1.396033988749895,-1.4333542175871457,0.878714,35.079704,0.005454733333333334
0.228,0.7720758857142856,0.8786784882505578,-0.22792411428571435,-1.390033988749895,-1.4273542175871456,0.875664,34.927904,0.0053997333333333335
0.234,0.7728715428571429,0.8791311295006808,-0.22712845714285712,-1.384033988749895,-1.4213542175871456,0.872626,34.776536,0.005345933333333333
0.24,0.7736685714285715,0.8795843174071326,-0.22633142857142852,-1.378033988749895,-1.4153542175871456,0.8696,34.6256,0.005293333333333333
