mode,Lambda_for_M1,M_required_for_target,M_required_over_Eeff,M_required_over_Eeff_over_2
constant,0.04650692403658511,2946.6029127318375,10.7510872920056,21.5021745840112
optimal_inverse_r2,1.0312546906697697,132.88418376977097,0.48484627951148,0.96969255902296
gp_wall,8.92113815421163e-30,1.5360981464422814e+31,5.604666034276717e+28,1.1209332068553434e+29
core_shell,1.1172269456070524e-26,1.2265855059013084e+28,4.475366459482606e+25,8.950732918965212e+25
power,0.04650692403658511,2946.6029127318375,10.7510872920056,21.5021745840112
