mode,budget_M,raw_shape_norm,Lambda_phi,integral_I,n_min,n_max,budget_name,target_Eeff_over_2,ratio_to_target,abs_rel_error_to_target,status
constant,274.0748756568,4.188776179509006,12.746379422507305,0.9858776518271317,65.43077593821833,65.43077593821833,M_Eeff,137.0374378284,0.09301384807317022,0.9069861519268297,NO_MATCH
optimal_inverse_r2,274.0748756568,12.374478218162807,282.64100111580876,0.04446053674006856,22.148398568799685,94983.14079411064,M_Eeff,137.0374378284,2.0625093813395385,1.0625093813395385,NO_MATCH
gp_wall,274.0748756568,4.187383747277873,5.8391109530435725e-28,2.152103413587147e+28,6.545253365779292e-29,65.45253365779291,M_Eeff,137.0374378284,4.260960395622239e-30,1.0,NO_MATCH
core_shell,274.0748756568,0.0004009403816245347,3.0620383619767942e-24,4.1039233114788806e+24,6.835801236739996e-25,683580.1236739996,M_Eeff,137.0374378284,2.2344538912141056e-26,1.0,NO_MATCH
power,274.0748756568,4.188776179509006,12.746379422507305,0.9858776518271317,65.43077593821833,65.43077593821833,M_Eeff,137.0374378284,0.09301384807317022,0.9069861519268297,NO_MATCH
constant,137.0374378284,4.188776179509006,6.373189711253652,1.9717553036542634,32.715387969109166,32.715387969109166,M_Eeff_over_2,137.0374378284,0.04650692403658511,0.9534930759634149,NO_MATCH
optimal_inverse_r2,137.0374378284,12.374478218162807,141.32050055790438,0.08892107348013711,11.074199284399842,47491.57039705532,M_Eeff_over_2,137.0374378284,1.0312546906697693,0.03125469066976927,NO_MATCH
gp_wall,137.0374378284,4.187383747277873,2.9195554765217862e-28,4.304206827174294e+28,3.272626682889646e-29,32.726266828896456,M_Eeff_over_2,137.0374378284,2.1304801978111196e-30,1.0,NO_MATCH
core_shell,137.0374378284,0.0004009403816245347,1.5310191809883971e-24,8.207846622957761e+24,3.417900618369998e-25,341790.0618369998,M_Eeff_over_2,137.0374378284,1.1172269456070528e-26,1.0,NO_MATCH
power,137.0374378284,4.188776179509006,6.373189711253652,1.9717553036542634,32.715387969109166,32.715387969109166,M_Eeff_over_2,137.0374378284,0.04650692403658511,0.9534930759634149,NO_MATCH
constant,137.15470540383689,4.188776179509006,6.37864346547645,1.970069448523493,32.7433836342895,32.7433836342895,M_leading_inverse_alpha,137.0374378284,0.0465467215861396,0.9534532784138604,NO_MATCH
optimal_inverse_r2,137.15470540383689,12.374478218162807,141.44143329513716,0.08884504576631161,11.083675851683687,47532.210541839166,M_leading_inverse_alpha,137.0374378284,1.0321371702253506,0.032137170225350564,NO_MATCH
gp_wall,137.15470540383689,4.187383747277873,2.922053838994922e-28,4.300526720849721e+28,3.2754271803485456e-29,32.75427180348545,M_leading_inverse_alpha,137.0374378284,2.1323033218513286e-30,1.0,NO_MATCH
core_shell,137.15470540383689,0.0004009403816245347,1.5323293259396378e-24,8.200828896003386e+24,3.420825431654251e-25,342082.5431654251,M_leading_inverse_alpha,137.0374378284,1.118182994532078e-26,1.0,NO_MATCH
power,137.15470540383689,4.188776179509006,6.37864346547645,1.970069448523493,32.7433836342895,32.7433836342895,M_leading_inverse_alpha,137.0374378284,0.0465467215861396,0.9534532784138604,NO_MATCH
constant,268.030498059769,4.188776179509006,12.465274012753747,1.0081102590686726,63.987782247937304,63.987782247937304,M_LK_squared,137.0374378284,0.09096254432575514,0.9090374556742449,NO_MATCH
optimal_inverse_r2,268.030498059769,12.374478218162807,276.40770836669134,0.045463169926101415,21.659943420189116,92888.40676591583,M_LK_squared,137.0374378284,2.017023324040928,1.0170233240409279,NO_MATCH
gp_wall,268.030498059769,4.187383747277873,5.710336685257895e-28,2.200635672989506e+28,6.400906012829845e-29,64.00906012829844,M_LK_squared,137.0374378284,4.1669902588287234e-30,1.0,NO_MATCH
core_shell,268.030498059769,0.0004009403816245347,2.9945089467685273e-24,4.1964712204049197e+24,6.685046214944977e-25,668504.6214944976,M_LK_squared,137.0374378284,2.1851758134286553e-26,1.0,NO_MATCH
power,268.030498059769,4.188776179509006,12.465274012753747,1.0081102590686726,63.987782247937304,63.987782247937304,M_LK_squared,137.0374378284,0.09096254432575514,0.9090374556742449,NO_MATCH
constant,1.0,4.188776179509006,0.04650692403658511,270.20429483733903,0.23873321398547884,0.23873321398547884,M_unit,137.0374378284,0.0003393738585131872,0.9996606261414868,NO_MATCH
optimal_inverse_r2,1.0,12.374478218162807,1.0312546906697697,12.185516078668872,0.08081148815892993,346.5590947236248,M_unit,137.0374378284,0.0075253500577055436,0.9924746499422945,NO_MATCH
gp_wall,1.0,4.187383747277873,8.92113815421163e-30,1.4086062111286378e+30,2.3881260002742245e-31,0.23881260002742244,M_unit,137.0374378284,6.510000694396221e-32,1.0,NO_MATCH
core_shell,1.0,0.0004009403816245347,1.1172269456070524e-26,1.1247822712986174e+27,2.494136399901125e-27,2494.1363999011246,M_unit,137.0374378284,8.152713326456513e-29,1.0,NO_MATCH
power,1.0,4.188776179509006,0.04650692403658511,270.20429483733903,0.23873321398547884,0.23873321398547884,M_unit,137.0374378284,0.0003393738585131872,0.9996606261414868,NO_MATCH
