selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g001_nc8_nt3_ns14_tf0p36_of2p2,8,3,14,0.36,2.2,16.371637,137.15470540383689,-271.21517578870726,9917.128428211454,-0.02734815604658058,-0.01367407802329029,137.1410313258136,9.969820563595306e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g002_nc8_nt3_ns14_tf0p36_of2p8,8,3,14,0.36,2.8,16.371637,137.15470540383689,-180.61241254224277,9917.128428211454,-0.01821216835595786,-0.00910608417797893,137.1455993196589,6.639279455390955e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g003_nc8_nt3_ns14_tf0p3_of2p2,8,3,14,0.3,2.2,16.371637,137.15470540383689,-277.4836066602275,9917.128428211454,-0.027980237290349527,-0.013990118645174764,137.1407152851917,0.00010200246943028607,PASS_SUBLEADING_CORRECTION
M_Lcert2,g004_nc8_nt3_ns14_tf0p3_of2p8,8,3,14,0.3,2.8,16.371637,137.15470540383689,-203.3759214211906,9917.128428211454,-0.02050754136072727,-0.010253770680363636,137.14445163315654,7.476061904090378e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g005_nc8_nt3_ns18_tf0p36_of2p2,8,3,18,0.36,2.2,16.371637,137.15470540383689,-156.07178885010515,10989.25042045053,-0.014202223343610603,-0.007101111671805302,137.14760429216508,5.177446629262089e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g006_nc8_nt3_ns18_tf0p36_of2p8,8,3,18,0.36,2.8,16.371637,137.15470540383689,114.61019390265346,10989.25042045053,0.01042930040882213,0.005214650204411065,137.1599200540413,3.802020637248356e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g007_nc8_nt3_ns18_tf0p3_of2p2,8,3,18,0.3,2.2,16.371637,137.15470540383689,-65.36538627332716,10989.25042045053,-0.005948120551669743,-0.0029740602758348716,137.15173134356104,2.1683982821282575e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g008_nc8_nt3_ns18_tf0p3_of2p8,8,3,18,0.3,2.8,16.371637,137.15470540383689,140.04292277602028,10989.25042045053,0.012743628311118138,0.006371814155559069,137.16107721799244,4.645713128687759e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g009_nc8_nt4_ns14_tf0p36_of2p2,8,4,14,0.36,2.2,16.371637,137.15470540383689,30784.771047545546,12061.372412689605,2.5523439617167702,1.2761719808583851,138.43087738469526,0.00930461683469654,PASS_SUBLEADING_CORRECTION
M_Lcert2,g010_nc8_nt4_ns14_tf0p36_of2p8,8,4,14,0.36,2.8,16.371637,137.15470540383689,18289.92614025232,12061.372412689605,1.5164050585992799,0.7582025292996399,137.91290793313652,0.005528082518694465,PASS_SUBLEADING_CORRECTION
