target,reference,L_cert,Mmax,DeltaF_pair_raw,leading_half_alpha_inv_cert,NsoftV,normalizer_used_source,alpha_inv_pred_blind_v13_source,source_run_dir,gate_source
3_1,0_1,16.371637,215.0,43.66409947620959,137.15470540383689,16.755160819145562,M_Lcert2,137.1550842578036,outputs_routeB_BEM_v18_knotplot\runs\3_1,PASS_SUBLEADING_CORRECTION
4_1,0_1,21.043322,215.00000000000003,-91.87101379079677,176.29212213953193,16.755160819145562,M_Lcert2,176.29163965715853,outputs_routeB_BEM_v18_knotplot\runs\4_1,PASS_SUBLEADING_CORRECTION
5_1,0_1,23.598564,214.99999999999997,171.3057656192022,197.6988674604495,16.755160819145562,M_Lcert2,197.6995828331645,outputs_routeB_BEM_v18_knotplot\runs\5_1,PASS_SUBLEADING_CORRECTION
6_1,0_1,28.354929,215.0,240.2989903864684,237.54569770522713,16.755160819145562,M_Lcert2,237.54639277173484,outputs_routeB_BEM_v18_knotplot\runs\6_1,PASS_SUBLEADING_CORRECTION
7_1,0_1,30.700289,215.0,353.1851437825582,257.1941396946228,16.755160819145562,M_Lcert2,257.1950111578061,outputs_routeB_BEM_v18_knotplot\runs\7_1,PASS_SUBLEADING_CORRECTION
8_1,0_1,35.491375,215.0,10023.876452181998,297.33184790880114,16.755160819145562,M_Lcert2,297.35035429408777,outputs_routeB_BEM_v18_knotplot\runs\8_1,PASS_SUBLEADING_CORRECTION
9_1,0_1,37.744167,215.0,9589.564498380354,316.2047940348434,16.755160819145562,M_Lcert2,316.2204482298199,outputs_routeB_BEM_v18_knotplot\runs\9_1,PASS_SUBLEADING_CORRECTION
10_1,0_1,42.58107,215.0,8408.138922480408,356.7263378506472,16.755160819145562,M_Lcert2,356.7371223076242,outputs_routeB_BEM_v18_knotplot\runs\10_1,PASS_SUBLEADING_CORRECTION
K11a367,0_1,44.804989,215.00000000000003,7717.494251498315,375.35739809752397,16.755160819145562,M_Lcert2,375.3663384596278,outputs_routeB_BEM_v18_knotplot\runs\K11a367,PASS_SUBLEADING_CORRECTION
K11a247,0_1,46.146275,215.00000000000003,7033.452093057257,386.5941294147582,16.755160819145562,M_Lcert2,386.6018105741708,outputs_routeB_BEM_v18_knotplot\runs\K11a247,PASS_SUBLEADING_CORRECTION
