Monopole batch summary
======================
Generated (UTC): 2026-04-07T18:27:25Z
Root: C:\workspace\projects\SSTcore\sstcore\resources\knotplot
Command: test_monopole_from_fseries.py --batch . --n-curve 4000 --padding 0.6 --alpha 1.0 --tube-radius 0.04 0.06 0.08 --grid 80 96 128 --beta 0.1 1.0 10.0

Run parameters
--------------
n_curve=4000 padding=0.6 alpha=1.0
grid sweep: [80, 96, 128]
tube_radius sweep: [0.04, 0.06, 0.08]
beta sweep: [0.1, 1.0, 10.0]
Cartesian combinations per file: 27

Aggregate
---------
Total runs (file × parameter set): 1215
Distinct .fseries paths: 45
Succeeded: 1215
Failed: 0
Mixed 'plausible monopole candidate' (heuristic): 1215 / 1215
Pure tensor monopole suppressed (heuristic): 1215 / 1215

Per-knot (tab-separated)
------------------------
ok	relpath	stem	error	grid_n	tube_radius	alpha	beta	header_L	n_harmonics	curve_length	bbox_diag	Q_tensor	Q_mix	tensor_norm_dipole	tensor_norm_quad	mix_norm_dipole	mix_norm_quad	mix_plausible	tensor_monopole_suppressed	scalar_mass
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	4.00000000000000008e-02	1.00000000000000000e+00	1.00000000000000006e-01		100	1.09585701829226025e+02	2.57265867701912860e+01	1.86949495234220600e-09	1.19701164577476263e+08	1.29808743216909761e+00	2.26634324431061484e+13	1.73480259717913254e-01	6.52030776271275564e-02	1	1	1.19701164577476263e+08
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	4.00000000000000008e-02	1.00000000000000000e+00	1.00000000000000000e+00		100	1.09585701829226025e+02	2.57265867701912860e+01	1.86949495234220600e-09	1.19701164577476263e+08	1.29808743216909761e+00	2.26634324431061484e+13	1.73480259717913310e-01	6.50555243922873450e-02	1	1	1.19701164577476263e+08
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	4.00000000000000008e-02	1.00000000000000000e+00	1.00000000000000000e+01		100	1.09585701829226025e+02	2.57265867701912860e+01	1.86949495234220600e-09	1.19701164577476263e+08	1.29808743216909761e+00	2.26634324431061484e+13	1.73480259717913865e-01	6.36489078683949161e-02	1	1	1.19701164577476263e+08
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	5.99999999999999978e-02	1.00000000000000000e+00	1.00000000000000006e-01		100	1.09585701829226025e+02	2.57265867701912860e+01	1.86949495234220600e-09	1.02080149797436818e+08	1.78076358787894429e+00	1.47633443717776484e+13	1.49765891517661259e-01	5.79529956832759291e-02	1	1	1.02080149797436818e+08
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	5.99999999999999978e-02	1.00000000000000000e+00	1.00000000000000000e+00		100	1.09585701829226025e+02	2.57265867701912860e+01	1.86949495234220600e-09	1.02080149797436804e+08	1.78076358787894429e+00	1.47633443717776484e+13	1.49765891517661343e-01	5.78807487153749356e-02	1	1	1.02080149797436818e+08
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	5.99999999999999978e-02	1.00000000000000000e+00	1.00000000000000000e+01		100	1.09585701829226025e+02	2.57265867701912860e+01	1.86949495234220600e-09	1.02080149797436938e+08	1.78076358787894429e+00	1.47633443717776484e+13	1.49765891517661731e-01	5.72102105001708328e-02	1	1	1.02080149797436818e+08
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	8.00000000000000017e-02	1.00000000000000000e+00	1.00000000000000006e-01		100	1.09585701829226025e+02	2.57265867701912860e+01	3.27161616659886040e-09	9.51284825759737194e+07	8.57451068338696998e-01	6.05348947037269336e+12	1.04799643911428486e-01	5.19339620080946016e-02	1	1	9.51284825759737194e+07
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	8.00000000000000017e-02	1.00000000000000000e+00	1.00000000000000000e+00		100	1.09585701829226025e+02	2.57265867701912860e+01	3.27161616659886040e-09	9.51284825759737194e+07	8.57451068338696998e-01	6.05348947037269336e+12	1.04799643911428500e-01	5.19235016490428372e-02	1	1	9.51284825759737194e+07
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		80	8.00000000000000017e-02	1.00000000000000000e+00	1.00000000000000000e+01		100	1.09585701829226025e+02	2.57265867701912860e+01	3.27161616659886040e-09	9.51284825759737641e+07	8.57451068338696998e-01	6.05348947037269336e+12	1.04799643911428778e-01	5.18560313475479526e-02	1	1	9.51284825759737194e+07
1	knot_0.2.1\knot_0.2.1.fseries	knot_0.2.1		96	4.00000000000000008e-02	1.00000000000000000e+00	1.00000000000000006e-01		100	1.09585701829226025e+02	2.57265867701912860e+01	5.37532539325172043e-09	7.52329961892178655e+07	4.81254431188718856e-01	3.30330517723791113e+12	1.79734998978667321e-01	5.43939494120587730e-02	1	1	7.52329961892178655e+07
