model,status,n_points,M_min,M_max,rms,S_inf,S_inf_se,alpha_inv_pred_blind,c_sqrt,c_sqrt_se,knot,reference,target_selected,fit_tail_frac,max_common_modes,c_inv,c_inv_se,c_threehalf,c_threehalf_se
sqrt,PASS_FIT,123,41,163,0.0061660587479598385,-0.06673241416361564,0.0028500465725381573,-0.03336620708180782,0.543952046409855,0.026757256865447946,3_1,0_1,True,0.75,163,,,,
sqrt+inv,PASS_FIT,123,41,163,0.003196080665323908,-0.21491387482375485,0.008332038907088099,-0.10745693741187742,3.294183974701921,0.1528070989248804,3_1,0_1,True,0.75,163,-12.254927540113,0.6780686762670087,,
sqrt+inv+threehalf,PASS_FIT,123,41,163,0.001803376110397809,-0.639013396544844,0.026986052788393108,-0.319506698272422,14.993948955459086,0.7380876272621634,3_1,0_1,True,0.75,163,-117.25059752200019,6.58920210392414,306.5908843719359,19.207956469154084
sqrt,PASS_FIT,123,41,163,0.014819876187278976,-0.08976792744867727,0.00684997322592318,-0.04488396372433864,0.8102155591759563,0.06430999931493707,4_1,0_1,False,0.75,163,,,,
sqrt+inv,PASS_FIT,123,41,163,0.008953321550589421,-0.42163568319377,0.023340907604915254,-0.210817841596885,6.969645313442794,0.42806525715411736,4_1,0_1,False,0.75,163,-27.446181738509743,1.899503650789673,,
sqrt+inv+threehalf,PASS_FIT,123,41,163,0.0047586254432540965,-1.6405598570518174,0.07120894896601355,-0.8202799285259087,40.596484376189046,1.9476151104530257,4_1,0_1,False,0.75,163,-329.21912355170866,17.387135496410714,881.1871301548927,50.68464079124956
