case,aspect_b_over_a,M_xx,M_yy,canonical_cx_over_v,canonical_cy_over_v,counterfactual_cx_over_v,counterfactual_cy_over_v,counterfactual_split_abs
ellipse_tensor_b_over_a_0.25,2.5000000000000000e-01,7.7381487637161670e-61,4.8363429773226044e-62,1.0000000000000000e+00,1.0000000000000000e+00,7.2886898685566248e-01,2.9154759474226499e+00,2.1866069605669876e+00
ellipse_tensor_b_over_a_0.333333,3.3333333329999998e-01,1.0317531683923136e-60,1.1463924090955142e-61,1.0000000000000000e+00,1.0000000000000000e+00,7.4535599249247619e-01,2.2360679777010359e+00,1.4907119852085597e+00
ellipse_tensor_b_over_a_0.5,5.0000000000000000e-01,1.5476297527432334e-60,3.8690743818580835e-61,1.0000000000000000e+00,1.0000000000000000e+00,7.9056941504209488e-01,1.5811388300841898e+00,7.9056941504209488e-01
ellipse_tensor_b_over_a_0.75,7.4999999999999989e-01,2.3214446291148500e-60,1.3058126038771027e-60,1.0000000000000000e+00,1.0000000000000000e+00,8.8388347648318433e-01,1.1785113019775793e+00,2.9462782549439492e-01
ellipse_tensor_b_over_a_1,1.0000000000000000e+00,3.0952595054864668e-60,3.0952595054864668e-60,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00
ellipse_tensor_b_over_a_1.5,1.4999999999999998e+00,4.6428892582296999e-60,1.0446500831016821e-59,1.0000000000000000e+00,1.0000000000000000e+00,1.2747548783981959e+00,8.4983658559879749e-01,4.2491829279939847e-01
ellipse_tensor_b_over_a_2,2.0000000000000000e+00,6.1905190109729336e-60,2.4762076043891734e-59,1.0000000000000000e+00,1.0000000000000000e+00,1.5811388300841898e+00,7.9056941504209488e-01,7.9056941504209488e-01
ellipse_tensor_b_over_a_3,2.9999999999999996e+00,9.2857785164593998e-60,8.3572006648134571e-59,1.0000000000000000e+00,1.0000000000000000e+00,2.2360679774997894e+00,7.4535599249992990e-01,1.4907119849998596e+00
ellipse_tensor_b_over_a_4,4.0000000000000000e+00,1.2381038021945867e-59,1.9809660835113387e-58,1.0000000000000000e+00,1.0000000000000000e+00,2.9154759474226499e+00,7.2886898685566248e-01,2.1866069605669876e+00
