case,shape,a_over_rc,b_over_rc,inner_over_outer,J_analytic,J_numeric,J_rel_error,I_chi_analytic,K_chi_analytic,c_chi_analytic,c_chi_over_v_analytic,I_chi_numeric,K_chi_numeric,c_chi_numeric,c_chi_over_v_numeric
circle_a_over_rc_0.05,circle,5.0000000000000003e-02,0.0000000000000000e+00,0.0000000000000000e+00,3.8690743818580851e-65,3.8690719935405619e-65,-6.1728395154829037e-07,2.7083520673006594e-71,3.2405385529335063e-59,1.0938456318215313e+06,1.0000000000000000e+00,2.7083503954783930e-71,3.2405365526010629e-59,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_0.1,circle,1.0000000000000001e-01,0.0000000000000000e+00,0.0000000000000000e+00,6.1905190109729362e-64,6.1905151896648990e-64,-6.1728395154829037e-07,4.3333633076810550e-70,5.1848616846936101e-58,1.0938456318215313e+06,1.0000000000000000e+00,4.3333606327654288e-70,5.1848584841617006e-58,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_0.25,circle,2.5000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4181714886613022e-62,2.4181699959628533e-62,-6.1728395025088143e-07,1.6927200420629114e-68,2.0253365955834403e-56,1.0938456318215313e+06,1.0000000000000000e+00,1.6927189971739971e-68,2.0253353453756660e-56,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_0.5,circle,5.0000000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,3.8690743818580835e-61,3.8690719935405652e-61,-6.1728395025088143e-07,2.7083520673006582e-67,3.2405385529335045e-55,1.0938456318215313e+06,1.0000000000000000e+00,2.7083503954783954e-67,3.2405365526010657e-55,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_1,circle,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.1905190109729336e-60,6.1905151896649044e-60,-6.1728395025088143e-07,4.3333633076810532e-66,5.1848616846936073e-54,1.0938456318215313e+06,1.0000000000000000e+00,4.3333606327654326e-66,5.1848584841617050e-54,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_2,circle,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.9048304175566937e-59,9.9048243034638470e-59,-6.1728395025088143e-07,6.9333812922896851e-65,8.2957786955097716e-53,1.0938456318215313e+06,1.0000000000000000e+00,6.9333770124246922e-65,8.2957735746587281e-53,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_4,circle,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5847728668090710e-57,1.5847718885542155e-57,-6.1728395025088143e-07,1.1093410067663496e-63,1.3273245912815635e-51,1.0938456318215313e+06,1.0000000000000000e+00,1.1093403219879508e-63,1.3273237719453965e-51,1.0938456318215313e+06,1.0000000000000000e+00
circle_a_over_rc_10,circle,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.1905190109729349e-56,6.1905151896649029e-56,-6.1728395070801569e-07,4.3333633076810542e-62,5.1848616846936086e-50,1.0938456318215313e+06,1.0000000000000000e+00,4.3333606327654322e-62,5.1848584841617043e-50,1.0938456318215313e+06,1.0000000000000000e+00
annulus_inner_over_outer_0.1,annulus,1.0000000000000001e-01,1.0000000000000000e+00,1.0000000000000001e-01,6.1898999590718367e-60,6.1898968947649243e-60,-4.9504950527526933e-07,4.3329299713502854e-66,5.1843431985251383e-54,1.0938456318215313e+06,1.0000000000000000e+00,4.3329278263354466e-66,5.1843406320186030e-54,1.0938456318215313e+06,1.0000000000000000e+00
annulus_inner_over_outer_0.25,annulus,2.5000000000000000e-01,1.0000000000000000e+00,2.5000000000000000e-01,6.1663372960863201e-60,6.1663352809434122e-60,-3.2679738574065697e-07,4.3164361072604240e-66,5.1646083187377729e-54,1.0938456318215313e+06,1.0000000000000000e+00,4.3164346966603884e-66,5.1646066309572758e-54,1.0938456318215313e+06,1.0000000000000000e+00
annulus_inner_over_outer_0.5,annulus,5.0000000000000000e-01,1.0000000000000000e+00,5.0000000000000000e-01,5.8036115727871253e-60,5.8036108562918731e-60,-1.2345678947875818e-07,4.0625281009509876e-66,4.8608078294002573e-54,1.0938456318215313e+06,1.0000000000000000e+00,4.0625275994043111e-66,4.8608072293005284e-54,1.0938456318215313e+06,1.0000000000000000e+00
annulus_inner_over_outer_0.75,annulus,7.4999999999999989e-01,1.0000000000000000e+00,7.5000000000000000e-01,4.2318001051572793e-60,4.2318000006683865e-60,-2.4691358336559884e-08,2.9622600736100953e-66,3.5443390422710215e-54,1.0938456318215313e+06,1.0000000000000000e+00,2.9622600004678706e-66,3.5443389547564758e-54,1.0938456318215313e+06,1.0000000000000000e+00
annulus_inner_over_outer_0.9,annulus,9.0000000000000002e-01,1.0000000000000000e+00,9.0000000000000002e-01,2.1289194878735911e-60,2.1289194806131050e-60,-3.4104089356625170e-09,1.4902436415115136e-66,1.7830739333661310e-54,1.0938456318215313e+06,1.0000000000000000e+00,1.4902436364291735e-66,1.7830739272851197e-54,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_0.25,ellipse,1.0000000000000000e+00,2.5000000000000000e-01,0.0000000000000000e+00,8.2217830614484273e-61,8.2217779862737370e-61,-6.1728394588121348e-07,5.7552481430138992e-67,6.8861444249836972e-55,1.0938456318215313e+06,1.0000000000000000e+00,5.7552445903916156e-67,6.8861401742772954e-55,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_0.333333,ellipse,1.0000000000000000e+00,3.3333333329999998e-01,0.0000000000000000e+00,1.1463924093018651e-60,1.1463917016522213e-60,-6.1728395797213679e-07,8.0247468651130547e-67,9.6015957112433781e-55,1.0938456318215313e+06,1.0000000000000000e+00,8.0247419115655489e-67,9.6015897843323741e-55,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_0.5,ellipse,1.0000000000000000e+00,5.0000000000000000e-01,0.0000000000000000e+00,1.9345371909290414e-60,1.9345359967702997e-60,-6.1728394125104636e-07,1.3541760336503289e-66,1.6202692764667521e-54,1.0938456318215313e+06,1.0000000000000000e+00,1.3541751977392098e-66,1.6202682763005473e-54,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_0.75,ellipse,1.0000000000000000e+00,7.4999999999999989e-01,0.0000000000000000e+00,3.6272572329919523e-60,3.6272549939443116e-60,-6.1728394126056997e-07,2.5390800630943664e-66,3.0380048933751602e-54,1.0938456318215313e+06,1.0000000000000000e+00,2.5390784957610182e-66,3.0380030180635255e-54,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_1,ellipse,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,6.1905190109729336e-60,6.1905151896635436e-60,-6.1728417006828353e-07,4.3333633076810532e-66,5.1848616846936073e-54,1.0938456318215313e+06,1.0000000000000000e+00,4.3333606327644801e-66,5.1848584841605656e-54,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_1.5,ellipse,1.0000000000000000e+00,1.4999999999999998e+00,0.0000000000000000e+00,1.5089390089246523e-59,1.5089380774808675e-59,-6.1728391889614445e-07,1.0562573062472566e-65,1.2638100356440667e-53,1.0938456318215313e+06,1.0000000000000000e+00,1.0562566542366073e-65,1.2638092555144550e-53,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_2,ellipse,1.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,3.0952595054864662e-59,3.0952575948324777e-59,-6.1728394182246442e-07,2.1666816538405263e-65,2.5924308423468033e-53,1.0938456318215313e+06,1.0000000000000000e+00,2.1666803163827344e-65,2.5924292420808743e-53,1.0938456318215313e+06,1.0000000000000000e+00
ellipse_b_over_a_4,ellipse,1.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,2.1047764637307974e-58,2.1047751644860767e-58,-6.1728394588121348e-07,1.4733435246115582e-64,1.7628529727958265e-52,1.0938456318215313e+06,1.0000000000000000e+00,1.4733426151402536e-64,1.7628518846149876e-52,1.0938456318215313e+06,1.0000000000000000e+00
