n_grid,n_max,omega1_ratio_disc_over_cont,max_abs_rel_error,predicted_high_mode_error
128,32,9.9989960421614188e-01,9.9683683842893833e-02,9.9683683842893833e-02
256,32,9.9997490048705007e-01,2.5504641595567312e-02,2.5504641595567312e-02
512,32,9.9999372508632556e-01,6.4131488557942484e-03,6.4131488557942484e-03
1024,32,9.9999843126936661e-01,1.6056069643816118e-03,1.6056069643816118e-03
2048,32,9.9999960781720310e-01,4.0154685032078863e-04,4.0154685032089965e-04
4096,32,9.9999990195429211e-01,1.0039578385812042e-04,1.0039578385823145e-04
8192,32,9.9999997548857256e-01,2.5099512949933178e-05,2.5099512949933178e-05
