normalizer,n_runs,n_valid,pass_count,pass_fraction,alpha_inv_blind_v13_mean,alpha_inv_blind_v13_std,alpha_inv_blind_v13_span,alpha_inv_blind_v13_cv_abs,abs_correction_ratio_mean,abs_correction_ratio_max,DeltaF_phys_cert_mean,DeltaF_phys_cert_std,stability_gate
raw,4,4,0,0.0,258.0406395090251,196.1535044189309,409.8905414705987,0.7601651615503393,1.2032933171335598,2.413659641501045,241.77186821037637,392.3070088378618,FAIL_CERTIFIED_STABILITY_GATE
Mmax,4,4,4,1.0,137.31222129443074,0.432601253152923,0.8847914293396286,0.0031504934453381313,0.002588267968719101,0.0037772451353693982,0.3150317811877189,0.8652025063058556,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM,4,4,2,0.5,141.71739085074887,8.934713755967989,18.47316548334561,0.06304599387789799,0.054753138406559376,0.09548289972187306,9.125370893824,17.869427511935974,FAIL_CERTIFIED_STABILITY_GATE
Lcert,4,4,2,0.5,144.53856897870043,11.981300612695662,25.0366253216217,0.08289344980619849,0.07349865606802544,0.14742934023647394,14.767727149727078,23.962601225391317,FAIL_CERTIFIED_STABILITY_GATE
Lcert2,4,4,4,1.0,137.60572099713787,0.7318327796234321,1.529268290130176,0.0053183310571706085,0.004489389550234068,0.009005167915491524,0.9020311866019921,1.4636655592468437,PASS_CERTIFIED_STABLE_NORMALIZER
Lcert3,4,4,4,1.0,137.18225399859872,0.04470125862327858,0.0934096138419136,0.0003258530700606158,0.0002742175110671015,0.0005500468838572174,0.05509718952368612,0.08940251724655535,PASS_CERTIFIED_STABLE_NORMALIZER
NsoftV,4,4,2,0.5,144.36955314000755,11.707049937401543,24.46353967562223,0.08109085110243579,0.07181627977921862,0.14405469858236375,14.429695472341376,23.414099874803092,FAIL_CERTIFIED_STABILITY_GATE
NsoftV_Lcert,4,4,4,1.0,137.5953972989828,0.7150812064426745,1.4942635043534267,0.005196984931762401,0.004386627908939017,0.008799040595779382,0.8813837902917941,1.4301624128853514,PASS_CERTIFIED_STABLE_NORMALIZER
leading_full_cert,4,4,4,1.0,137.5953972989828,0.7150812064426745,1.4942635043534267,0.005196984931762401,0.004386627908939017,0.008799040595779382,0.8813837902917941,1.4301624128853514,PASS_CERTIFIED_STABLE_NORMALIZER
leading_half_cert,4,4,4,1.0,138.0360891941287,1.4301624128853554,2.9885270087068534,0.010360786235214397,0.008773255817878033,0.017598081191558763,1.7627675805835883,2.860324825770703,FAIL_CERTIFIED_STABILITY_GATE
M_Lcert,4,4,4,1.0,137.16432667082404,0.02642382390673321,0.054044163655703414,0.00019264355789932783,0.00015809463456336717,0.0002307188423106008,0.019242533974319055,0.052847647813462725,PASS_CERTIFIED_STABLE_NORMALIZER
sqrtM_Lcert,4,4,4,1.0,137.43339991965786,0.5457434559517756,1.1283639799334537,0.003970966710208811,0.0033443899596942803,0.005832214562408944,0.5573890316419794,1.0914869119035546,PASS_CERTIFIED_STABLE_NORMALIZER
M_Lcert2,4,4,4,1.0,137.1552930828202,0.0016140001092557136,0.003301084897969986,1.1767683718054626e-05,9.656617390390904e-06,1.4092594546935093e-05,0.0011753579666052365,0.0032280002185158837,PASS_CERTIFIED_STABLE_NORMALIZER
