target,target_id,run_dir,returncode,mode,status,command
3_1,3:1:1,outputs_routeB_BEM_v18_knotplot\runs\3_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\3_1 --ideal-xml-knot-ids 0:1:1,3:1:1 --target 3_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
4_1,4:1:1,outputs_routeB_BEM_v18_knotplot\runs\4_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\4_1 --ideal-xml-knot-ids 0:1:1,4:1:1 --target 4_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
5_1,5:1:1,outputs_routeB_BEM_v18_knotplot\runs\5_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\5_1 --ideal-xml-knot-ids 0:1:1,5:1:1 --target 5_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
5_2,5:1:2,outputs_routeB_BEM_v18_knotplot\runs\5_2,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\5_2 --ideal-xml-knot-ids 0:1:1,5:1:2 --target 5_2 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
6_1,6:1:1,outputs_routeB_BEM_v18_knotplot\runs\6_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\6_1 --ideal-xml-knot-ids 0:1:1,6:1:1 --target 6_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
6_2,6:1:2,outputs_routeB_BEM_v18_knotplot\runs\6_2,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\6_2 --ideal-xml-knot-ids 0:1:1,6:1:2 --target 6_2 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
6_3,6:1:3,outputs_routeB_BEM_v18_knotplot\runs\6_3,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\6_3 --ideal-xml-knot-ids 0:1:1,6:1:3 --target 6_3 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
7_1,7:1:1,outputs_routeB_BEM_v18_knotplot\runs\7_1,0,run_bemv13,PASS,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_1 --ideal-xml-knot-ids 0:1:1,7:1:1 --target 7_1 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
7_2,7:1:2,outputs_routeB_BEM_v18_knotplot\runs\7_2,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_2 --ideal-xml-knot-ids 0:1:1,7:1:2 --target 7_2 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
7_3,7:1:3,outputs_routeB_BEM_v18_knotplot\runs\7_3,1,run_bemv13,FAIL,"C:\Program Files\Python313\python.exe C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v13_certified_length_budget.py --ideal ideal.txt --v8-script C:\workspace\projects\SwirlStringTheory\papers\SST-CANON\Derive_Constants\routeB_RT_bem\routeB_RT_bem_v8_pair_length_budget.py --outdir outputs_routeB_BEM_v18_knotplot\runs\7_3 --ideal-xml-knot-ids 0:1:1,7:1:3 --target 7_3 --reference 0_1 --n-center 24 --n-theta 5 --n-sphere 96 --tube-fraction 0.3 --outer-factor 3.0 --pair-fit-min-M 8 --pair-fit-tail-frac 0.75 --length-samples 12000 --normalizers raw,Mmax,Lcert,Lcert2,Lcert3,M_Lcert,M_Lcert2 --preferred-normalizer M_Lcert2 --subrun-timeout 1800"
