grid_n,L_box,R_mask,dx,H_scalar,H_perp,w_perp,sigma,c2_at_chiR
61,8.0,7.0,0.2666666666666666,0.5476336308303908,219.85577257282998,401.46506751138907,270.643378340926,16.915211146307875
81,8.0,7.0,0.20000000000000018,0.40249253806767804,288.7934655388598,717.5125952031934,481.3417301354623,30.083858133466393
101,8.0,7.0,0.16000000000000014,0.33059657917235974,350.19147382991065,1059.2713170432864,709.1808780288576,44.3238048768036
121,8.0,7.0,0.13333333333333375,0.29367996844467115,419.43843222535617,1428.2160082170458,955.1440054780305,59.69650034237691
81,10.0,9.0,0.25,0.4024698360236556,301.268480987364,748.5492179087345,502.0328119391563,31.37705074619727
101,12.0,11.0,0.2400000000000002,0.34137749809393103,374.5386089504684,1097.139123233638,734.4260821557586,45.901630134734916
