rho,f,fp,e_radial,e_phase,e_potential
1e-05,7.071067811688699e-06,0.7070668903833397,0.4999435874763657,0.49999999997499994,0.49999999995
0.015017498749374688,0.01061837654096391,0.7069474176897553,0.49977465137821336,0.49994362503981715,0.4998872564359066
0.030024997498749376,0.021226096041517026,0.7065892808190238,0.4992684117683453,0.49977472642341814,0.49954955434320486
0.04503249624812407,0.03182665203739004,0.7059931633172837,0.4984263466507448,0.4994935321100456,0.49898757723953796
0.060039994997498757,0.04241647907261945,0.7051600689802509,0.49725072288423217,0.49910042115154096,0.49820246078729125
0.07504749374687343,0.0529920297440502,0.7040913974938123,0.49574469602478966,0.49859592239180284,0.4971957876514654
0.09005499249624813,0.06354978060728717,0.7027889389608972,0.49391229272578374,0.49798071269238275,0.49596958042722705
0.10506249124562282,0.07408623798911027,0.7012548669311389,0.49175838839460934,0.4972556146703104,0.49452629264229647
0.1200699899949975,0.08459794368421114,0.6994917299819718,0.4892886803131718,0.4964215939622015,0.4928687979039458
0.1350774887443722,0.09508148051491501,0.6975024419095344,0.48650965646976335,0.4954797560315458,0.4910003772741605
0.15008498749374688,0.1055334777334974,0.6952902705968458,0.483428560386635,0.4944313425387367,0.4889247049693152
0.1650924862431216,0.11595061624778415,0.6928588256350419,0.4800533522603693,0.49327772729587954,0.4866458324923762
0.18009998499249627,0.1263296336519196,0.6902120447810347,0.47639266676081704,0.49202041183068596,0.48416817131607554
0.19510748374187095,0.13666732904549359,0.6873541793416704,0.4724557678584612,0.4906610205857853,0.481496474244569
0.21011498249124566,0.1469605676256148,0.684289778580137,0.46825250106925287,0.48920129578157856,0.478635815588751
0.22512248124062034,0.15720628503799614,0.681023673245245,0.46379324352044626,0.4876430919722762,0.4755915702965636
0.24012997998999502,0.16740149147465994,0.6775609583279971,0.45908885225035384,0.4859883703260297,0.4723693921843004
0.2551374787393697,0.1775432755074612,0.6739069751525593,0.45415061115927213,0.4842391926610409,0.46897519141803334
0.2701449774887444,0.18762880764825374,0.6700672929106597,0.4489901770286198,0.4823977152702471,0.46541511139590924
0.28515247623811907,0.19765534362816842,0.6660476897491376,0.4436195250201635,0.4804661825676154,0.4616955051821941
0.30015997498749375,0.2076202273901219,0.6618541335202135,0.4380508940577926,0.47844692058923705,0.4578229116426474
0.3151674737368685,0.2175208937903146,0.657492762302943,0.43229673248075423,0.47634233038233137,0.45380403142814013
0.33017497248624317,0.22735487100609056,0.6529698648022739,0.4263696443398999,0.4741548813149019,0.4496457029494975
0.34518247123561785,0.2371197826491136,0.6482918607293975,0.4202823366879845,0.4718871043382185,0.4453548784814175
0.36018996998499253,0.24681334958434303,0.6434652812633423,0.4140475681913123,0.46954158523347844,0.4409386005271358
0.3751974687343672,0.25643339145676486,0.638496749689617,0.40767809936420546,0.46712095787299057,0.4364039785683609
0.3902049674837419,0.26597782792923647,0.6333929623067132,0.40118664469967336,0.46462789752502265,0.4317581663170461
0.4052124662331166,0.2754446796361263,0.628160669685867,0.39458582694019695,0.46206511423007574,0.4270083395769062
0.4202199649824913,0.2848320688586706,0.6228066583635989,0.3878881337020326,0.4594353462748447,0.4221616748133731
