knot,raw_points,raw_arclength,parse_gate_G1,alpha_blind_gate_G2,operator_gate_G3,invariance_gate_G4,invariance_rel_range_S_logdet,resolution_gate_G5,resolution_rel_range_S_logdet,candidate_status,S_logdet,S_trace,S_mean_impedance,S_rel_spread,min_impedance_eig,max_impedance_eig,positive_spectrum,n_modes_used,boundary_nodes,selected_nodes,tube_radius,outer_radius,screening_mu,operator_backend
0_1,1200,6.283178129803185,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,8.405244383102278e-05,PASS,0.007561038898386533,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.6922118960029182,22.405439634222454,0.9335599847592689,0.05749105456514792,0.8070506951296789,0.9749405360457485,True,24,336,336,0.01830114109866934,0.45629776264942296,2.1915513987919937,BEM_V3_AREA_SYMMETRIC_STEKLOV
3_1,1200,16.37231060083242,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.00016656044913734567,PASS,0.022699011867986233,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7244507139420628,22.37737447855754,0.9323906032732309,0.05900283719658553,0.8072173522515682,0.9749420404168473,True,24,336,336,0.009270896992514094,0.27952470339130653,3.5775013366174666,BEM_V3_AREA_SYMMETRIC_STEKLOV
4_1,1200,21.044656823564374,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,3.4644689775291154e-05,PASS,0.022470214117449462,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7313183209873046,22.371517476082275,0.9321465615034281,0.05939426291529271,0.8073095365925766,0.9749418384405275,True,24,336,336,0.007254756365360028,0.22931431593133794,4.360826736606463,BEM_V3_AREA_SYMMETRIC_STEKLOV
5_1_1,1200,23.600641107333274,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.00013332700459817748,PASS,0.023165415946813785,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7252217578942977,22.376705837400625,0.932362743225026,0.05904137654311101,0.8072702435747615,0.9749423380693397,True,24,336,336,0.006516958940903847,0.2515347533411382,3.975593776672972,BEM_V3_AREA_SYMMETRIC_STEKLOV
5_1_2,1200,24.736353861665712,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,6.299449030411164e-05,PASS,0.022614782881247814,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.727961578130238,22.374366413275,0.9322652672197916,0.05919637011834222,0.8072997566809478,0.9749421495279661,True,24,336,336,0.0062115837072341164,0.24217413118907102,4.129260194266069,BEM_V3_AREA_SYMMETRIC_STEKLOV
6_1_1,1200,28.35824093833888,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.00012670454822030265,PASS,0.02209883188665692,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7306357657123566,22.37209094463679,0.9321704560265328,0.059351871455517805,0.807286539994139,0.974942182977623,True,24,336,336,0.005460097589173584,0.22045884888642578,4.5359939283506465,BEM_V3_AREA_SYMMETRIC_STEKLOV
6_1_2,1200,28.512214289677907,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,4.846419181631454e-05,PASS,0.022714286620148794,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7317289605109172,22.371159602088653,0.9321316500870273,0.059414985306932955,0.8073532169233248,0.9749424759988581,True,24,336,336,0.005432450638586391,0.22431532151933584,4.458010238564113,BEM_V3_AREA_SYMMETRIC_STEKLOV
6_1_3,1200,28.91876164228676,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,5.026246617138292e-05,PASS,0.02274360014627107,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7340072077268278,22.36922916909272,0.9320512153788633,0.05955174804217151,0.8073266149911821,0.9749424049752865,True,24,336,336,0.005351654664533339,0.21465355035879416,4.658669741676746,BEM_V3_AREA_SYMMETRIC_STEKLOV
7_1_1,1200,30.704792223724013,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,0.00010999702608302295,PASS,0.022177158221042707,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.7282094878626497,22.374152410029595,0.9322563504178998,0.0592092343734328,0.8073415953400802,0.9749425755149382,True,24,336,336,0.005085411394306421,0.2242640734439611,4.459028968141342,BEM_V3_AREA_SYMMETRIC_STEKLOV
7_1_2,1200,31.93559745060781,PASS,PASS_NO_ALPHA_OR_EM_CONSTANTS_USED,PASS,PASS,7.278117107796505e-05,PASS,0.022042215566478736,BEM_V3_ROUTE_B_CANDIDATE_NOT_ALPHA_DERIVATION,1.730908552777583,22.371856210966097,0.9321606754569207,0.059366350526136064,0.8073532081904047,0.9749423210571778,True,24,336,336,0.004888407616540486,0.21290026682854668,4.697034977440034,BEM_V3_AREA_SYMMETRIC_STEKLOV
