M,objective,theta2,theta3,theta5,min1,min2,min3
100,0.12140000000000321,2.814469496963044,0.01034189401314567,2.816602170068885,25.23,26.58,33.1
150,0.11659999999999937,1.4256615157286174,2.149806131079224,0.46160160936137395,24.89,26.93,32.79
200,0.27780000000000377,1.166406892266066,2.855369376000119,0.7429536783293826,21.94,25.34,27.16
250,0.42440000000000466,1.867074964190931,2.998704571623345,1.1945820233998192,25.16,27.23,33.24
300,0.28920000000000035,0.5604953074426482,2.548790544599208,1.3505617808386328,24.68,26.89,32.94
400,0.13790000000000174,2.1248163509331333,0.16221450810035076,2.2697256939551105,25.51,26.86,29.3
