normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,-79.39885243902464,-79.39885243902464,0.28944997623393043,FAIL_NOT_SUBLEADING
Mmax,M_max,335.0,-79.39885243902464,-0.237011499817984,0.0008640297798027775,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),18.303005217723125,-79.39885243902464,-4.338022717828945,0.0158143415679984,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,-79.39885243902464,-4.849780900897366,0.01767996543253008,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,-79.39885243902464,-0.29623066409897586,0.001079914331873476,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,-79.39885243902464,-0.01809413830144022,6.596251382030251e-05,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,-79.39885243902464,-4.738769940560536,0.01727527293579812,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,-79.39885243902464,-0.28944997623393043,0.0010551952096053757,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,-79.39885243902464,-0.28944997623393043,0.0010551952096053757,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,-79.39885243902464,-0.5788999524678609,0.0021103904192107514,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,5484.498395,-79.39885243902464,-0.014476957913126464,5.27760162165077e-05,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,299.650157433669,-79.39885243902464,-0.26497183622071174,0.0009659597001813807,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,89790.21685002261,-79.39885243902464,-0.0008842706391014206,3.223624871264108e-06,PASS_SUBLEADING_CORRECTION
