r_m,avg_vtheta_mps,far_vtheta_mps,rel_deviation,hexapole_over_mean
6e-13,-29.551994519053007,7705.979316274286,-1.0038349433999443,1.77311204680713
6.554185041430453e-13,-39.06928123500962,7054.405026006822,-1.0055382815547131,1.764876746178878
7.159556926218446e-13,-53.39186394777584,6457.92419476811,-1.0082676510806725,1.7431418975973694
7.820843484848451e-13,-35447.07311580466,5911.878429381668,-6.9959069759680625,0.003527098002705104
8.543209229960417e-13,-32470.35533498772,5412.003224209918,-6.999692533392378,0.004774617909861763
9.332295690136186e-13,-29735.504264107458,4954.394656238222,-7.0018440853650254,0.0054770869917799446
1.0194265469082738e-12,-27222.336027952875,4535.478896235369,-7.00208636193821,0.0055442267817132004
1.1135850374305508e-12,-24928.908727534334,4151.984297878933,-7.004095135973761,0.006197588397730143
1.2164403991146803e-12,-22933.98896178585,3800.9158468673,-7.033806031430019,0.01600085630422955
1.3287959112781872e-12,38.33694758153624,3479.531770471116,-0.9889821533153165,2.1785068145137423
1.4515290474689061e-12,7.719799471179429,3185.3221248495993,-0.9975764462215752,2.4355751645770862
1.5855983283537487e-12,2.448536195659396,2915.989192902986,-0.9991603068346004,2.748028149300759
1.7320508075688776e-12,0.9042287015740323,2669.4295395723875,-0.9996612651923681,3.1776184181423344
1.8920302489942446e-12,0.354368808554794,2443.717584442613,-0.9998549878223201,3.826138982731417
2.066786059315334e-12,0.13900976398902298,2237.0905633533403,-0.999937861360525,4.920098499972322
2.2576830456335913e-12,0.05081384570898411,2047.9347615719091,-0.9999751877615135,7.129567268249179
2.4662120743304702e-12,0.014482748395864475,1874.772911011632,-0.9999922749319072,13.763771006960205
2.6940017144286546e-12,0.00011040109359985598,1716.252653070469,-0.9999999356731694,1024.6544494582545
2.942830956382712e-12,-0.004873934991046033,1571.1359769872145,-1.000003102172608,13.517355218507873
3.214643105630339e-12,-0.005932764330701918,1438.2895512309015,-1.000004124874804,6.613205703292147
3.5115609594099814e-12,-0.005469861420088191,1316.6758724135702,-1.0000041542960836,4.355702895300749
3.835903385372676e-12,-0.004531934510234159,1205.3451626012127,-1.000003759864519,3.2480212905182446
4.1902034314636685e-12,-0.0035547291153160045,1103.4279517425525,-1.0000032215325974,2.5981448400123077
4.577228108508286e-12,-0.002699688546915822,1010.1282872859473,-1.000002672619489,2.1763550115651604
5e-12,-0.002008320681266572,924.7175179529142,-1.000002171820737,1.8844001632211358
