label,profile,normalization,params_repr,calibration_mode,a_core,rho_f,v_ref,scale,I_chi,K_chi,c_chi,c_over_v_ref,J_numeric,J_analytic_disk,J_rel_error,Kgeom,Kgeom_over_J,Egeom,energy_per_length,gamma_boundary,gamma_ref,gamma_boundary_over_ref,boundary_over_v,center_over_v,max_over_v,boundary_log_slope,axis_regular,boundary_matches,exterior_slope_matches,finite_energy,r2_rms_matches_ref,admissibility_score,n_radial
uniform boundary,uniform,boundary,{},0,1.408970162243403e-15,7e-07,1093845.6318215313,1.0,4.333363307626896e-66,5.184861684628808e-54,1093845.6318215313,1.0,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,6.190519010895566e-60,1.0,6.23668005380756e-30,2.6117619050488584e-24,9.683619166304757e-09,9.683619166304757e-09,1.0,1.0,1.0,1.0,0.0,0,1,0,1,1,2,200000
solid-body boundary,solid_body,boundary,{},0,1.408970162243403e-15,7e-07,1093845.6318215313,1.0,4.333363307626896e-66,3.456574456354388e-54,893121.2184366346,0.8164965809200705,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,4.1270126738529876e-60,0.6666666666541654,3.1183400268648065e-30,1.305880952508108e-24,9.683619166304757e-09,9.683619166304757e-09,1.0,1.0,0.0,0.9999975000000001,1.0,1,1,0,1,0,3,200000
"regularized 1/r boundary, eps=0.05",irrotational_reg,boundary,eps=0.05,0,1.408970162243403e-15,7e-07,1093845.6318215313,1.0012492197250393,4.333363307626896e-66,1.0239869899807351e-53,1537215.1946072292,1.4053310173642826,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,1.222599813448888e-59,1.9749552683661298,3.7475875731389973e-29,1.5693937118649165e-23,9.683619166304757e-09,9.683619166304757e-09,1.0,1.0,20.024984394500787,20.024984369469554,-0.9975062344139652,0,1,1,1,0,3,200000
"Gaussian core max, sigma=0.35",gaussian_core,max,sigma=0.35,0,1.408970162243403e-15,7e-07,1093845.6318215313,1.0000000000255103,4.333363307626896e-66,1.5520437843029242e-55,189251.5449789063,0.17301485645991413,6.190519010895566e-60,6.190519010972934e-60,-1.2497780588205387e-11,1.853078661857765e-61,0.029934140555844688,7.637756216571023e-31,3.198496724922072e-25,1.6345836967239569e-10,9.683619166304757e-09,0.01687988414922052,0.01687988414922052,1.0000000000255103,1.0,-8.163265306122451,0,0,0,1,0,1,200000
