selected_normalizer,run_id,n_center,n_theta,n_sphere,tube_fraction,outer_factor,L_cert_target,leading_half_alpha_inv_cert,DeltaF_pair_raw,normalizer_denominator,DeltaF_phys_cert_normalized,finite_correction_half_cert,alpha_inv_pred_blind_v13,correction_to_leading_ratio,gate
M_Lcert2,g001_nc12_nt4_ns24_tf0p32_of2p6,12,4,24,0.32,2.6,16.371637,137.15470540383689,417.9921983978666,19030.1653622436,0.021964717092116042,0.010982358546058021,137.16568776238293,8.007277995838115e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g002_nc12_nt4_ns24_tf0p32_of3p2,12,4,24,0.32,3.2,16.371637,137.15470540383689,150.64678635785256,19030.1653622436,0.007916210053368226,0.003958105026684113,137.15866350886358,2.8858689281056088e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g003_nc12_nt4_ns24_tf0p28_of2p6,12,4,24,0.28,2.6,16.371637,137.15470540383689,1426.2969343694922,19030.1653622436,0.0749492664524769,0.03747463322623845,137.1921800370631,0.00027322892871884004,PASS_SUBLEADING_CORRECTION
M_Lcert2,g004_nc12_nt4_ns24_tf0p28_of3p2,12,4,24,0.28,3.2,16.371637,137.15470540383689,845.5523069350704,19030.1653622436,0.044432210169474975,0.022216105084737488,137.17692150892162,0.0001619784390139924,PASS_SUBLEADING_CORRECTION
M_Lcert2,g005_nc12_nt4_ns36_tf0p32_of2p6,12,4,36,0.32,2.6,16.371637,137.15470540383689,690.4668945297174,22246.531338960827,0.031037058497316743,0.015518529248658371,137.17022393308554,0.00011314616733684619,PASS_SUBLEADING_CORRECTION
M_Lcert2,g006_nc12_nt4_ns36_tf0p32_of3p2,12,4,36,0.32,3.2,16.371637,137.15470540383689,354.8787530092567,22246.531338960827,0.0159520937265285,0.00797604686326425,137.16268145070015,5.8153650943142356e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g007_nc12_nt4_ns36_tf0p28_of2p6,12,4,36,0.28,2.6,16.371637,137.15470540383689,2110.6998332164394,22246.531338960827,0.09487770480065472,0.04743885240032736,137.2021442562372,0.00034587841708127255,PASS_SUBLEADING_CORRECTION
M_Lcert2,g008_nc12_nt4_ns36_tf0p28_of3p2,12,4,36,0.28,3.2,16.371637,137.15470540383689,1332.0986492747006,22246.531338960827,0.05987893703418688,0.02993946851709344,137.18464487235397,0.00021828976577172458,PASS_SUBLEADING_CORRECTION
M_Lcert2,g009_nc12_nt5_ns24_tf0p32_of2p6,12,5,24,0.32,2.6,16.371637,137.15470540383689,-384.4336360536057,22246.531338960827,-0.01728061018574787,-0.008640305092873935,137.146065098744,6.29967821186558e-05,PASS_SUBLEADING_CORRECTION
M_Lcert2,g010_nc12_nt5_ns24_tf0p32_of3p2,12,5,24,0.32,3.2,16.371637,137.15470540383689,-357.55904271042846,22246.531338960827,-0.0160725749674165,-0.00803628748370825,137.14666911635317,5.8592867521725115e-05,PASS_SUBLEADING_CORRECTION
