normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,4.728962024620686e-10,4.728962024620686e-10,1.72395179979308e-12,PASS_SUBLEADING_CORRECTION
Mmax,M_max,195.0,4.728962024620686e-10,2.4251087305747107e-12,8.840778460477334e-15,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),13.96424004376894,4.728962024620686e-10,3.386480044598504e-11,1.234547525958875e-13,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,4.728962024620686e-10,2.8885089649988488e-11,1.0530112534214386e-13,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,4.728962024620686e-10,1.7643372895446245e-12,6.431924024588614e-15,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,4.728962024620686e-10,1.0776792140850817e-13,3.9286993869877603e-16,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,4.728962024620686e-10,2.822391307170898e-11,1.0289079397096434e-13,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,4.728962024620686e-10,1.72395179979308e-12,6.284697979253043e-15,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,4.728962024620686e-10,1.72395179979308e-12,6.284697979253043e-15,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,4.728962024620686e-10,3.44790359958616e-12,1.2569395958506085e-14,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,3192.469215,4.728962024620686e-10,1.4812866487173584e-13,5.400057709853532e-16,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,228.6174689774492,4.728962024620686e-10,2.0685042336319233e-12,7.540770211059988e-15,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,52265.94712165496,4.728962024620686e-10,9.047883536126279e-15,3.2984225767121093e-17,PASS_SUBLEADING_CORRECTION
