normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,662.0895541504128,662.0895541504128,2.413659641501045,FAIL_NOT_SUBLEADING
Mmax,M_max,639.0,662.0895541504128,1.0361338875593316,0.0037772451353693982,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),25.278449319529077,662.0895541504128,26.191857964915197,0.09548289972187306,FAIL_NOT_SUBLEADING
Lcert,certified length,16.371637,662.0895541504128,40.441255456031236,0.14742934023647394,FAIL_NOT_SUBLEADING
Lcert2,certified length squared,268.030498059769,662.0895541504128,2.470202305122648,0.009005167915491524,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,662.0895541504128,0.1508830366274703,0.0005500468838572174,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,662.0895541504128,39.51555949220524,0.14405469858236375,FAIL_NOT_SUBLEADING
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,662.0895541504128,2.413659641501045,0.008799040595779382,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,662.0895541504128,2.413659641501045,0.008799040595779382,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,662.0895541504128,4.82731928300209,0.017598081191558763,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,10461.476043,662.0895541504128,0.0632883496964495,0.0002307188423106008,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,413.84959618222706,662.0895541504128,1.5998313403183322,0.005832214562408944,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,171271.4882601924,662.0895541504128,0.003865731306921202,1.4092594546935093e-05,PASS_SUBLEADING_CORRECTION
