status,fit_model,M_min,M_max,n_points,n_params,rms,A_M,A_M_se,A_sqrtM,A_sqrtM_se,A_logM,A_logM_se,F,F_se,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se,knot,reference,DeltaF_pair,half_DeltaF_pair,max_common_modes,status_note
PASS_FIT,hk+inv_sqrt+inv,11,41,31,6,0.0016211102018581017,0.461672792122639,0.22424239721982261,-16.335567357159977,8.462652122230162,53.249015353367106,29.596012161014066,-156.07178885010515,90.81058896045131,307.0786227957908,181.8564034538238,-166.08373465602588,103.52742762580401,3_1,0_1,-156.07178885010515,-78.03589442505258,41,DIRECT_PAIR_SUBTRACTED_FIT_NO_SEPARATE_FK_MINUS_FREF
PASS_FIT,hk+inv_sqrt+inv,11,41,31,6,0.002371239429665366,1.203532400383018,0.32800510013499373,-44.63791760546641,12.378538096159573,152.14730188972996,43.29084532107283,-458.24741141610554,132.83097529541365,908.3808588083729,266.0060210049715,-502.20201523578294,151.43222105243524,4_1,0_1,-458.24741141610554,-229.12370570805277,41,DIRECT_PAIR_SUBTRACTED_FIT_NO_SEPARATE_FK_MINUS_FREF
