n_gears,signs,cycle_sign_product,rank,null_dim,collective_mode_exists,collective_basis_theta,helix_ratio,psi_center_turns,selected_n_core,exact_holonomy_chi,audit_status
3,s12=-1;s13=-1;s23=-1,-1,3,0,NO,"0,0,0",1,,,NO,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION
3,s12=-1;s13=-1;s23=+1,1,2,1,YES,"1,-1,-1",1,1,1,YES,FULLY_LOCKED_ATTACHMENT_ANALOG
3,s12=-1;s13=+1;s23=-1,1,2,1,YES,"1,-1,1",1,1,1,YES,FULLY_LOCKED_ATTACHMENT_ANALOG
3,s12=-1;s13=+1;s23=+1,-1,3,0,NO,"0,0,0",1,,,NO,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION
3,s12=+1;s13=-1;s23=-1,1,2,1,YES,"1,1,-1",1,1,1,YES,FULLY_LOCKED_ATTACHMENT_ANALOG
3,s12=+1;s13=-1;s23=+1,-1,3,0,NO,"0,0,0",1,,,NO,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION
3,s12=+1;s13=+1;s23=-1,-1,3,0,NO,"0,0,0",1,,,NO,FRUSTRATED_OR_OVERCONSTRAINED_NO_COLLECTIVE_ROTATION
3,s12=+1;s13=+1;s23=+1,1,2,1,YES,"1,1,1",1,1,1,YES,FULLY_LOCKED_ATTACHMENT_ANALOG
