q_m_inv,power
-5.8760381091914016e+16,5.7283628442763609e-08
-5.8731689499583984e+16,5.4174471633770294e-08
-5.8702997907253936e+16,4.6779527488748490e-08
-5.8674306314923904e+16,2.7847590528244088e-08
-5.8645614722593864e+16,2.7221609577610304e-08
-5.8616923130263832e+16,3.0531884542532704e-08
-5.8588231537933800e+16,4.2724108483078243e-08
-5.8559539945603760e+16,5.7935719823115619e-08
-5.8530848353273728e+16,5.1324060613797438e-08
-5.8502156760943696e+16,4.7925961874321992e-08
-5.8473465168613648e+16,3.4790600313398910e-08
-5.8444773576283616e+16,2.4653418157307670e-08
-5.8416081983953576e+16,3.2597431337519322e-08
-5.8387390391623544e+16,3.5910511126099723e-08
-5.8358698799293512e+16,5.2683099843764960e-08
-5.8330007206963472e+16,5.4971376283367187e-08
-5.8301315614633440e+16,4.4054752971396383e-08
-5.8272624022303408e+16,4.1209254774000109e-08
-5.8243932429973360e+16,2.5681572519168973e-08
-5.8215240837643328e+16,2.9716104059369462e-08
-5.8186549245313288e+16,3.7071907426173354e-08
-5.8157857652983256e+16,4.2623432448806604e-08
-5.8129166060653224e+16,5.8166624584066096e-08
-5.8100474468323184e+16,4.5850503335122168e-08
-5.8071782875993152e+16,4.0567195281064254e-08
-5.8043091283663104e+16,3.3621850265128724e-08
-5.8014399691333072e+16,2.3971300234158205e-08
-5.7985708099003040e+16,3.7976027130490105e-08
-5.7957016506673000e+16,3.7878054903200060e-08
-5.7928324914342968e+16,5.0884147663297642e-08
-5.7899633322012936e+16,5.3647701965231464e-08
-5.7870941729682888e+16,3.7608357484129350e-08
-5.7842250137352864e+16,3.9510769484771856e-08
-5.7813558545022816e+16,2.5973456664783280e-08
-5.7784866952692784e+16,3.1613714852351020e-08
-5.7756175360362752e+16,4.0711922970520440e-08
-5.7727483768032712e+16,4.0101775513461653e-08
-5.7698792175702680e+16,5.5744855826306161e-08
-5.7670100583372648e+16,4.2035680596183641e-08
-5.7641408991042600e+16,3.7609129636437085e-08
-5.7612717398712568e+16,3.5237086418395717e-08
-5.7584025806382528e+16,2.5505849024812442e-08
-5.7555334214052496e+16,4.0920613320716623e-08
-5.7526642621722464e+16,3.7450641545341534e-08
-5.7497951029392424e+16,4.6780409433859342e-08
-5.7469259437062392e+16,4.9629201566457315e-08
-5.7440567844732344e+16,3.4353652606412135e-08
-5.7411876252402312e+16,4.0133144471050823e-08
-5.7383184660072280e+16,2.8519369880917872e-08
-5.7354493067742240e+16,3.4526488734486830e-08
-5.7325801475412208e+16,4.1885920529208434e-08
-5.7297109883082176e+16,3.7382221814016342e-08
-5.7268418290752136e+16,5.0721877939797593e-08
-5.7239726698422104e+16,3.7810670811009497e-08
-5.7211035106092056e+16,3.6872216431261263e-08
-5.7182343513762024e+16,3.7086851275472428e-08
-5.7153651921431992e+16,2.9054413618611398e-08
-5.7124960329101952e+16,4.3488075400584194e-08
-5.7096268736771920e+16,3.7104644276693853e-08
-5.7067577144441888e+16,4.3296128877358977e-08
-5.7038885552111848e+16,4.4715672504126465e-08
-5.7010193959781816e+16,3.2219054690861952e-08
-5.6981502367451768e+16,4.0372107237752133e-08
-5.6952810775121736e+16,3.1072913190068382e-08
-5.6924119182791704e+16,3.7648334480911917e-08
-5.6895427590461664e+16,4.3192983845367713e-08
-5.6866735998131632e+16,3.6483454695852272e-08
-5.6838044405801584e+16,4.6957000578945214e-08
-5.6809352813471552e+16,3.5445389568830467e-08
-5.6780661221141528e+16,3.5886871797049352e-08
-5.6751969628811480e+16,3.7970282794157550e-08
-5.6723278036481448e+16,3.1479122344712094e-08
-5.6694586444151416e+16,4.4353220830123719e-08
-5.6665894851821376e+16,3.8271509577034928e-08
-5.6637203259491344e+16,4.1441773976681834e-08
-5.6608511667161296e+16,4.3359613460644659e-08
-5.6579820074831264e+16,3.2417176881399028e-08
-5.6551128482501232e+16,3.9508923861462179e-08
-5.6522436890171200e+16,3.3073395436241024e-08
-5.6493745297841160e+16,3.6664880031371353e-08
-5.6465053705511120e+16,4.2898405202813593e-08
-5.6436362113181088e+16,3.6914997548845492e-08
-5.6407670520851048e+16,4.5237274147967059e-08
-5.6378978928521016e+16,3.8550381503795765e-08
-5.6350287336190976e+16,3.6093648018392056e-08
-5.6321595743860944e+16,3.8838107138791237e-08
-5.6292904151530904e+16,3.1757427832397381e-08
-5.6264212559200872e+16,3.9712130935569046e-08
-5.6235520966870832e+16,3.8713483936043725e-08
-5.6206829374540800e+16,4.0041133894060276e-08
-5.6178137782210760e+16,4.5684688097218049e-08
-5.6149446189880728e+16,3.7750977258580260e-08
-5.6120754597550688e+16,3.9723996870821197e-08
-5.6092063005220656e+16,3.5495180087844767e-08
-5.6063371412890616e+16,3.2209615120938142e-08
-5.6034679820560584e+16,3.8482680689913873e-08
-5.6005988228230544e+16,3.6763778753217695e-08
-5.5977296635900512e+16,4.4317056397631806e-08
-5.5948605043570472e+16,4.5436014833575700e-08
-5.5919913451240432e+16,4.0173542178463667e-08
-5.5891221858910400e+16,4.0865002766419150e-08
-5.5862530266580368e+16,3.2157964170602048e-08
-5.5833838674250328e+16,3.3248733791566146e-08
-5.5805147081920288e+16,3.6438524858883931e-08
-5.5776455489590256e+16,3.8827508027269469e-08
-5.5747763897260224e+16,4.8474271126124666e-08
-5.5719072304930184e+16,4.4665467049167354e-08
-5.5690380712600144e+16,4.2988458506458920e-08
-5.5661689120270112e+16,3.7979384195880759e-08
-5.5632997527940072e+16,2.9920764742019978e-08
-5.5604305935610040e+16,3.4446275491433515e-08
-5.5575614343280000e+16,3.4963525729196019e-08
-5.5546922750949968e+16,4.4713211051607430e-08
-5.5518231158619928e+16,4.8974111791469020e-08
-5.5489539566289896e+16,4.4244308848770206e-08
-5.5460847973959856e+16,4.4224456018348030e-08
-5.5432156381629824e+16,3.2288545771358179e-08
-5.5403464789299784e+16,3.2791633984963970e-08
-5.5374773196969752e+16,3.4511096920943985e-08
-5.5346081604639712e+16,3.8414510476066629e-08
-5.5317390012309672e+16,5.0624890604448657e-08
-5.5288698419979640e+16,4.4083817243634533e-08
-5.5260006827649608e+16,4.6452589597153414e-08
-5.5231315235319568e+16,3.8591951197594039e-08
-5.5202623642989528e+16,3.0402600941870736e-08
-5.5173932050659496e+16,3.8060867316515513e-08
-5.5145240458329464e+16,3.3273698514059915e-08
-5.5116548865999424e+16,4.8409524066644382e-08
-5.5087857273669384e+16,4.7367321124036616e-08
-5.5059165681339352e+16,4.1069999706535545e-08
-5.5030474089009320e+16,4.6757131216167181e-08
-5.5001782496679280e+16,2.9092426222105462e-08
-5.4973090904349240e+16,3.9377265562261858e-08
-5.4944399312019208e+16,3.8339231822343711e-08
-5.4915707719689176e+16,3.9998271429010987e-08
-5.4887016127359136e+16,5.6458043946727156e-08
-5.4858324535029096e+16,3.6636954077964437e-08
-5.4829632942699064e+16,4.5302747943436137e-08
-5.4800941350369032e+16,3.6096099520601540e-08
-5.4772249758038992e+16,2.9949530966509561e-08
-5.4743558165708952e+16,4.9464393218921682e-08
-5.4714866573378912e+16,3.5115847275351878e-08
-5.4686174981048888e+16,5.7090267398350707e-08
-5.4657483388718848e+16,4.9308049782859176e-08
-5.4628791796388808e+16,3.2991938029291381e-08
-5.4600100204058768e+16,4.5880371081239579e-08
-5.4571408611728736e+16,2.2738726561493857e-08
-5.4542717019398704e+16,4.6590841866126363e-08
-5.4514025427068664e+16,4.7118036473707514e-08
-5.4485333834738624e+16,4.4981267891691337e-08
-5.4456642242408592e+16,6.9357917462928025e-08
-5.4427950650078560e+16,3.3425497375822933e-08
-5.4399259057748520e+16,4.1019872943179722e-08
-5.4370567465418480e+16,3.1906121526219870e-08
-5.4341875873088448e+16,2.6834812357699388e-08
-5.4313184280758416e+16,5.9309744171692881e-08
-5.4284492688428376e+16,3.9827421590144519e-08
-5.4255801096098336e+16,6.8987075184950215e-08
-5.4227109503768304e+16,5.9029471700539870e-08
-5.4198417911438272e+16,2.9036447636630830e-08
-5.4169726319108232e+16,4.4011855209044774e-08
-5.4141034726778192e+16,1.7089461090376231e-08
-5.4112343134448160e+16,4.8052843059624184e-08
-5.4083651542118128e+16,5.2801114807791493e-08
-5.4054959949788088e+16,5.0697262476301785e-08
-5.4026268357458048e+16,8.3165818291824271e-08
-5.3997576765128016e+16,3.7609369873025991e-08
-5.3968885172797984e+16,4.0195051376933893e-08
-5.3940193580467944e+16,3.0814226815455651e-08
-5.3911501988137904e+16,2.2993534141119889e-08
-5.3882810395807872e+16,6.1080927715766282e-08
-5.3854118803477840e+16,4.1715029120388177e-08
-5.3825427211147800e+16,7.5704615106181782e-08
-5.3796735618817760e+16,6.7760684913404741e-08
-5.3768044026487728e+16,3.1020549668622426e-08
-5.3739352434157696e+16,4.7023463700521515e-08
-5.3710660841827656e+16,1.6677118964628982e-08
-5.3681969249497616e+16,4.5663376634482904e-08
