counterterm_model,status,n_points,M_min,M_max,rms,S_ren,S_ren_se,alpha_inv_half_RT_only,a_M,a_M_se,a_sqrtM,a_sqrtM_se,a_logM,a_logM_se,soft_action,S_total_soft_plus_RT,alpha_inv_pred_blind_with_soft,knot,reference,target_selected,counterterm_tail_frac,max_common_modes,soft_index_count,soft_volume_mode,soft_volume_value,b_inv_sqrt,b_inv_sqrt_se,b_inv,b_inv_se
hk,PASS_FIT,34,12,45,0.12900435776791927,1.2391454065365555,1.3036468089808242,0.6195727032682777,-1.8751384721831967,0.25043502302555865,34.534554904118465,5.038650477381889,-38.94066622202166,6.215290594047832,16.755160819145562,17.994306225682116,8.997153112841058,3_1,0_1,True,0.75,45,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,34,12,45,0.07058117800583232,1426.6773725804824,173.01548835309595,713.3386862902412,-10.822665099173342,1.0949199674046266,302.50325955886143,32.6455990730645,-696.9385292974669,79.93999371456572,16.755160819145562,1443.432533399628,721.716266699814,3_1,0_1,True,0.75,45,4,unit_ball,4.1887902047863905,-2118.5070057797634,257.13587244764,,
hk+inv_sqrt+inv,PASS_FIT,34,12,45,0.03414992801270143,18975.220016809984,1835.4754163118823,9487.610008404992,-48.953903877089715,4.02032177415384,1814.298413535844,158.77039921780354,-6245.231753628898,581.0286120973183,16.755160819145562,18991.97517762913,9495.987588814565,3_1,0_1,True,0.75,45,4,unit_ball,4.1887902047863905,-37852.95843067469,3735.733686822957,21297.528196661504,2225.196707565749
hk,PASS_FIT,34,12,45,0.12718006068137142,1.3928205462378314,1.2852114699220492,0.6964102731189157,-1.8573951325297688,0.24689353116605897,34.25872493393848,4.967397106216264,-38.71807384968959,6.127397931203311,16.755160819145562,18.147981365383394,9.073990682691697,4_1,0_1,False,0.75,45,4,unit_ball,4.1887902047863905,,,,
hk+inv_sqrt,PASS_FIT,34,12,45,0.07047751685707429,1398.8846577699255,172.76138400428314,699.4423288849628,-10.62950127237334,1.0933118805913138,296.9737765211653,32.597653141905234,-683.8155779215742,79.82258746244172,16.755160819145562,1415.6398185890712,707.8199092945356,4_1,0_1,False,0.75,45,4,unit_ball,4.1887902047863905,-2076.9726749562856,256.7582221918931,,
hk+inv_sqrt+inv,PASS_FIT,34,12,45,0.0335836165267178,19001.92705878661,1805.037553892043,9500.963529393304,-48.879162604317116,3.9536523979488116,1813.464047914688,156.13749467177323,-6249.339898728673,571.3933596717945,16.755160819145562,19018.682219605755,9509.341109802877,4_1,0_1,False,0.75,45,4,unit_ball,4.1887902047863905,-37922.40305411901,3673.783661785218,21363.671017203247,2188.2960601149325
