normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,189.96554155144545,189.96554155144545,0.6925228740498289,FAIL_NOT_SUBLEADING
Mmax,M_max,319.0,189.96554155144545,0.5955032650515532,0.0021709181004696833,PASS_SUBLEADING_CORRECTION
sqrtM,sqrt(M_max),17.86057109949175,189.96554155144545,10.636028405432748,0.038773837084612364,PASS_SUBLEADING_CORRECTION
Lcert,certified length,16.371637,189.96554155144545,11.60333212564177,0.042300160579533314,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,268.030498059769,189.96554155144545,0.708745993185762,0.0025837465477357765,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,4388.098019163743,189.96554155144545,0.043291088923225085,0.00015781846053243033,PASS_SUBLEADING_CORRECTION
NsoftV,N_soft V_soft,16.755160819145562,189.96554155144545,11.337733108140519,0.04133191447846363,PASS_SUBLEADING_CORRECTION
NsoftV_Lcert,N_soft V_soft L_cert,274.30941080767377,189.96554155144545,0.6925228740498289,0.0025246048686801224,PASS_SUBLEADING_CORRECTION
leading_full_cert,full leading bracket term NsoftV L_cert,274.30941080767377,189.96554155144545,0.6925228740498289,0.0025246048686801224,PASS_SUBLEADING_CORRECTION
leading_half_cert,half leading term,137.15470540383689,189.96554155144545,1.3850457480996579,0.005049209737360245,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,5222.552203,189.96554155144545,0.03637408189856354,0.00013260238426185988,PASS_SUBLEADING_CORRECTION
sqrtM_Lcert,sqrt(M_max) L_cert,292.40678665356984,189.96554155144545,0.64966187592803,0.0023683543120710747,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,85501.72888106632,189.96554155144545,0.002221774273309599,8.099518958419364e-06,PASS_SUBLEADING_CORRECTION
