ratio_R_over_r,R_t,r_t,N,L_K_dimless,d_min_dimless,xi,Gamma_0,lam_K,p_exp,A_K,A_K_spread,A_K_global,a_K,A_over_Areq,L_natural_m,L_K_phys_m,d_min_phys_m,a0_m,a_star_m,is_minimum,d2E,a_star_over_rc,chi_eff,chi_eff_over_chireq,gamma_required_for_rc,gamma_required_ratio_vs_canonical,barrier_shift_frac,A_method,a_scan_min,a_scan_max
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,0.8,7.746895362791101e-09,0.01,2,0.07958291953669067,,0.07958291953669067,-0.2368303621975342,1.00006846147078,7.08225653631866e-15,2.1266980939569727e-13,7.561900858053964e-15,1.1272147194076916e-15,1.0994228679848348e-15,True,1.2259533311352134e-06,0.7803024445754126,0.1552362389510833,0.975378055719266,9.928067529003362e-09,1.0252434880366232,-0.02465533047462365,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,0.8,9.683619203488876e-09,0.01,2,0.07958291953669067,,0.07958291953669067,-0.2368303621975342,1.00006846147078,8.852820670398324e-15,2.6583726174462157e-13,9.452376072567455e-15,1.4090183992596143e-15,1.3742785849810429e-15,True,1.532441663923027e-06,0.9753780557192654,0.1552362389510832,0.9753780557192654,9.928067529003367e-09,1.0252434880366237,-0.024655330474623982,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,0.8,1.1620343044186651e-08,0.01,2,0.07958291953669067,,0.07958291953669067,-0.2368303621975342,1.00006846147078,1.0623384804477989e-14,3.190047140935459e-13,1.1342851287080945e-14,1.690822079111537e-15,1.6491343019772458e-15,True,1.8389299966912444e-06,1.1704536668631145,0.15523623895108268,0.9753780557192621,9.928067529003402e-09,1.0252434880366272,-0.0246553304746272,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.0,7.746895362791101e-09,0.01,2,0.07861882200257565,,0.07861882200257565,-0.2497310220605376,0.987953254548701,7.08225653631866e-15,2.1266980939569727e-13,7.561900858053964e-15,1.1203661623575909e-15,1.0994228679848348e-15,True,1.2188272509819924e-06,0.7803024445754126,0.1552362389510833,0.975378055719266,9.928067529003362e-09,1.0252434880366232,-0.018693258576004346,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.0,9.683619203488876e-09,0.01,2,0.07861882200257565,,0.07861882200257565,-0.2497310220605376,0.987953254548701,8.852820670398324e-15,2.6583726174462157e-13,9.452376072567455e-15,1.4004577029469886e-15,1.3742785849810429e-15,True,1.5235340638191744e-06,0.9753780557192654,0.1552362389510832,0.9753780557192654,9.928067529003367e-09,1.0252434880366237,-0.01869325857600479,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.0,1.1620343044186651e-08,0.01,2,0.07861882200257565,,0.07861882200257565,-0.2497310220605376,0.987953254548701,1.0623384804477989e-14,3.190047140935459e-13,1.1342851287080945e-14,1.6805492435363861e-15,1.6491343019772458e-15,True,1.8282408764685407e-06,1.1704536668631145,0.15523623895108268,0.9753780557192621,9.928067529003402e-09,1.0252434880366272,-0.01869325857600801,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.2,7.746895362791101e-09,0.01,2,0.0793283575985911,,0.0793283575985911,-0.2673622688696705,0.9968695418123112,7.08225653631866e-15,2.1266980939569727e-13,7.561900858053964e-15,1.1254104641944612e-15,1.0994228679848348e-15,True,1.224071748916904e-06,0.7803024445754126,0.1552362389510833,0.975378055719266,9.928067529003362e-09,1.0252434880366232,-0.023091660364316646,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.2,9.683619203488876e-09,0.01,2,0.0793283575985911,,0.0793283575985911,-0.2673622688696705,0.9968695418123112,8.852820670398324e-15,2.6583726174462157e-13,9.452376072567455e-15,1.4067630802430765e-15,1.3742785849810429e-15,True,1.5300896862014613e-06,0.9753780557192654,0.1552362389510832,0.9753780557192654,9.928067529003367e-09,1.0252434880366237,-0.02309166036431709,global-fit-fallback,0.14721371700567357,0.37370367576301006
1.8,1.8,1.0,600,30.028537981517758,1.0677247878943146,1.2,1.1620343044186651e-08,0.01,2,0.0793283575985911,,0.0793283575985911,-0.2673622688696705,0.9968695418123112,1.0623384804477989e-14,3.190047140935459e-13,1.1342851287080945e-14,1.6881156962916918e-15,1.6491343019772458e-15,True,1.8361076233067567e-06,1.1704536668631145,0.15523623895108268,0.9753780557192621,9.928067529003402e-09,1.0252434880366272,-0.02309166036432042,global-fit-fallback,0.14721371700567357,0.37370367576301006
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,0.8,7.746895362791101e-09,0.01,2,0.07868830446273826,,0.07868830446273826,-0.22663688844143928,0.9888263968943019,7.08225653631866e-15,2.2590492083361454e-13,8.056970978308103e-15,1.1208611367354822e-15,1.0969410778014526e-15,True,1.2794450170502573e-06,0.7785410231938782,0.15488581530140957,0.9731762789923477,9.950529428764488e-09,1.0275630649725929,-0.021340787141301942,global-fit-fallback,0.15707348602368143,0.3981696833412976
