ratio_R_over_r,R_t,r_t,N,L_K_dimless,d_min_dimless,xi,Gamma_0,lam_K,p_exp,A_K,A_K_spread,A_K_global,a_K,A_over_Areq,L_natural_m,L_K_phys_m,d_min_phys_m,a0_m,a_star_m,is_minimum,d2E,a_star_over_rc,chi_eff,chi_eff_over_chireq,gamma_required_for_rc,gamma_required_ratio_vs_canonical,barrier_shift_frac,A_method,a_scan_min,a_scan_max
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.0,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.4169497735501187e-15,True,1.4694419722617964e-06,1.0056634297304667,0.16005630592835274,1.0056634297304667,9.629085554084666e-09,0.9943684640775049,0.011348643321775986,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.0,4,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.4169497735501187e-15,True,1.4694419722617964e-06,1.0056634297304667,0.16005630592835274,1.0056634297304667,9.629085554084666e-09,0.9943684640775049,0.011348643321775986,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.005,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.371176347251815e-15,True,1.5590142519245114e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.021322163682902406,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.005,4,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.4169497735501187e-15,True,1.4993890992513233e-06,1.0056634297304667,0.16005630592835274,1.0056634297304667,9.629085554084666e-09,0.9943684640775049,0.011348643321775986,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.01,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.371176347251815e-15,True,1.5992767469067075e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.021322163682902406,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.01,4,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.371176347251815e-15,True,1.5704989437227886e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.021322163682902406,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.05,2,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.2425385849607697e-15,True,2.0268098774779197e-06,0.8818771407777708,0.1403551061545295,0.8818771407777709,1.0980689662676158e-08,1.1339448022408776,-0.11313743392148168,global-fit-fallback,0.15707348602368143,0.3981696833412976
2.0,2.0,1.0,600,31.897308389656185,1.1376276666894218,1.0,9.683619203488876e-09,0.05,4,0.07868530973992514,,0.07868530973992514,-0.24405303852034954,0.9887887640975449,8.852820670398324e-15,2.8238115104201817e-13,1.0071213722885129e-14,1.401049759552893e-15,1.371176347251815e-15,True,1.7774876908446817e-06,0.9731762789923473,0.1548858153014095,0.9731762789923473,9.950529428764494e-09,1.0275630649725935,-0.021322163682902406,global-fit-fallback,0.15707348602368143,0.3981696833412976
