ell,q_edge_m_inv,x1_m,f_edge_hz,n_line_m_inv,m2_line_m_inv3,q2_mean_m_inv2,barrier_qcrit,m2_line_ratio,spectral_power_fraction,classification
1.0,28691592330036.14,1.0949523530978721e-13,4.994946249968133e+18,9132817489005.525,2.5060678610167995e+39,2.7440249014432957e+26,0.0005447429837491362,nan,0.24906399698093298,allowed
2.0,57383184660072.28,5.4747617654893606e-14,9.989892499936266e+18,9132817489005.525,1.0024271444067198e+40,1.0976099605773183e+27,0.0021789719349965446,nan,0.43751932959460943,allowed
4.0,114766369320144.56,2.7373808827446803e-14,1.9979784999872532e+19,9132817489005.525,4.009708577626879e+40,4.390439842309273e+27,0.008715887739986179,nan,0.6250615798966592,allowed
8.0,229532738640289.12,1.3686904413723401e-14,3.9959569999745065e+19,9132817489005.525,1.6038834310507517e+41,1.7561759369237093e+28,0.034863550959944714,nan,0.7370191012696716,allowed
13.0,372990700290469.8,8.422710408445171e-15,6.4934301249585725e+19,9132817489005.525,4.235254685118391e+41,4.63740208343917e+28,0.09206156425360403,nan,0.8230324607664179,allowed
21.0,602523438930759.0,5.214058824275581e-15,1.048938712493308e+20,9132817489005.525,1.1051759267084086e+42,1.2101149815364934e+29,0.24023165583336906,nan,0.8707984981325845,allowed
28.0,803364585241012.0,3.9105441182066855e-15,1.3985849499910775e+20,9132817489005.525,1.9647572030371707e+42,2.1513155227315436e+29,0.42707849925932273,nan,0.8937377119323311,allowed
34.0,975514139221228.8,3.2204480973466826e-15,1.698281724989165e+20,9132817489005.525,2.89701444733542e+42,3.17209278606845e+29,0.6297228892140014,nan,0.9062629677441705,allowed
55.0,1578037578151987.8,1.990822460177949e-15,2.747220437482473e+20,9132817489005.525,7.580855279575819e+42,8.30067532686597e+29,1.647847525841137,nan,0.9312253062980108,suppressed
89.0,2553551717373216.5,1.2302835428065978e-15,4.445502162471639e+20,9132817489005.525,1.9850563527114068e+43,2.1735421244332346e+30,4.314909174276908,nan,0.9478833958863693,suppressed
