channel,E_minus,E_0,E_plus,b_minus,b_0,b_plus,hessian,linear_slope,status_minus,status_0,status_plus
scalar,7.367560090598746,7.367560090598082,7.3675600906617165,1.0328235282441725,1.0171717816054788,1.0017587121438838,2.7574458096882575e-07,2.061846373683457e-09,relaxed,relaxed,relaxed
perp,7.36918570592775,7.367560090598082,7.36918570592775,1.017317283322007,1.0171717816054788,1.0173172833222126,13.94286356688732,0.0,relaxed,relaxed,relaxed
