phi,A_phase,A_phase_minus_A0
-0.001,6.851797654476803e-05,6.851797654476803e-05
-0.0009,5.54995610012621e-05,5.54995610012621e-05
-0.0008,4.385150498865154e-05,4.385150498865154e-05
-0.0007,3.357380850693633e-05,3.357380850693633e-05
-0.0006000000000000001,2.4666471556116496e-05,2.4666471556116496e-05
-0.0005,1.7129494136192008e-05,1.7129494136192008e-05
-0.00039999999999999996,1.0962876247162883e-05,1.0962876247162883e-05
-0.00030000000000000003,6.166617889029124e-06,6.166617889029124e-06
-0.00019999999999999998,2.740719061790721e-06,2.740719061790721e-06
-9.999999999999994e-05,6.851797654476795e-07,6.851797654476795e-07
0.0,0.0,0.0
0.00010000000000000005,6.851797654476809e-07,6.851797654476809e-07
0.0002000000000000001,2.7407190617907238e-06,2.7407190617907238e-06
0.00030000000000000014,6.166617889029128e-06,6.166617889029128e-06
0.00039999999999999996,1.0962876247162883e-05,1.0962876247162883e-05
0.0005,1.7129494136192008e-05,1.7129494136192008e-05
0.0006000000000000001,2.4666471556116496e-05,2.4666471556116496e-05
0.0007000000000000001,3.3573808506936346e-05,3.3573808506936346e-05
0.0008000000000000001,4.385150498865155e-05,4.385150498865155e-05
0.0009,5.54995610012621e-05,5.54995610012621e-05
0.001,6.851797654476803e-05,6.851797654476803e-05
