run_id,status,pressure_mode,pressure_scale_mode,pressure_kappa_mode,n_s,n_theta,sphere_n,eps_factor,e_min,e_max,e_count,ropelength_L_over_D,E_p_NLS_or_pressure,kappa_eff,E_star,E_star_minus_Ep,E_star_over_Ep_minus_1,bracket_E_lo,bracket_E_hi,stationary_d2_log,alpha_inv,alpha,alpha_rel_error_vs_CODATA_2022,v_core_pred_m_per_s,run_outdir,action_bem_at_E,action_pressure_at_E,action_total_at_E,d_action_bem_dlogE_at_E,d_action_pressure_dlogE_at_E,d_action_total_dlogE_at_E,d2_action_total_dlogE2_at_E,source,inv_kappa,deltaE_pred_local,deltaE_pred_error
control_logcore_ns140_nt18_sp420_eps0p0600,E0_derived,spherical,nls_shell,nls_log_core,140,18,420,0.06,260.0,290.0,160,16.371637,274.0748756567669,6.074808890807205,274.24107729180247,0.166201635035577,0.0006064095975135,274.1195450381919,274.3078717150775,18.278506513008505,137.11904076466325,0.0072929331653967,-0.0006056167444727,1093183.1798420043,outputs_E0_bem_nls_batch_convergence\batch_runs\control_logcore_ns140_nt18_sp420_eps0p0600,3694.4499737557935,2.0249406330227098,3696.474914388816,-0.0110654321263235,0.0110654318556449,-1.4051260155412137e-15,18.2785065130085,controls,0.16461423198238628,0.16641165116595255,-0.000210016130375551
control_geomean_ns140_nt18_sp420_eps0p0600,E0_derived,spherical,nls_shell,nls_geometric_mean,140,18,420,0.06,260.0,290.0,160,16.371637,274.0748756567669,6.5557693637465215,274.22889292259634,0.1540172658294523,0.000561953245296,274.1195450381919,274.3078717150775,19.72139321594204,137.11294851350723,0.0072932572075896,-0.0005612112987966,1093231.752544753,outputs_E0_bem_nls_batch_convergence\batch_runs\control_geomean_ns140_nt18_sp420_eps0p0600,3694.4499742475273,2.185260691108636,3696.635234938636,-0.0110663595557964,0.0110663591096878,8.260753192601555e-15,19.72139321594206,controls,0.15253739790328977,0.15421587464625983,-0.0001986088168075273
control_shell_half_ns140_nt18_sp420_eps0p0600,E0_derived,spherical,nls_shell,nls_shell_stiffness_half,140,18,420,0.06,260.0,290.0,160,16.371637,274.0748756567669,3368.1705745703343,274.075076527153,0.0002008703860951,7.329033193670398e-07,273.9313476574032,274.1195450381919,10104.573001692015,137.0360394751074,0.0072973504184032,-2.940651045858261e-07,1093845.30941022,outputs_E0_bem_nls_batch_convergence\batch_runs\control_shell_half_ns140_nt18_sp420_eps0p0600,3694.4499804594207,1122.7239546582562,4817.173935117677,-0.0110780755503299,0.011078075240678,-2.5766055955500637e-12,10104.573001692008,controls,0.00029689707746691733,0.0003004818304924335,-9.961144439733351e-05
control_shell_double_ns140_nt18_sp420_eps0p0600,E0_derived,spherical,nls_shell,nls_shell_stiffness_double,140,18,420,0.06,260.0,290.0,160,16.371637,274.0748756567669,13472.682298281336,274.07485104401894,-2.461274794995916e-05,-8.980300691963096e-08,273.9313476574032,274.1195450381919,40418.12961913602,137.0359267323073,0.0072973564221114,5.286590498483721e-07,1093846.209343442,outputs_E0_bem_nls_batch_convergence\batch_runs\control_shell_double_ns140_nt18_sp420_eps0p0600,3694.4499804685374,4490.89582462896,8185.345805097498,-0.0110780927461699,0.0110780930845244,-1.6747492281865558e-11,40418.12961913597,controls,7.422426936672935e-05,7.512057422814181e-05,-9.973332217810097e-05
main_ns100_nt14_sp300_eps0p0400,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.04,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.07482172041506,-5.393635183281731e-05,-1.9679422169627259e-07,273.9313476574032,274.1195450381919,20209.0544464614,137.035912070345,0.0072973572028817,6.356526825661406e-07,1093846.3263779597,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0400,1034.6174509827129,2245.44791270436,3280.065363687073,-0.003378026166653,0.0033780263744187,2.5917046286849654e-12,20209.05444646141,main_batch,0.00014844853873345867,4.5812807531223444e-05,-9.974915936404076e-05
main_ns100_nt14_sp300_eps0p0500,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.05,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748429229396,-3.273382731094898e-05,-1.194338854482169e-07,273.9313476574032,274.1195450381919,20209.06210520809,137.03592267172323,0.0072973566383433,5.582905957025579e-07,1093846.241755779,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0500,1405.4820389140375,2245.4479124224563,3650.929951336494,-0.0049405589165568,0.0049405588625663,7.135625423870806e-12,20209.062105208108,main_batch,0.00014844853873345867,6.700388439120603e-05,-9.973771170215501e-05
main_ns100_nt14_sp300_eps0p0600,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.06,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.07486580655257,-9.850214325979325e-06,-3.593986608319e-08,273.9313476574032,274.1195450381919,20209.07033370164,137.03593411365486,0.0072973560290443,4.747947003218492e-07,1093846.150424159,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0600,1870.4180187444692,2245.447912118201,4115.86593086267,-0.0066269804295195,0.0066269800181402,-9.78772618509538e-13,20209.07033370164,main_batch,0.00014844853873345867,8.98751412667633e-05,-9.972535559274263e-05
main_ns100_nt14_sp300_eps0p0800,E0_derived,spherical,nls_shell,nls_shell_stiffness,100,14,300,0.08,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.074914751732,3.909496507503718e-05,1.426433742235389e-07,273.9313476574032,274.1195450381919,20209.08781194377,137.0359585865122,0.0072973547258305,2.9620749427911815e-07,1093845.9550773236,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns100_nt14_sp300_eps0p0800,3196.61478523502,2245.447911467438,5442.062696702457,-0.0102340230970266,0.0102340229804074,5.810463221678219e-12,20209.087811943784,main_batch,0.00014844853873345867,0.00013879387171198795,-9.969890663695077e-05
main_ns120_nt16_sp360_eps0p0400,E0_derived,spherical,nls_shell,nls_shell_stiffness,120,16,360,0.04,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748411655114,-3.449125551924226e-05,-1.2584610475929736e-07,273.9313476574032,274.1195450381919,20209.06147749806,137.03592179299952,0.0072973566851365,5.647029596079366e-07,1093846.2487699152,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0400,1645.321223278924,2245.4479124458226,3890.7691357247454,-0.0048110445119761,0.0048110441638513,6.954437026251981e-12,20209.06147749808,main_batch,0.00014844853873345867,6.524740939756928e-05,-9.973866491681154e-05
main_ns120_nt16_sp360_eps0p0500,E0_derived,spherical,nls_shell,nls_shell_stiffness,120,16,360,0.05,260.0,290.0,160,16.371637,274.0748756567669,6736.341149140669,274.0748680897919,-7.566975000372622e-06,-2.7609152408736293e-08,273.9313476574032,274.1195450381919,20209.07115760538,137.035935255287,0.0072973559682508,4.664638002246492e-07,1093846.14131144,outputs_E0_bem_nls_batch_convergence\batch_runs\main_ns120_nt16_sp360_eps0p0500,2431.0150698548546,2245.447912087844,4676.462981942699,-0.0067952441349382,0.0067952446574608,1.602273869139026e-12,20209.071157605384,main_batch,0.00014844853873345867,9.215713446946108e-05,-9.97241094698337e-05
