a_core,E_BS,E_BS_over_L,ln_L_over_a
0.0800,3.76852349,0.23024803,5.32101008
0.1200,3.26026699,0.19919474,4.91554497
0.1800,2.75152738,0.16811193,4.51007987
0.2500,2.34245907,0.14311881,4.18157580
0.3500,1.93025256,0.11793395,3.84510356
0.4500,1.62990681,0.09958352,3.59378913
