normalizer,description,denominator,DeltaF_pair_raw,DeltaF_phys_cert_normalized,correction_to_leading_ratio,gate
raw,no correction normalizer,1.0,353.1851437825582,353.1851437825582,0.6866119581921841,FAIL_NOT_SUBLEADING
Mmax,M_max,215.0,353.1851437825582,1.6427215989886428,0.003193543991591554,PASS_SUBLEADING_CORRECTION
Lcert,certified length,30.700289,353.1851437825582,11.504293779858497,0.0223649998275972,PASS_SUBLEADING_CORRECTION
Lcert2,certified length squared,942.5077446835211,353.1851437825582,0.3747291688315538,0.0007284947652315975,PASS_SUBLEADING_CORRECTION
Lcert3,certified length cubed,28935.260146522312,353.1851437825582,0.012206046947361108,2.3729247800618342e-05,PASS_SUBLEADING_CORRECTION
M_Lcert,M_max L_cert,6600.562135,353.1851437825582,0.053508343162132536,0.00010402325501207998,PASS_SUBLEADING_CORRECTION
M_Lcert2,M_max L_cert^2,202639.16510695702,353.1851437825582,0.00174292636665839,3.3883477452632444e-06,PASS_SUBLEADING_CORRECTION
